,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200610T041238Z_0_condorpool,auxiliary,1591796380.0,,,1591796384.0,1591796385.0,1591796389.0,1591796389.0,1591796394.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1591796394.0,,,1591796413.0,1591796652.0,1591796694.0,1591796694.0,1591796699.0,19.0,,239.0,42.0,5.0,32.0,3.0
sifting_ID0000012,compute,1591796394.0,,,1591796407.0,1591796633.0,1591796674.0,1591796674.0,1591796679.0,13.0,,226.0,41.0,5.0,31.0,3.0
individuals_ID0000021,compute,1591796394.0,,,1591796404.0,1591796422.0,1591796699.0,1591796699.0,1591796704.0,10.0,,18.0,277.0,5.0,154.0,3.0
individuals_ID0000010,compute,1591796394.0,,,1591796403.0,1591796422.0,1591796694.0,1591796694.0,1591796699.0,9.0,,19.0,272.0,5.0,157.0,3.0
individuals_ID0000020,compute,1591796394.0,,,1591796403.0,1591796422.0,1591796684.0,1591796684.0,1591796694.0,9.0,,19.0,262.0,10.0,154.0,3.0
individuals_ID0000009,compute,1591796394.0,,,1591796403.0,1591796422.0,1591796684.0,1591796684.0,1591796694.0,9.0,,19.0,262.0,10.0,155.0,4.0
individuals_ID0000019,compute,1591796394.0,,,1591796402.0,1591796422.0,1591796699.0,1591796699.0,1591796704.0,8.0,,20.0,277.0,5.0,154.0,3.0
individuals_ID0000014,compute,1591796394.0,,,1591796401.0,1591796422.0,1591796684.0,1591796684.0,1591796694.0,7.0,,21.0,262.0,10.0,157.0,3.0
individuals_ID0000003,compute,1591796394.0,,,1591796401.0,1591796422.0,1591796684.0,1591796684.0,1591796694.0,7.0,,21.0,262.0,10.0,155.0,4.0
individuals_ID0000013,compute,1591796394.0,,,1591796401.0,1591796422.0,1591796694.0,1591796694.0,1591796699.0,7.0,,21.0,272.0,5.0,154.0,3.0
individuals_ID0000008,compute,1591796394.0,,,1591796401.0,1591796422.0,1591796689.0,1591796689.0,1591796699.0,7.0,,21.0,267.0,10.0,155.0,3.0
individuals_ID0000001,compute,1591796394.0,,,1591796400.0,1591796402.0,1591796679.0,1591796679.0,1591796684.0,6.0,,2.0,277.0,5.0,162.0,4.0
individuals_ID0000004,compute,1591796394.0,,,1591796399.0,1591796401.0,1591796633.0,1591796633.0,1591796638.0,5.0,,2.0,232.0,5.0,145.0,4.0
individuals_ID0000002,compute,1591796394.0,,,1591796400.0,1591796402.0,1591796684.0,1591796684.0,1591796694.0,6.0,,2.0,282.0,10.0,160.0,4.0
individuals_ID0000005,compute,1591796394.0,,,1591796399.0,1591796401.0,1591796669.0,1591796669.0,1591796674.0,5.0,,2.0,268.0,5.0,164.0,4.0
individuals_ID0000016,compute,1591796394.0,,,1591796400.0,1591796401.0,1591796653.0,1591796653.0,1591796659.0,6.0,,1.0,252.0,6.0,149.0,3.0
individuals_ID0000006,compute,1591796394.0,,,1591796400.0,1591796402.0,1591796684.0,1591796684.0,1591796694.0,6.0,,2.0,282.0,10.0,163.0,3.0
individuals_ID0000015,compute,1591796394.0,,,1591796399.0,1591796401.0,1591796669.0,1591796669.0,1591796674.0,5.0,,2.0,268.0,5.0,154.0,3.0
individuals_ID0000007,compute,1591796394.0,,,1591796400.0,1591796402.0,1591796684.0,1591796684.0,1591796694.0,6.0,,2.0,282.0,10.0,161.0,3.0
individuals_ID0000018,compute,1591796394.0,,,1591796400.0,1591796403.0,1591796659.0,1591796659.0,1591796664.0,6.0,,3.0,256.0,5.0,153.0,3.0
individuals_ID0000022,compute,1591796394.0,,,1591796400.0,1591796402.0,1591796653.0,1591796653.0,1591796664.0,6.0,,2.0,251.0,11.0,147.0,3.0
individuals_ID0000017,compute,1591796394.0,,,1591796400.0,1591796403.0,1591796664.0,1591796664.0,1591796669.0,6.0,,3.0,261.0,5.0,152.0,5.0
individuals_merge_ID0000011,compute,1591796699.0,,,1591796704.0,1591796705.0,1591796749.0,1591796749.0,1591796754.0,5.0,,1.0,44.0,5.0,6.0,3.0
individuals_merge_ID0000023,compute,1591796704.0,,,1591796709.0,1591796710.0,1591796754.0,1591796754.0,1591796761.0,5.0,,1.0,44.0,7.0,6.0,3.0
mutation_overlap_ID0000027,compute,1591796754.0,,,1591796760.0,1591796781.0,1591796864.0,1591796864.0,1591796869.0,6.0,,21.0,83.0,5.0,6.0,3.0
mutation_overlap_ID0000025,compute,1591796754.0,,,1591796761.0,1591796781.0,1591796819.0,1591796819.0,1591796824.0,7.0,,20.0,38.0,5.0,6.0,3.0
mutation_overlap_ID0000037,compute,1591796754.0,,,1591796761.0,1591796781.0,1591796809.0,1591796809.0,1591796814.0,7.0,,20.0,28.0,5.0,4.0,4.0
mutation_overlap_ID0000035,compute,1591796754.0,,,1591796761.0,1591796781.0,1591796814.0,1591796814.0,1591796819.0,7.0,,20.0,33.0,5.0,6.0,4.0
frequency_ID0000028,compute,1591796754.0,,,1591796760.0,1591796782.0,1591796989.0,1591796989.0,1591796994.0,6.0,,22.0,207.0,5.0,5.0,3.0
mutation_overlap_ID0000029,compute,1591796754.0,,,1591796760.0,1591796781.0,1591796814.0,1591796814.0,1591796819.0,6.0,,21.0,33.0,5.0,5.0,3.0
frequency_ID0000034,compute,1591796754.0,,,1591796760.0,1591796781.0,1591797004.0,1591797004.0,1591797009.0,6.0,,21.0,223.0,5.0,6.0,4.0
frequency_ID0000026,compute,1591796754.0,,,1591796759.0,1591796780.0,1591797004.0,1591797004.0,1591797009.0,5.0,,21.0,224.0,5.0,5.0,3.0
frequency_ID0000038,compute,1591796754.0,,,1591796759.0,1591796780.0,1591796944.0,1591796944.0,1591796949.0,5.0,,21.0,164.0,5.0,4.0,3.0
mutation_overlap_ID0000033,compute,1591796754.0,,,1591796759.0,1591796782.0,1591796814.0,1591796814.0,1591796819.0,5.0,,23.0,32.0,5.0,6.0,4.0
frequency_ID0000036,compute,1591796754.0,,,1591796759.0,1591796776.0,1591796984.0,1591796984.0,1591796989.0,5.0,,17.0,208.0,5.0,5.0,4.0
mutation_overlap_ID0000031,compute,1591796754.0,,,1591796759.0,1591796759.0,1591796779.0,1591796779.0,1591796784.0,5.0,,0.0,20.0,5.0,4.0,3.0
frequency_ID0000030,compute,1591796754.0,,,1591796759.0,1591796759.0,1591796964.0,1591796964.0,1591796969.0,5.0,,0.0,205.0,5.0,4.0,4.0
frequency_ID0000032,compute,1591796754.0,,,1591796760.0,1591796780.0,1591797044.0,1591797044.0,1591797049.0,6.0,,20.0,264.0,5.0,4.0,4.0
mutation_overlap_ID0000047,compute,1591796761.0,,,1591796769.0,1591796838.0,1591796864.0,1591796864.0,1591796869.0,8.0,,69.0,26.0,5.0,4.0,4.0
mutation_overlap_ID0000045,compute,1591796761.0,,,1591796769.0,1591796817.0,1591796844.0,1591796844.0,1591796849.0,8.0,,48.0,27.0,5.0,5.0,3.0
mutation_overlap_ID0000049,compute,1591796761.0,,,1591796769.0,1591796816.0,1591796844.0,1591796844.0,1591796849.0,8.0,,47.0,28.0,5.0,4.0,3.0
mutation_overlap_ID0000039,compute,1591796761.0,,,1591796769.0,1591796813.0,1591796839.0,1591796839.0,1591796844.0,8.0,,44.0,26.0,5.0,4.0,4.0
mutation_overlap_ID0000051,compute,1591796761.0,,,1591796768.0,1591796812.0,1591796839.0,1591796839.0,1591796844.0,7.0,,44.0,27.0,5.0,4.0,5.0
frequency_ID0000044,compute,1591796761.0,,,1591796768.0,1591796811.0,1591797059.0,1591797059.0,1591797064.0,7.0,,43.0,248.0,5.0,4.0,4.0
