,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050900_0_condorpool,auxiliary,1620894858.0,,,1620894862.0,1620894863.0,1620894867.0,1620894867.0,1620894872.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1620894872.0,,,1620894877.0,1620894878.0,1620894907.0,1620894907.0,1620894912.0,5.0,,1.0,29.0,5.0,8.0,15.0
merge_mrtV2_PID2_ID4,compute,1620894912.0,,,1620894917.0,1620894938.0,1620894962.0,1620894962.0,1620894967.0,5.0,,21.0,24.0,5.0,15.0,6.0
stage_out_local_condorpool_0_0,transfer,1620894912.0,,,1620894917.0,1620894917.0,1620894947.0,1620894947.0,1620894952.0,5.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1620894912.0,,,1620894917.0,1620894938.0,1620894967.0,1620894967.0,1620894972.0,5.0,,21.0,29.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1620894912.0,,,1620894917.0,1620894938.0,1620894967.0,1620894967.0,1620894972.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1620894912.0,,,1620894917.0,1620894938.0,1620894962.0,1620894962.0,1620894967.0,5.0,,21.0,24.0,5.0,15.0,6.0
merge_mrtV2_PID2_ID1,compute,1620894912.0,,,1620894917.0,1620894962.0,1620894987.0,1620894987.0,1620894992.0,5.0,,45.0,25.0,5.0,14.0,7.0
merge_merged_netcdf2png_PID2_ID3,compute,1620894912.0,,,1620894917.0,1620894962.0,1620894987.0,1620894987.0,1620894992.0,5.0,,45.0,25.0,5.0,14.0,6.0
merge_mrtV2_PID2_ID2,compute,1620894912.0,,,1620894917.0,1620894963.0,1620894987.0,1620894987.0,1620894992.0,5.0,,46.0,24.0,5.0,14.0,6.0
merge_mrtV2_PID2_ID3,compute,1620894912.0,,,1620894917.0,1620894963.0,1620894987.0,1620894987.0,1620894992.0,5.0,,46.0,24.0,5.0,14.0,6.0
stage_out_local_condorpool_1_0,transfer,1620894992.0,,,1620894997.0,1620894997.0,1620895052.0,1620895052.0,1620895057.0,5.0,,0.0,55.0,5.0,,52.0
cleanup_casa_nowcast-wf-20190325050900_0_condorpool,auxiliary,1620895057.0,,,1620895062.0,1620895062.0,1620895067.0,1620895067.0,1620895072.0,5.0,,0.0,5.0,5.0,,
