,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T051428Z_0_condorpool,auxiliary,1620897582.0,,,1620897586.0,1620897588.0,1620897596.0,1620897596.0,1620897601.0,4.0,,2.0,8.0,5.0,,
gunzip_ID0000016,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000005,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000017,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000012,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,2.0,9.0
gunzip_ID0000008,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000014,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000003,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000015,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1620897601.0,,,1620897607.0,1620897623.0,1620897637.0,1620897637.0,1620897642.0,6.0,,16.0,14.0,5.0,3.0,8.0
gunzip_ID0000010,compute,1620897601.0,,,1620897607.0,1620897623.0,1620897637.0,1620897637.0,1620897642.0,6.0,,16.0,14.0,5.0,3.0,7.0
gunzip_ID0000011,compute,1620897601.0,,,1620897606.0,1620897624.0,1620897637.0,1620897637.0,1620897642.0,5.0,,18.0,13.0,5.0,3.0,7.0
gunzip_ID0000009,compute,1620897601.0,,,1620897606.0,1620897624.0,1620897642.0,1620897642.0,1620897647.0,5.0,,18.0,18.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1620897601.0,,,1620897607.0,1620897624.0,1620897637.0,1620897637.0,1620897642.0,6.0,,17.0,13.0,5.0,2.0,7.0
um_vel_ID0000018,compute,1620897647.0,,,1620897652.0,1620897653.0,1620897682.0,1620897682.0,1620897687.0,5.0,,1.0,29.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1620897687.0,,,1620897693.0,1620897693.0,1620897703.0,1620897703.0,1620897708.0,6.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1620897687.0,,,1620897693.0,1620897693.0,1620897713.0,1620897713.0,1620897718.0,6.0,,0.0,20.0,5.0,10.0,4.0
mvt_ID0000020,compute,1620897687.0,,,1620897693.0,1620897709.0,1620897783.0,1620897783.0,1620897788.0,6.0,,16.0,74.0,5.0,9.0,5.0
stage_out_local_condorpool_2_0,transfer,1620897788.0,,,1620897793.0,1620897793.0,1620897803.0,1620897803.0,1620897808.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1620897788.0,,,1620897793.0,1620897793.0,1620897813.0,1620897813.0,1620897818.0,5.0,,0.0,20.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1620897818.0,,,1620897823.0,1620897823.0,1620897833.0,1620897833.0,1620897838.0,5.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T051428Z_0_condorpool,auxiliary,1620897838.0,,,1620897843.0,1620897843.0,1620897848.0,1620897848.0,1620897853.0,5.0,,0.0,5.0,5.0,,
