,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325052900_0_condorpool,auxiliary,1621143077.0,,,1621143081.0,1621143082.0,1621143086.0,1621143086.0,1621143091.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621143091.0,,,1621143096.0,1621143101.0,1621143141.0,1621143141.0,1621143146.0,5.0,,5.0,40.0,5.0,17.0,17.0
merge_mrtV2_PID2_ID4,compute,1621143146.0,,,1621143151.0,1621143172.0,1621143196.0,1621143196.0,1621143201.0,5.0,,21.0,24.0,5.0,14.0,7.0
stage_out_local_condorpool_0_0,transfer,1621143146.0,,,1621143151.0,1621143151.0,1621143181.0,1621143181.0,1621143186.0,5.0,,0.0,30.0,5.0,,29.0
merge_merged_netcdf2png_PID2_ID2,compute,1621143146.0,,,1621143151.0,1621143172.0,1621143201.0,1621143201.0,1621143206.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1621143146.0,,,1621143151.0,1621143172.0,1621143196.0,1621143196.0,1621143201.0,5.0,,21.0,24.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621143146.0,,,1621143151.0,1621143173.0,1621143206.0,1621143206.0,1621143211.0,5.0,,22.0,33.0,5.0,16.0,7.0
merge_mrtV2_PID2_ID1,compute,1621143146.0,,,1621143151.0,1621143195.0,1621143221.0,1621143221.0,1621143227.0,5.0,,44.0,26.0,6.0,13.0,8.0
merge_merged_netcdf2png_PID2_ID3,compute,1621143146.0,,,1621143151.0,1621143195.0,1621143222.0,1621143222.0,1621143227.0,5.0,,44.0,27.0,5.0,12.0,7.0
merge_mrtV2_PID2_ID2,compute,1621143146.0,,,1621143151.0,1621143197.0,1621143222.0,1621143222.0,1621143227.0,5.0,,46.0,25.0,5.0,13.0,6.0
merge_mrtV2_PID2_ID3,compute,1621143146.0,,,1621143151.0,1621143205.0,1621143237.0,1621143237.0,1621143242.0,5.0,,54.0,32.0,5.0,18.0,8.0
stage_out_local_condorpool_1_0,transfer,1621143242.0,,,1621143247.0,1621143247.0,1621143302.0,1621143302.0,1621143307.0,5.0,,0.0,55.0,5.0,,53.0
cleanup_casa_nowcast-wf-20190325052900_0_condorpool,auxiliary,1621143307.0,,,1621143312.0,1621143312.0,1621143317.0,1621143317.0,1621143322.0,5.0,,0.0,5.0,5.0,,
