,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T053629Z_0_condorpool,auxiliary,1621057912.0,,,1621057916.0,1621057918.0,1621057926.0,1621057926.0,1621057931.0,4.0,,2.0,8.0,5.0,,
gunzip_ID0000016,compute,1621057931.0,,,1621057937.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,6.0,,7.0,18.0,5.0,2.0,8.0
gunzip_ID0000005,compute,1621057931.0,,,1621057937.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,6.0,,7.0,18.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1621057931.0,,,1621057937.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,6.0,,7.0,18.0,5.0,3.0,8.0
gunzip_ID0000006,compute,1621057931.0,,,1621057937.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,6.0,,7.0,18.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1621057931.0,,,1621057937.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,6.0,,7.0,18.0,5.0,2.0,8.0
gunzip_ID0000012,compute,1621057931.0,,,1621057937.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,6.0,,7.0,18.0,5.0,3.0,8.0
gunzip_ID0000001,compute,1621057931.0,,,1621057937.0,1621057943.0,1621057962.0,1621057962.0,1621057967.0,6.0,,6.0,19.0,5.0,2.0,8.0
gunzip_ID0000013,compute,1621057931.0,,,1621057937.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,6.0,,7.0,18.0,5.0,2.0,8.0
gunzip_ID0000008,compute,1621057931.0,,,1621057937.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,6.0,,7.0,18.0,5.0,3.0,7.0
gunzip_ID0000014,compute,1621057931.0,,,1621057937.0,1621057943.0,1621057962.0,1621057962.0,1621057967.0,6.0,,6.0,19.0,5.0,3.0,8.0
gunzip_ID0000003,compute,1621057931.0,,,1621057937.0,1621057943.0,1621057957.0,1621057957.0,1621057962.0,6.0,,6.0,14.0,5.0,3.0,7.0
gunzip_ID0000015,compute,1621057931.0,,,1621057937.0,1621057943.0,1621057957.0,1621057957.0,1621057962.0,6.0,,6.0,14.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1621057931.0,,,1621057937.0,1621057943.0,1621057962.0,1621057962.0,1621057967.0,6.0,,6.0,19.0,5.0,3.0,8.0
gunzip_ID0000010,compute,1621057931.0,,,1621057936.0,1621057943.0,1621057957.0,1621057957.0,1621057962.0,5.0,,7.0,14.0,5.0,3.0,7.0
gunzip_ID0000011,compute,1621057931.0,,,1621057936.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,5.0,,8.0,18.0,5.0,3.0,8.0
gunzip_ID0000009,compute,1621057931.0,,,1621057936.0,1621057944.0,1621057962.0,1621057962.0,1621057967.0,5.0,,8.0,18.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1621057931.0,,,1621057937.0,1621057943.0,1621057962.0,1621057962.0,1621057967.0,6.0,,6.0,19.0,5.0,3.0,8.0
um_vel_ID0000018,compute,1621057967.0,,,1621057972.0,1621057973.0,1621058007.0,1621058007.0,1621058012.0,5.0,,1.0,34.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1621058012.0,,,1621058018.0,1621058018.0,1621058028.0,1621058028.0,1621058033.0,6.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1621058012.0,,,1621058018.0,1621058018.0,1621058038.0,1621058038.0,1621058043.0,6.0,,0.0,20.0,5.0,9.0,4.0
mvt_ID0000020,compute,1621058012.0,,,1621058018.0,1621058034.0,1621058108.0,1621058108.0,1621058113.0,6.0,,16.0,74.0,5.0,9.0,5.0
stage_out_local_condorpool_2_0,transfer,1621058113.0,,,1621058118.0,1621058118.0,1621058128.0,1621058128.0,1621058133.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621058113.0,,,1621058118.0,1621058118.0,1621058138.0,1621058138.0,1621058143.0,5.0,,0.0,20.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1621058143.0,,,1621058148.0,1621058148.0,1621058158.0,1621058158.0,1621058163.0,5.0,,0.0,10.0,5.0,,6.0
cleanup_casa_wind_wf-20200817T053629Z_0_condorpool,auxiliary,1621058163.0,,,1621058168.0,1621058168.0,1621058173.0,1621058173.0,1621058179.0,5.0,,0.0,5.0,6.0,,
