,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200923T161044Z_0_condorpool,auxiliary,1600893424.0,,,1600893428.0,1600893430.0,1600893438.0,1600893438.0,1600893444.0,4.0,,2.0,8.0,6.0,,
sifting_ID0000024,compute,1600893444.0,,,1600893449.0,1600893687.0,1600893734.0,1600893734.0,1600893739.0,5.0,,238.0,47.0,5.0,33.0,4.0
sifting_ID0000012,compute,1600893444.0,,,1600893449.0,1600893642.0,1600893689.0,1600893689.0,1600893694.0,5.0,,193.0,47.0,5.0,35.0,5.0
individuals_ID0000021,compute,1600893444.0,,,1600893449.0,1600893467.0,1600893719.0,1600893719.0,1600893724.0,5.0,,18.0,252.0,5.0,174.0,6.0
individuals_ID0000020,compute,1600893444.0,,,1600893449.0,1600893467.0,1600893719.0,1600893719.0,1600893724.0,5.0,,18.0,252.0,5.0,174.0,6.0
individuals_ID0000009,compute,1600893444.0,,,1600893449.0,1600893466.0,1600893729.0,1600893729.0,1600893739.0,5.0,,17.0,263.0,10.0,170.0,4.0
individuals_ID0000019,compute,1600893444.0,,,1600893449.0,1600893466.0,1600893729.0,1600893729.0,1600893739.0,5.0,,17.0,263.0,10.0,167.0,4.0
individuals_ID0000008,compute,1600893444.0,,,1600893449.0,1600893466.0,1600893729.0,1600893729.0,1600893739.0,5.0,,17.0,263.0,10.0,172.0,4.0
individuals_ID0000014,compute,1600893444.0,,,1600893449.0,1600893466.0,1600893729.0,1600893729.0,1600893739.0,5.0,,17.0,263.0,10.0,172.0,5.0
individuals_ID0000003,compute,1600893444.0,,,1600893449.0,1600893466.0,1600893729.0,1600893729.0,1600893739.0,5.0,,17.0,263.0,10.0,171.0,4.0
individuals_ID0000013,compute,1600893444.0,,,1600893449.0,1600893466.0,1600893729.0,1600893729.0,1600893739.0,5.0,,17.0,263.0,10.0,167.0,5.0
individuals_ID0000010,compute,1600893444.0,,,1600893449.0,1600893466.0,1600893709.0,1600893709.0,1600893714.0,5.0,,17.0,243.0,5.0,168.0,5.0
individuals_ID0000001,compute,1600893444.0,,,1600893449.0,1600893467.0,1600893719.0,1600893719.0,1600893724.0,5.0,,18.0,252.0,5.0,175.0,6.0
individuals_ID0000002,compute,1600893444.0,,,1600893449.0,1600893466.0,1600893714.0,1600893714.0,1600893719.0,5.0,,17.0,248.0,5.0,173.0,5.0
individuals_ID0000004,compute,1600893444.0,,,1600893449.0,1600893467.0,1600893719.0,1600893719.0,1600893724.0,5.0,,18.0,252.0,5.0,174.0,6.0
individuals_ID0000005,compute,1600893444.0,,,1600893449.0,1600893465.0,1600893689.0,1600893689.0,1600893694.0,5.0,,16.0,224.0,5.0,141.0,4.0
