,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050900_0_condorpool,auxiliary,1621379744.0,,,1621379748.0,1621379749.0,1621379753.0,1621379753.0,1621379758.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621379758.0,,,1621379763.0,1621379764.0,1621379793.0,1621379793.0,1621379798.0,5.0,,1.0,29.0,5.0,8.0,15.0
merge_mrtV2_PID2_ID4,compute,1621379798.0,,,1621379803.0,1621379824.0,1621379848.0,1621379848.0,1621379853.0,5.0,,21.0,24.0,5.0,14.0,7.0
stage_out_local_condorpool_0_0,transfer,1621379798.0,,,1621379803.0,1621379803.0,1621379833.0,1621379833.0,1621379838.0,5.0,,0.0,30.0,5.0,,29.0
merge_merged_netcdf2png_PID2_ID2,compute,1621379798.0,,,1621379803.0,1621379824.0,1621379853.0,1621379853.0,1621379858.0,5.0,,21.0,29.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1621379798.0,,,1621379803.0,1621379824.0,1621379848.0,1621379848.0,1621379853.0,5.0,,21.0,24.0,5.0,14.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621379798.0,,,1621379803.0,1621379824.0,1621379848.0,1621379848.0,1621379853.0,5.0,,21.0,24.0,5.0,15.0,6.0
merge_mrtV2_PID2_ID1,compute,1621379798.0,,,1621379803.0,1621379846.0,1621379868.0,1621379868.0,1621379873.0,5.0,,43.0,22.0,5.0,12.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1621379798.0,,,1621379803.0,1621379848.0,1621379873.0,1621379873.0,1621379878.0,5.0,,45.0,25.0,5.0,14.0,6.0
merge_mrtV2_PID2_ID2,compute,1621379798.0,,,1621379803.0,1621379848.0,1621379873.0,1621379873.0,1621379878.0,5.0,,45.0,25.0,5.0,13.0,6.0
merge_mrtV2_PID2_ID3,compute,1621379798.0,,,1621379803.0,1621379849.0,1621379873.0,1621379873.0,1621379878.0,5.0,,46.0,24.0,5.0,14.0,7.0
stage_out_local_condorpool_1_0,transfer,1621379878.0,,,1621379883.0,1621379883.0,1621379938.0,1621379938.0,1621379943.0,5.0,,0.0,55.0,5.0,,52.0
cleanup_casa_nowcast-wf-20190325050900_0_condorpool,auxiliary,1621379943.0,,,1621379948.0,1621379948.0,1621379953.0,1621379953.0,1621379958.0,5.0,,0.0,5.0,5.0,,
