,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T053129Z_0_condorpool,auxiliary,1621383370.0,,,1621383374.0,1621383375.0,1621383379.0,1621383379.0,1621383384.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383405.0,1621383405.0,1621383410.0,5.0,,3.0,13.0,5.0,2.0,7.0
gunzip_ID0000012,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,7.0
gunzip_ID0000013,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,2.0,9.0
gunzip_ID0000008,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000014,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000003,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000015,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383405.0,1621383405.0,1621383410.0,5.0,,3.0,13.0,5.0,3.0,7.0
gunzip_ID0000010,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000011,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000009,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383410.0,1621383410.0,1621383415.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1621383384.0,,,1621383389.0,1621383392.0,1621383405.0,1621383405.0,1621383410.0,5.0,,3.0,13.0,5.0,2.0,8.0
um_vel_ID0000018,compute,1621383415.0,,,1621383420.0,1621383420.0,1621383450.0,1621383450.0,1621383455.0,5.0,,0.0,30.0,5.0,21.0,5.0
stage_out_local_condorpool_1_0,transfer,1621383455.0,,,1621383460.0,1621383460.0,1621383470.0,1621383470.0,1621383475.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1621383455.0,,,1621383460.0,1621383460.0,1621383480.0,1621383480.0,1621383486.0,5.0,,0.0,20.0,6.0,10.0,5.0
mvt_ID0000020,compute,1621383455.0,,,1621383460.0,1621383477.0,1621383546.0,1621383546.0,1621383551.0,5.0,,17.0,69.0,5.0,9.0,4.0
stage_out_local_condorpool_2_0,transfer,1621383551.0,,,1621383556.0,1621383556.0,1621383566.0,1621383566.0,1621383571.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621383551.0,,,1621383556.0,1621383556.0,1621383576.0,1621383576.0,1621383581.0,5.0,,0.0,20.0,5.0,10.0,5.0
stage_out_local_condorpool_3_0,transfer,1621383581.0,,,1621383586.0,1621383586.0,1621383596.0,1621383596.0,1621383601.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T053129Z_0_condorpool,auxiliary,1621383601.0,,,1621383606.0,1621383606.0,1621383611.0,1621383611.0,1621383616.0,5.0,,0.0,5.0,5.0,,
