,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200520T031010Z_0_condorpool,auxiliary,1589963051.0,,,1589963055.0,1589963056.0,1589963060.0,1589963060.0,1589963065.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1589963065.0,,,1589963075.0,1589963189.0,1589963318.0,1589963318.0,1589963323.0,10.0,,114.0,129.0,5.0,118.0,4.0
sifting_ID0000012,compute,1589963065.0,,,1589963075.0,1589963183.0,1589963318.0,1589963318.0,1589963323.0,10.0,,108.0,135.0,5.0,123.0,4.0
individuals_ID0000021,compute,1589963065.0,,,1589963075.0,1589963103.0,1589963344.0,1589963344.0,1589963349.0,10.0,,28.0,241.0,5.0,159.0,3.0
individuals_ID0000010,compute,1589963065.0,,,1589963075.0,1589963106.0,1589963334.0,1589963334.0,1589963339.0,10.0,,31.0,228.0,5.0,150.0,3.0
individuals_ID0000020,compute,1589963065.0,,,1589963075.0,1589963103.0,1589963339.0,1589963339.0,1589963349.0,10.0,,28.0,236.0,10.0,160.0,4.0
individuals_ID0000009,compute,1589963065.0,,,1589963075.0,1589963103.0,1589963328.0,1589963328.0,1589963334.0,10.0,,28.0,225.0,6.0,151.0,4.0
individuals_ID0000019,compute,1589963065.0,,,1589963075.0,1589963102.0,1589963344.0,1589963344.0,1589963349.0,10.0,,27.0,242.0,5.0,162.0,3.0
individuals_ID0000014,compute,1589963065.0,,,1589963074.0,1589963102.0,1589963334.0,1589963334.0,1589963339.0,9.0,,28.0,232.0,5.0,156.0,3.0
individuals_ID0000003,compute,1589963065.0,,,1589963073.0,1589963104.0,1589963339.0,1589963339.0,1589963349.0,8.0,,31.0,235.0,10.0,156.0,4.0
individuals_ID0000013,compute,1589963065.0,,,1589963073.0,1589963102.0,1589963344.0,1589963344.0,1589963349.0,8.0,,29.0,242.0,5.0,161.0,3.0
