,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050600_0_condorpool,auxiliary,1621407993.0,,,1621407997.0,1621407998.0,1621408002.0,1621408002.0,1621408007.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621408007.0,,,1621408012.0,1621408014.0,1621408042.0,1621408042.0,1621408047.0,5.0,,2.0,28.0,5.0,9.0,15.0
merge_mrtV2_PID2_ID4,compute,1621408047.0,,,1621408053.0,1621408072.0,1621408098.0,1621408098.0,1621408103.0,6.0,,19.0,26.0,5.0,15.0,6.0
stage_out_local_condorpool_0_0,transfer,1621408047.0,,,1621408052.0,1621408053.0,1621408083.0,1621408083.0,1621408088.0,5.0,,1.0,30.0,5.0,,29.0
merge_merged_netcdf2png_PID2_ID2,compute,1621408047.0,,,1621408053.0,1621408072.0,1621408098.0,1621408098.0,1621408103.0,6.0,,19.0,26.0,5.0,15.0,6.0
merge_merged_netcdf2png_PID2_ID1,compute,1621408047.0,,,1621408053.0,1621408072.0,1621408098.0,1621408098.0,1621408103.0,6.0,,19.0,26.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621408047.0,,,1621408053.0,1621408072.0,1621408098.0,1621408098.0,1621408103.0,6.0,,19.0,26.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID1,compute,1621408047.0,,,1621408053.0,1621408096.0,1621408123.0,1621408123.0,1621408128.0,6.0,,43.0,27.0,5.0,14.0,7.0
merge_merged_netcdf2png_PID2_ID3,compute,1621408047.0,,,1621408053.0,1621408096.0,1621408123.0,1621408123.0,1621408128.0,6.0,,43.0,27.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID2,compute,1621408047.0,,,1621408053.0,1621408096.0,1621408123.0,1621408123.0,1621408128.0,6.0,,43.0,27.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID3,compute,1621408047.0,,,1621408053.0,1621408097.0,1621408123.0,1621408123.0,1621408128.0,6.0,,44.0,26.0,5.0,14.0,7.0
stage_out_local_condorpool_1_0,transfer,1621408128.0,,,1621408133.0,1621408133.0,1621408193.0,1621408193.0,1621408198.0,5.0,,0.0,60.0,5.0,,55.0
cleanup_casa_nowcast-wf-20190325050600_0_condorpool,auxiliary,1621408198.0,,,1621408203.0,1621408203.0,1621408208.0,1621408208.0,1621408213.0,5.0,,0.0,5.0,5.0,,
