,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200522T184404Z_0_condorpool,auxiliary,1590203148.0,,,1590203152.0,1590203153.0,1590203157.0,1590203157.0,1590203162.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1590203162.0,,,1590203170.0,1590203907.0,1590205132.0,1590205132.0,1590205137.0,8.0,,737.0,1225.0,5.0,1213.0,5.0
sifting_ID0000012,compute,1590203162.0,,,1590203170.0,1590203899.0,1590204965.0,1590204965.0,1590204970.0,8.0,,729.0,1066.0,5.0,1048.0,8.0
individuals_ID0000021,compute,1590203162.0,,,1590203169.0,1590203183.0,1590203940.0,1590203940.0,1590203950.0,7.0,,14.0,757.0,10.0,690.0,4.0
individuals_ID0000010,compute,1590203162.0,,,1590203169.0,1590203183.0,1590203975.0,1590203975.0,1590203980.0,7.0,,14.0,792.0,5.0,723.0,4.0
individuals_ID0000020,compute,1590203162.0,,,1590203169.0,1590203182.0,1590203970.0,1590203970.0,1590203975.0,7.0,,13.0,788.0,5.0,715.0,4.0
individuals_ID0000009,compute,1590203162.0,,,1590203169.0,1590203182.0,1590203960.0,1590203960.0,1590203965.0,7.0,,13.0,778.0,5.0,722.0,3.0
individuals_ID0000019,compute,1590203162.0,,,1590203169.0,1590203182.0,1590203940.0,1590203940.0,1590203945.0,7.0,,13.0,758.0,5.0,691.0,4.0
individuals_ID0000014,compute,1590203162.0,,,1590203169.0,1590203182.0,1590203985.0,1590203985.0,1590203990.0,7.0,,13.0,803.0,5.0,730.0,5.0
individuals_ID0000003,compute,1590203162.0,,,1590203169.0,1590203182.0,1590203900.0,1590203900.0,1590203905.0,7.0,,13.0,718.0,5.0,659.0,8.0
individuals_ID0000013,compute,1590203162.0,,,1590203168.0,1590203182.0,1590203950.0,1590203950.0,1590203955.0,6.0,,14.0,768.0,5.0,700.0,4.0
individuals_ID0000008,compute,1590203162.0,,,1590203169.0,1590203182.0,1590203995.0,1590203995.0,1590204000.0,7.0,,13.0,813.0,5.0,750.0,4.0
individuals_ID0000001,compute,1590203162.0,,,1590203168.0,1590203182.0,1590203965.0,1590203965.0,1590203975.0,6.0,,14.0,783.0,10.0,724.0,4.0
individuals_ID0000004,compute,1590203162.0,,,1590203167.0,1590203181.0,1590203910.0,1590203910.0,1590203915.0,5.0,,14.0,729.0,5.0,678.0,6.0
individuals_ID0000002,compute,1590203162.0,,,1590203168.0,1590203182.0,1590203920.0,1590203920.0,1590203925.0,6.0,,14.0,738.0,5.0,679.0,3.0
individuals_ID0000005,compute,1590203162.0,,,1590203167.0,1590203181.0,1590203960.0,1590203960.0,1590203965.0,5.0,,14.0,779.0,5.0,726.0,3.0
individuals_ID0000016,compute,1590203162.0,,,1590203168.0,1590203181.0,1590203965.0,1590203965.0,1590203970.0,6.0,,13.0,784.0,5.0,718.0,3.0
individuals_ID0000006,compute,1590203162.0,,,1590203168.0,1590203181.0,1590203930.0,1590203930.0,1590203935.0,6.0,,13.0,749.0,5.0,703.0,4.0
individuals_ID0000015,compute,1590203162.0,,,1590203167.0,1590203181.0,1590203950.0,1590203950.0,1590203955.0,5.0,,14.0,769.0,5.0,711.0,4.0
individuals_ID0000007,compute,1590203162.0,,,1590203168.0,1590203182.0,1590203960.0,1590203960.0,1590203965.0,6.0,,14.0,778.0,5.0,715.0,4.0
individuals_ID0000018,compute,1590203162.0,,,1590203168.0,1590203182.0,1590203940.0,1590203940.0,1590203945.0,6.0,,14.0,758.0,5.0,689.0,4.0
individuals_ID0000022,compute,1590203162.0,,,1590203168.0,1590203182.0,1590203945.0,1590203945.0,1590203950.0,6.0,,14.0,763.0,5.0,700.0,4.0
