,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T051528Z_0_condorpool,auxiliary,1621466143.0,,,1621466147.0,1621466148.0,1621466152.0,1621466152.0,1621466157.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621466157.0,,,1621466162.0,1621466165.0,1621466182.0,1621466182.0,1621466187.0,5.0,,3.0,17.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466177.0,1621466177.0,1621466182.0,5.0,,2.0,13.0,5.0,3.0,7.0
gunzip_ID0000017,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466182.0,1621466182.0,1621466187.0,5.0,,2.0,18.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466182.0,1621466182.0,1621466187.0,5.0,,2.0,18.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1621466157.0,,,1621466162.0,1621466165.0,1621466182.0,1621466182.0,1621466187.0,5.0,,3.0,17.0,5.0,5.0,8.0
gunzip_ID0000012,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466182.0,1621466182.0,1621466187.0,5.0,,2.0,18.0,5.0,4.0,9.0
gunzip_ID0000001,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466182.0,1621466182.0,1621466187.0,5.0,,2.0,18.0,5.0,3.0,7.0
gunzip_ID0000013,compute,1621466157.0,,,1621466162.0,1621466165.0,1621466182.0,1621466182.0,1621466187.0,5.0,,3.0,17.0,5.0,3.0,8.0
gunzip_ID0000008,compute,1621466157.0,,,1621466162.0,1621466165.0,1621466182.0,1621466182.0,1621466187.0,5.0,,3.0,17.0,5.0,2.0,8.0
gunzip_ID0000014,compute,1621466157.0,,,1621466162.0,1621466165.0,1621466182.0,1621466182.0,1621466187.0,5.0,,3.0,17.0,5.0,2.0,8.0
gunzip_ID0000003,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466182.0,1621466182.0,1621466187.0,5.0,,2.0,18.0,5.0,4.0,9.0
gunzip_ID0000015,compute,1621466157.0,,,1621466162.0,1621466165.0,1621466182.0,1621466182.0,1621466187.0,5.0,,3.0,17.0,5.0,2.0,9.0
gunzip_ID0000004,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466182.0,1621466182.0,1621466187.0,5.0,,2.0,18.0,5.0,3.0,8.0
gunzip_ID0000010,compute,1621466157.0,,,1621466162.0,1621466165.0,1621466182.0,1621466182.0,1621466187.0,5.0,,3.0,17.0,5.0,4.0,8.0
gunzip_ID0000011,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466182.0,1621466182.0,1621466187.0,5.0,,2.0,18.0,5.0,3.0,8.0
gunzip_ID0000009,compute,1621466157.0,,,1621466162.0,1621466164.0,1621466182.0,1621466182.0,1621466187.0,5.0,,2.0,18.0,5.0,4.0,10.0
gunzip_ID0000002,compute,1621466157.0,,,1621466162.0,1621466165.0,1621466182.0,1621466182.0,1621466187.0,5.0,,3.0,17.0,5.0,3.0,9.0
um_vel_ID0000018,compute,1621466187.0,,,1621466192.0,1621466192.0,1621466237.0,1621466237.0,1621466242.0,5.0,,0.0,45.0,5.0,31.0,4.0
stage_out_local_condorpool_1_0,transfer,1621466242.0,,,1621466247.0,1621466247.0,1621466257.0,1621466257.0,1621466262.0,5.0,,0.0,10.0,5.0,,6.0
merged_netcdf2png_ID0000019,compute,1621466242.0,,,1621466247.0,1621466247.0,1621466267.0,1621466267.0,1621466272.0,5.0,,0.0,20.0,5.0,11.0,5.0
mvt_ID0000020,compute,1621466242.0,,,1621466247.0,1621466266.0,1621466342.0,1621466342.0,1621466347.0,5.0,,19.0,76.0,5.0,12.0,5.0
stage_out_local_condorpool_2_0,transfer,1621466347.0,,,1621466352.0,1621466352.0,1621466362.0,1621466362.0,1621466367.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621466347.0,,,1621466352.0,1621466352.0,1621466377.0,1621466377.0,1621466382.0,5.0,,0.0,25.0,5.0,14.0,5.0
stage_out_local_condorpool_3_0,transfer,1621466382.0,,,1621466387.0,1621466387.0,1621466397.0,1621466397.0,1621466402.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T051528Z_0_condorpool,auxiliary,1621466402.0,,,1621466407.0,1621466407.0,1621466412.0,1621466412.0,1621466417.0,5.0,,0.0,5.0,5.0,,
