,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20210109T082603Z_0_condorpool,auxiliary,1610183475.0,,,1610183479.0,1610183480.0,1610183484.0,1610183484.0,1610183489.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1610183489.0,,,1610183494.0,1610183741.0,1610183994.0,1610183994.0,1610183999.0,5.0,,247.0,253.0,5.0,240.0,6.0
sifting_ID0000012,compute,1610183489.0,,,1610183494.0,1610183740.0,1610183979.0,1610183979.0,1610183984.0,5.0,,246.0,239.0,5.0,225.0,5.0
individuals_ID0000021,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183764.0,5.0,,15.0,240.0,15.0,165.0,6.0
individuals_ID0000010,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183759.0,5.0,,15.0,240.0,10.0,162.0,6.0
individuals_ID0000020,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183759.0,5.0,,15.0,240.0,10.0,166.0,6.0
individuals_ID0000009,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183754.0,1610183754.0,1610183764.0,5.0,,15.0,245.0,10.0,170.0,5.0
individuals_ID0000019,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183764.0,5.0,,15.0,240.0,15.0,163.0,5.0
individuals_ID0000014,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183759.0,1610183759.0,1610183769.0,5.0,,15.0,250.0,10.0,167.0,5.0
individuals_ID0000003,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183754.0,1610183754.0,1610183764.0,5.0,,15.0,245.0,10.0,168.0,5.0
individuals_ID0000013,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183759.0,5.0,,15.0,240.0,10.0,162.0,6.0
individuals_ID0000008,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183759.0,5.0,,15.0,240.0,10.0,164.0,6.0
individuals_ID0000001,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183759.0,5.0,,15.0,240.0,10.0,165.0,6.0
individuals_ID0000004,compute,1610183489.0,,,1610183494.0,1610183508.0,1610183744.0,1610183744.0,1610183749.0,5.0,,14.0,236.0,5.0,161.0,5.0
individuals_ID0000002,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183759.0,1610183759.0,1610183769.0,5.0,,15.0,250.0,10.0,167.0,5.0
individuals_ID0000005,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183754.0,1610183754.0,1610183764.0,5.0,,15.0,245.0,10.0,163.0,6.0
individuals_ID0000016,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183744.0,1610183744.0,1610183749.0,5.0,,15.0,235.0,5.0,160.0,5.0
individuals_ID0000006,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183759.0,1610183759.0,1610183769.0,5.0,,15.0,250.0,10.0,168.0,5.0
individuals_ID0000015,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183764.0,5.0,,15.0,240.0,15.0,162.0,6.0
individuals_ID0000007,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183749.0,1610183749.0,1610183759.0,5.0,,15.0,240.0,10.0,164.0,5.0
individuals_ID0000018,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183754.0,1610183754.0,1610183764.0,5.0,,15.0,245.0,10.0,168.0,5.0
individuals_ID0000022,compute,1610183489.0,,,1610183494.0,1610183509.0,1610183759.0,1610183759.0,1610183769.0,5.0,,15.0,250.0,10.0,164.0,5.0
