,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325052000_0_condorpool,auxiliary,1620818650.0,,,1620818654.0,1620818655.0,1620818659.0,1620818659.0,1620818664.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1620818664.0,,,1620818669.0,1620818689.0,1620818719.0,1620818719.0,1620818724.0,5.0,,20.0,30.0,5.0,8.0,15.0
merge_mrtV2_PID2_ID4,compute,1620818724.0,,,1620818729.0,1620818750.0,1620818774.0,1620818774.0,1620818779.0,5.0,,21.0,24.0,5.0,15.0,7.0
stage_out_local_condorpool_0_0,transfer,1620818724.0,,,1620818729.0,1620818729.0,1620818759.0,1620818759.0,1620818764.0,5.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1620818724.0,,,1620818729.0,1620818750.0,1620818774.0,1620818774.0,1620818779.0,5.0,,21.0,24.0,5.0,16.0,6.0
merge_merged_netcdf2png_PID2_ID1,compute,1620818724.0,,,1620818729.0,1620818750.0,1620818779.0,1620818779.0,1620818784.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1620818724.0,,,1620818729.0,1620818750.0,1620818779.0,1620818779.0,1620818784.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_mrtV2_PID2_ID1,compute,1620818724.0,,,1620818729.0,1620818773.0,1620818794.0,1620818794.0,1620818799.0,5.0,,44.0,21.0,5.0,12.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1620818724.0,,,1620818729.0,1620818774.0,1620818799.0,1620818799.0,1620818804.0,5.0,,45.0,25.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID2,compute,1620818724.0,,,1620818729.0,1620818775.0,1620818799.0,1620818799.0,1620818804.0,5.0,,46.0,24.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID3,compute,1620818724.0,,,1620818729.0,1620818775.0,1620818799.0,1620818799.0,1620818804.0,5.0,,46.0,24.0,5.0,14.0,7.0
stage_out_local_condorpool_1_0,transfer,1620818804.0,,,1620818809.0,1620818809.0,1620818864.0,1620818864.0,1620818869.0,5.0,,0.0,55.0,5.0,,52.0
cleanup_casa_nowcast-wf-20190325052000_0_condorpool,auxiliary,1620818869.0,,,1620818874.0,1620818874.0,1620818879.0,1620818879.0,1620818884.0,5.0,,0.0,5.0,5.0,,
