,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T051628Z_0_condorpool,auxiliary,1620864065.0,,,1620864070.0,1620864071.0,1620864075.0,1620864075.0,1620864080.0,5.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000012,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000008,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864120.0,1620864120.0,1620864125.0,5.0,,22.0,13.0,5.0,2.0,7.0
gunzip_ID0000014,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000003,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864120.0,1620864120.0,1620864125.0,5.0,,22.0,13.0,5.0,2.0,8.0
gunzip_ID0000015,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000004,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000010,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,4.0,8.0
gunzip_ID0000011,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864120.0,1620864120.0,1620864125.0,5.0,,22.0,13.0,5.0,3.0,7.0
gunzip_ID0000009,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864125.0,1620864125.0,1620864130.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1620864080.0,,,1620864085.0,1620864107.0,1620864120.0,1620864120.0,1620864125.0,5.0,,22.0,13.0,5.0,2.0,7.0
um_vel_ID0000018,compute,1620864130.0,,,1620864135.0,1620864135.0,1620864165.0,1620864165.0,1620864170.0,5.0,,0.0,30.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1620864170.0,,,1620864175.0,1620864175.0,1620864185.0,1620864185.0,1620864190.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1620864170.0,,,1620864175.0,1620864175.0,1620864195.0,1620864195.0,1620864200.0,5.0,,0.0,20.0,5.0,9.0,4.0
mvt_ID0000020,compute,1620864170.0,,,1620864175.0,1620864191.0,1620864265.0,1620864265.0,1620864270.0,5.0,,16.0,74.0,5.0,9.0,5.0
stage_out_local_condorpool_2_0,transfer,1620864270.0,,,1620864275.0,1620864275.0,1620864285.0,1620864285.0,1620864290.0,5.0,,0.0,10.0,5.0,,5.0
pointalert_ID0000021,compute,1620864270.0,,,1620864275.0,1620864276.0,1620864295.0,1620864295.0,1620864300.0,5.0,,1.0,19.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1620864300.0,,,1620864306.0,1620864306.0,1620864316.0,1620864316.0,1620864321.0,6.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T051628Z_0_condorpool,auxiliary,1620864321.0,,,1620864326.0,1620864326.0,1620864331.0,1620864331.0,1620864336.0,5.0,,0.0,5.0,5.0,,
