,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200610T041238Z_0_condorpool,auxiliary,1591810114.0,,,1591810118.0,1591810119.0,1591810123.0,1591810123.0,1591810128.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1591810128.0,,,1591810136.0,1591810365.0,1591810411.0,1591810411.0,1591810416.0,8.0,,229.0,46.0,5.0,31.0,4.0
sifting_ID0000012,compute,1591810128.0,,,1591810136.0,1591810305.0,1591810366.0,1591810366.0,1591810371.0,8.0,,169.0,61.0,5.0,49.0,3.0
individuals_ID0000021,compute,1591810128.0,,,1591810135.0,1591810146.0,1591810436.0,1591810436.0,1591810442.0,7.0,,11.0,290.0,6.0,165.0,4.0
individuals_ID0000010,compute,1591810128.0,,,1591810135.0,1591810146.0,1591810447.0,1591810447.0,1591810452.0,7.0,,11.0,301.0,5.0,169.0,3.0
individuals_ID0000020,compute,1591810128.0,,,1591810135.0,1591810146.0,1591810426.0,1591810426.0,1591810431.0,7.0,,11.0,280.0,5.0,172.0,4.0
individuals_ID0000009,compute,1591810128.0,,,1591810135.0,1591810146.0,1591810437.0,1591810437.0,1591810447.0,7.0,,11.0,291.0,10.0,168.0,4.0
individuals_ID0000019,compute,1591810128.0,,,1591810135.0,1591810146.0,1591810442.0,1591810442.0,1591810447.0,7.0,,11.0,296.0,5.0,172.0,3.0
individuals_ID0000014,compute,1591810128.0,,,1591810135.0,1591810146.0,1591810452.0,1591810452.0,1591810457.0,7.0,,11.0,306.0,5.0,172.0,3.0
individuals_ID0000003,compute,1591810128.0,,,1591810135.0,1591810146.0,1591810416.0,1591810416.0,1591810421.0,7.0,,11.0,270.0,5.0,159.0,3.0
individuals_ID0000013,compute,1591810128.0,,,1591810134.0,1591810146.0,1591810436.0,1591810436.0,1591810447.0,6.0,,12.0,290.0,11.0,168.0,4.0
individuals_ID0000008,compute,1591810128.0,,,1591810135.0,1591810146.0,1591810442.0,1591810442.0,1591810447.0,7.0,,11.0,296.0,5.0,167.0,3.0
individuals_ID0000001,compute,1591810128.0,,,1591810134.0,1591810146.0,1591810442.0,1591810442.0,1591810452.0,6.0,,12.0,296.0,10.0,168.0,3.0
individuals_ID0000004,compute,1591810128.0,,,1591810133.0,1591810144.0,1591810306.0,1591810306.0,1591810311.0,5.0,,11.0,162.0,5.0,111.0,4.0
individuals_ID0000002,compute,1591810128.0,,,1591810134.0,1591810146.0,1591810436.0,1591810436.0,1591810442.0,6.0,,12.0,290.0,6.0,166.0,4.0
individuals_ID0000005,compute,1591810128.0,,,1591810133.0,1591810145.0,1591810391.0,1591810391.0,1591810406.0,5.0,,12.0,246.0,15.0,155.0,3.0
individuals_ID0000016,compute,1591810128.0,,,1591810134.0,1591810145.0,1591810452.0,1591810452.0,1591810457.0,6.0,,11.0,307.0,5.0,174.0,3.0
individuals_ID0000006,compute,1591810128.0,,,1591810134.0,1591810145.0,1591810391.0,1591810391.0,1591810406.0,6.0,,11.0,246.0,15.0,157.0,4.0
individuals_ID0000015,compute,1591810128.0,,,1591810133.0,1591810144.0,1591810391.0,1591810391.0,1591810406.0,5.0,,11.0,247.0,15.0,160.0,3.0
individuals_ID0000007,compute,1591810128.0,,,1591810134.0,1591810146.0,1591810436.0,1591810436.0,1591810447.0,6.0,,12.0,290.0,11.0,168.0,3.0
individuals_ID0000018,compute,1591810128.0,,,1591810134.0,1591810146.0,1591810431.0,1591810431.0,1591810436.0,6.0,,12.0,285.0,5.0,168.0,4.0
individuals_ID0000022,compute,1591810128.0,,,1591810134.0,1591810146.0,1591810452.0,1591810452.0,1591810457.0,6.0,,12.0,306.0,5.0,167.0,4.0
individuals_ID0000017,compute,1591810128.0,,,1591810134.0,1591810146.0,1591810442.0,1591810442.0,1591810452.0,6.0,,12.0,296.0,10.0,168.0,3.0
individuals_merge_ID0000011,compute,1591810452.0,,,1591810457.0,1591810458.0,1591810503.0,1591810503.0,1591810508.0,5.0,,1.0,45.0,5.0,6.0,3.0
individuals_merge_ID0000023,compute,1591810457.0,,,1591810462.0,1591810463.0,1591810508.0,1591810508.0,1591810515.0,5.0,,1.0,45.0,7.0,7.0,4.0
mutation_overlap_ID0000027,compute,1591810508.0,,,1591810514.0,1591810535.0,1591810608.0,1591810608.0,1591810613.0,6.0,,21.0,73.0,5.0,5.0,4.0
mutation_overlap_ID0000025,compute,1591810508.0,,,1591810514.0,1591810535.0,1591810577.0,1591810577.0,1591810582.0,6.0,,21.0,42.0,5.0,5.0,3.0
mutation_overlap_ID0000037,compute,1591810508.0,,,1591810514.0,1591810535.0,1591810572.0,1591810572.0,1591810577.0,6.0,,21.0,37.0,5.0,4.0,4.0
mutation_overlap_ID0000035,compute,1591810508.0,,,1591810514.0,1591810535.0,1591810562.0,1591810562.0,1591810567.0,6.0,,21.0,27.0,5.0,5.0,4.0
frequency_ID0000028,compute,1591810508.0,,,1591810514.0,1591810535.0,1591810758.0,1591810758.0,1591810763.0,6.0,,21.0,223.0,5.0,5.0,4.0
mutation_overlap_ID0000029,compute,1591810508.0,,,1591810514.0,1591810535.0,1591810567.0,1591810567.0,1591810572.0,6.0,,21.0,32.0,5.0,5.0,3.0
frequency_ID0000034,compute,1591810508.0,,,1591810514.0,1591810535.0,1591810753.0,1591810753.0,1591810758.0,6.0,,21.0,218.0,5.0,5.0,3.0
frequency_ID0000026,compute,1591810508.0,,,1591810513.0,1591810535.0,1591810728.0,1591810728.0,1591810733.0,5.0,,22.0,193.0,5.0,5.0,3.0
frequency_ID0000038,compute,1591810508.0,,,1591810514.0,1591810534.0,1591810798.0,1591810798.0,1591810803.0,6.0,,20.0,264.0,5.0,5.0,3.0
mutation_overlap_ID0000033,compute,1591810508.0,,,1591810513.0,1591810534.0,1591810567.0,1591810567.0,1591810572.0,5.0,,21.0,33.0,5.0,7.0,5.0
