,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050100_0_condorpool,auxiliary,1620914657.0,,,1620914661.0,1620914663.0,1620914671.0,1620914671.0,1620914676.0,4.0,,2.0,8.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1620914676.0,,,1620914681.0,1620914697.0,1620914726.0,1620914726.0,1620914731.0,5.0,,16.0,29.0,5.0,8.0,15.0
merge_mrtV2_PID2_ID4,compute,1620914731.0,,,1620914736.0,1620914757.0,1620914781.0,1620914781.0,1620914786.0,5.0,,21.0,24.0,5.0,16.0,6.0
stage_out_local_condorpool_0_0,transfer,1620914731.0,,,1620914736.0,1620914736.0,1620914766.0,1620914766.0,1620914771.0,5.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1620914731.0,,,1620914736.0,1620914757.0,1620914786.0,1620914786.0,1620914791.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1620914731.0,,,1620914736.0,1620914757.0,1620914786.0,1620914786.0,1620914791.0,5.0,,21.0,29.0,5.0,17.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1620914731.0,,,1620914736.0,1620914757.0,1620914781.0,1620914781.0,1620914786.0,5.0,,21.0,24.0,5.0,16.0,6.0
merge_mrtV2_PID2_ID1,compute,1620914731.0,,,1620914736.0,1620914781.0,1620914806.0,1620914806.0,1620914811.0,5.0,,45.0,25.0,5.0,14.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1620914731.0,,,1620914736.0,1620914781.0,1620914806.0,1620914806.0,1620914811.0,5.0,,45.0,25.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID2,compute,1620914731.0,,,1620914736.0,1620914782.0,1620914806.0,1620914806.0,1620914811.0,5.0,,46.0,24.0,5.0,15.0,6.0
merge_mrtV2_PID2_ID3,compute,1620914731.0,,,1620914736.0,1620914783.0,1620914806.0,1620914806.0,1620914811.0,5.0,,47.0,23.0,5.0,14.0,7.0
stage_out_local_condorpool_1_0,transfer,1620914811.0,,,1620914816.0,1620914816.0,1620914871.0,1620914871.0,1620914876.0,5.0,,0.0,55.0,5.0,,52.0
cleanup_casa_nowcast-wf-20190325050100_0_condorpool,auxiliary,1620914876.0,,,1620914881.0,1620914881.0,1620914886.0,1620914886.0,1620914891.0,5.0,,0.0,5.0,5.0,,
