,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T054029Z_0_condorpool,auxiliary,1620904878.0,,,1620904882.0,1620904884.0,1620904892.0,1620904892.0,1620904897.0,4.0,,2.0,8.0,5.0,,
gunzip_ID0000016,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000005,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000017,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,4.0,8.0
gunzip_ID0000006,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,4.0,8.0
gunzip_ID0000007,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,7.0
gunzip_ID0000012,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904932.0,1620904932.0,1620904937.0,5.0,,18.0,12.0,5.0,2.0,7.0
gunzip_ID0000001,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000008,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,4.0,8.0
gunzip_ID0000014,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000003,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000015,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,7.0
gunzip_ID0000004,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,2.0,7.0
gunzip_ID0000010,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904932.0,1620904932.0,1620904937.0,5.0,,18.0,12.0,5.0,2.0,7.0
gunzip_ID0000011,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000009,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904937.0,1620904937.0,1620904942.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1620904897.0,,,1620904902.0,1620904920.0,1620904932.0,1620904932.0,1620904937.0,5.0,,18.0,12.0,5.0,2.0,6.0
um_vel_ID0000018,compute,1620904942.0,,,1620904947.0,1620904948.0,1620904977.0,1620904977.0,1620904982.0,5.0,,1.0,29.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1620904982.0,,,1620904987.0,1620904987.0,1620904997.0,1620904997.0,1620905002.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1620904982.0,,,1620904987.0,1620904987.0,1620905007.0,1620905007.0,1620905012.0,5.0,,0.0,20.0,5.0,9.0,4.0
mvt_ID0000020,compute,1620904982.0,,,1620904987.0,1620905003.0,1620905077.0,1620905077.0,1620905082.0,5.0,,16.0,74.0,5.0,9.0,4.0
stage_out_local_condorpool_2_0,transfer,1620905082.0,,,1620905087.0,1620905087.0,1620905097.0,1620905097.0,1620905102.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1620905082.0,,,1620905087.0,1620905087.0,1620905107.0,1620905107.0,1620905112.0,5.0,,0.0,20.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1620905112.0,,,1620905117.0,1620905117.0,1620905127.0,1620905127.0,1620905132.0,5.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T054029Z_0_condorpool,auxiliary,1620905132.0,,,1620905138.0,1620905138.0,1620905143.0,1620905143.0,1620905148.0,6.0,,0.0,5.0,5.0,,
