,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200922T030313Z_0_condorpool,auxiliary,1600765512.0,,,1600765516.0,1600765518.0,1600765521.0,1600765521.0,1600765526.0,4.0,,2.0,3.0,5.0,,
sifting_ID0000024,compute,1600765526.0,,,1600765532.0,1600765691.0,1600765767.0,1600765767.0,1600765772.0,6.0,,159.0,76.0,5.0,63.0,6.0
sifting_ID0000012,compute,1600765526.0,,,1600765532.0,1600765685.0,1600765762.0,1600765762.0,1600765767.0,6.0,,153.0,77.0,5.0,64.0,7.0
individuals_ID0000021,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765807.0,1600765807.0,1600765812.0,6.0,,22.0,253.0,5.0,159.0,5.0
individuals_ID0000020,compute,1600765526.0,,,1600765532.0,1600765553.0,1600765787.0,1600765787.0,1600765792.0,6.0,,21.0,234.0,5.0,148.0,4.0
individuals_ID0000009,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765797.0,1600765797.0,1600765802.0,6.0,,22.0,243.0,5.0,156.0,4.0
individuals_ID0000019,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765802.0,1600765802.0,1600765812.0,6.0,,22.0,248.0,10.0,162.0,5.0
individuals_ID0000008,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765807.0,1600765807.0,1600765812.0,6.0,,22.0,253.0,5.0,160.0,5.0
individuals_ID0000014,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765802.0,1600765802.0,1600765807.0,6.0,,22.0,248.0,5.0,162.0,5.0
individuals_ID0000003,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765772.0,1600765772.0,1600765777.0,6.0,,22.0,218.0,5.0,140.0,5.0
individuals_ID0000013,compute,1600765526.0,,,1600765532.0,1600765553.0,1600765792.0,1600765792.0,1600765797.0,6.0,,21.0,239.0,5.0,154.0,4.0
individuals_ID0000010,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765802.0,1600765802.0,1600765807.0,6.0,,22.0,248.0,5.0,156.0,5.0
individuals_ID0000001,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765792.0,1600765792.0,1600765797.0,6.0,,22.0,238.0,5.0,151.0,5.0
individuals_ID0000002,compute,1600765526.0,,,1600765532.0,1600765553.0,1600765792.0,1600765792.0,1600765797.0,6.0,,21.0,239.0,5.0,151.0,5.0
individuals_ID0000004,compute,1600765526.0,,,1600765531.0,1600765533.0,1600765692.0,1600765692.0,1600765697.0,5.0,,2.0,159.0,5.0,85.0,6.0
individuals_ID0000005,compute,1600765526.0,,,1600765532.0,1600765534.0,1600765692.0,1600765692.0,1600765697.0,6.0,,2.0,158.0,5.0,83.0,6.0
individuals_ID0000016,compute,1600765526.0,,,1600765532.0,1600765534.0,1600765692.0,1600765692.0,1600765697.0,6.0,,2.0,158.0,5.0,83.0,7.0
individuals_ID0000015,compute,1600765526.0,,,1600765532.0,1600765533.0,1600765687.0,1600765687.0,1600765692.0,6.0,,1.0,154.0,5.0,78.0,6.0
individuals_ID0000017,compute,1600765526.0,,,1600765532.0,1600765552.0,1600765787.0,1600765787.0,1600765792.0,6.0,,20.0,235.0,5.0,150.0,4.0
individuals_ID0000007,compute,1600765526.0,,,1600765532.0,1600765554.0,1600765802.0,1600765802.0,1600765812.0,6.0,,22.0,248.0,10.0,159.0,5.0
individuals_ID0000018,compute,1600765526.0,,,1600765532.0,1600765553.0,1600765772.0,1600765772.0,1600765777.0,6.0,,21.0,219.0,5.0,139.0,5.0
individuals_ID0000022,compute,1600765526.0,,,1600765532.0,1600765553.0,1600765797.0,1600765797.0,1600765802.0,6.0,,21.0,244.0,5.0,158.0,4.0
individuals_ID0000006,compute,1600765526.0,,,1600765532.0,1600765552.0,1600765797.0,1600765797.0,1600765802.0,6.0,,20.0,245.0,5.0,160.0,4.0
individuals_merge_ID0000011,compute,1600765812.0,,,1600765817.0,1600765818.0,1600765872.0,1600765872.0,1600765877.0,5.0,,1.0,54.0,5.0,10.0,5.0
individuals_merge_ID0000023,compute,1600765812.0,,,1600765817.0,1600765818.0,1600765872.0,1600765872.0,1600765877.0,5.0,,1.0,54.0,5.0,10.0,5.0
frequency_ID0000052,compute,1600765877.0,,,1600765882.0,1600765899.0,1600766014.0,1600766014.0,1600766019.0,5.0,,17.0,115.0,5.0,7.0,6.0
mutation_overlap_ID0000043,compute,1600765877.0,,,1600765882.0,1600765905.0,1600765928.0,1600765928.0,1600765933.0,5.0,,23.0,23.0,5.0,6.0,5.0
frequency_ID0000046,compute,1600765877.0,,,1600765882.0,1600765899.0,1600766014.0,1600766014.0,1600766019.0,5.0,,17.0,115.0,5.0,7.0,6.0
mutation_overlap_ID0000041,compute,1600765877.0,,,1600765882.0,1600765899.0,1600765923.0,1600765923.0,1600765928.0,5.0,,17.0,24.0,5.0,5.0,6.0
frequency_ID0000048,compute,1600765877.0,,,1600765882.0,1600765899.0,1600766029.0,1600766029.0,1600766034.0,5.0,,17.0,130.0,5.0,5.0,6.0
frequency_ID0000042,compute,1600765877.0,,,1600765882.0,1600765916.0,1600766054.0,1600766054.0,1600766059.0,5.0,,34.0,138.0,5.0,5.0,4.0
mutation_overlap_ID0000047,compute,1600765877.0,,,1600765883.0,1600765924.0,1600765948.0,1600765948.0,1600765953.0,6.0,,41.0,24.0,5.0,6.0,5.0
mutation_overlap_ID0000051,compute,1600765877.0,,,1600765883.0,1600765917.0,1600765964.0,1600765964.0,1600765969.0,6.0,,34.0,47.0,5.0,5.0,4.0
mutation_overlap_ID0000039,compute,1600765877.0,,,1600765883.0,1600765918.0,1600765933.0,1600765933.0,1600765938.0,6.0,,35.0,15.0,5.0,5.0,4.0
mutation_overlap_ID0000049,compute,1600765877.0,,,1600765883.0,1600765918.0,1600765938.0,1600765938.0,1600765943.0,6.0,,35.0,20.0,5.0,4.0,4.0
mutation_overlap_ID0000045,compute,1600765877.0,,,1600765883.0,1600765919.0,1600765943.0,1600765943.0,1600765948.0,6.0,,36.0,24.0,5.0,5.0,5.0
frequency_ID0000040,compute,1600765877.0,,,1600765882.0,1600765899.0,1600766024.0,1600766024.0,1600766029.0,5.0,,17.0,125.0,5.0,5.0,5.0
frequency_ID0000044,compute,1600765877.0,,,1600765882.0,1600765918.0,1600766054.0,1600766054.0,1600766059.0,5.0,,36.0,136.0,5.0,6.0,5.0
frequency_ID0000050,compute,1600765877.0,,,1600765882.0,1600765898.0,1600766029.0,1600766029.0,1600766034.0,5.0,,16.0,131.0,5.0,4.0,5.0
frequency_ID0000026,compute,1600765877.0,,,1600765882.0,1600765899.0,1600766014.0,1600766014.0,1600766019.0,5.0,,17.0,115.0,5.0,7.0,7.0
mutation_overlap_ID0000037,compute,1600765877.0,,,1600765882.0,1600765899.0,1600765943.0,1600765943.0,1600765948.0,5.0,,17.0,44.0,5.0,6.0,6.0
frequency_ID0000030,compute,1600765877.0,,,1600765882.0,1600765883.0,1600766019.0,1600766019.0,1600766024.0,5.0,,1.0,136.0,5.0,6.0,5.0
mutation_overlap_ID0000031,compute,1600765877.0,,,1600765882.0,1600765883.0,1600765908.0,1600765908.0,1600765913.0,5.0,,1.0,25.0,5.0,6.0,6.0
frequency_ID0000036,compute,1600765877.0,,,1600765882.0,1600765898.0,1600766034.0,1600766034.0,1600766039.0,5.0,,16.0,136.0,5.0,6.0,5.0
mutation_overlap_ID0000025,compute,1600765877.0,,,1600765882.0,1600765899.0,1600765918.0,1600765918.0,1600765923.0,5.0,,17.0,19.0,5.0,6.0,5.0
frequency_ID0000038,compute,1600765877.0,,,1600765882.0,1600765898.0,1600766039.0,1600766039.0,1600766044.0,5.0,,16.0,141.0,5.0,4.0,4.0
mutation_overlap_ID0000033,compute,1600765877.0,,,1600765882.0,1600765898.0,1600765918.0,1600765918.0,1600765923.0,5.0,,16.0,20.0,5.0,5.0,4.0
frequency_ID0000034,compute,1600765877.0,,,1600765882.0,1600765898.0,1600766039.0,1600766039.0,1600766044.0,5.0,,16.0,141.0,5.0,4.0,4.0
mutation_overlap_ID0000027,compute,1600765877.0,,,1600765882.0,1600765898.0,1600765918.0,1600765918.0,1600765923.0,5.0,,16.0,20.0,5.0,5.0,4.0
mutation_overlap_ID0000029,compute,1600765877.0,,,1600765882.0,1600765898.0,1600765918.0,1600765918.0,1600765923.0,5.0,,16.0,20.0,5.0,5.0,4.0
frequency_ID0000028,compute,1600765877.0,,,1600765882.0,1600765899.0,1600766039.0,1600766039.0,1600766044.0,5.0,,17.0,140.0,5.0,5.0,4.0
mutation_overlap_ID0000035,compute,1600765877.0,,,1600765882.0,1600765898.0,1600765918.0,1600765918.0,1600765923.0,5.0,,16.0,20.0,5.0,5.0,4.0
frequency_ID0000032,compute,1600765877.0,,,1600765882.0,1600765899.0,1600766029.0,1600766029.0,1600766034.0,5.0,,17.0,130.0,5.0,5.0,5.0
stage_out_local_condorpool_2_2,transfer,1600766044.0,,,1600766049.0,1600766049.0,1600766064.0,1600766064.0,1600766069.0,5.0,,0.0,15.0,5.0,,11.0
stage_out_local_condorpool_2_0,transfer,1600766059.0,,,1600766064.0,1600766069.0,1600766084.0,1600766084.0,1600766089.0,5.0,,5.0,15.0,5.0,,13.0
stage_out_local_condorpool_2_1,transfer,1600766059.0,,,1600766064.0,1600766064.0,1600766079.0,1600766079.0,1600766084.0,5.0,,0.0,15.0,5.0,,11.0
cleanup_1000genome-20200922T030313Z_0_condorpool,auxiliary,1600766089.0,,,1600766094.0,1600766094.0,1600766099.0,1600766099.0,1600766104.0,5.0,,0.0,5.0,5.0,,
