,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325052400_0_condorpool,auxiliary,1621083827.0,,,1621083831.0,1621083832.0,1621083836.0,1621083836.0,1621083841.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621083841.0,,,1621083846.0,1621083862.0,1621083901.0,1621083901.0,1621083906.0,5.0,,16.0,39.0,5.0,12.0,21.0
merge_mrtV2_PID2_ID4,compute,1621083906.0,,,1621083912.0,1621083932.0,1621083957.0,1621083957.0,1621083962.0,6.0,,20.0,25.0,5.0,15.0,6.0
stage_out_local_condorpool_0_0,transfer,1621083906.0,,,1621083912.0,1621083912.0,1621083942.0,1621083942.0,1621083947.0,6.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1621083906.0,,,1621083912.0,1621083932.0,1621083957.0,1621083957.0,1621083962.0,6.0,,20.0,25.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1621083906.0,,,1621083912.0,1621083932.0,1621083957.0,1621083957.0,1621083962.0,6.0,,20.0,25.0,5.0,15.0,6.0
merge_merged_netcdf2png_PID2_ID4,compute,1621083906.0,,,1621083912.0,1621083934.0,1621083967.0,1621083967.0,1621083972.0,6.0,,22.0,33.0,5.0,18.0,6.0
merge_mrtV2_PID2_ID1,compute,1621083906.0,,,1621083912.0,1621083956.0,1621083982.0,1621083982.0,1621083987.0,6.0,,44.0,26.0,5.0,13.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1621083906.0,,,1621083912.0,1621083956.0,1621083982.0,1621083982.0,1621083987.0,6.0,,44.0,26.0,5.0,13.0,6.0
merge_mrtV2_PID2_ID2,compute,1621083906.0,,,1621083912.0,1621083957.0,1621083987.0,1621083987.0,1621083992.0,6.0,,45.0,30.0,5.0,19.0,7.0
merge_mrtV2_PID2_ID3,compute,1621083906.0,,,1621083912.0,1621083965.0,1621083997.0,1621083997.0,1621084002.0,6.0,,53.0,32.0,5.0,22.0,8.0
stage_out_local_condorpool_1_0,transfer,1621084002.0,,,1621084007.0,1621084007.0,1621084062.0,1621084062.0,1621084067.0,5.0,,0.0,55.0,5.0,,51.0
cleanup_casa_nowcast-wf-20190325052400_0_condorpool,auxiliary,1621084067.0,,,1621084072.0,1621084072.0,1621084077.0,1621084077.0,1621084082.0,5.0,,0.0,5.0,5.0,,
