,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T054229Z_0_condorpool,auxiliary,1621116422.0,,,1621116426.0,1621116427.0,1621116431.0,1621116431.0,1621116436.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116471.0,1621116471.0,1621116476.0,5.0,,11.0,19.0,5.0,3.0,8.0
gunzip_ID0000005,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116471.0,1621116471.0,1621116476.0,5.0,,11.0,19.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116471.0,1621116471.0,1621116476.0,5.0,,11.0,19.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116471.0,1621116471.0,1621116476.0,5.0,,11.0,19.0,5.0,3.0,8.0
gunzip_ID0000007,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116466.0,1621116466.0,1621116471.0,5.0,,11.0,14.0,5.0,3.0,8.0
gunzip_ID0000012,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116471.0,1621116471.0,1621116476.0,5.0,,11.0,19.0,5.0,2.0,8.0
gunzip_ID0000001,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116466.0,1621116466.0,1621116471.0,5.0,,11.0,14.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116466.0,1621116466.0,1621116471.0,5.0,,11.0,14.0,5.0,3.0,8.0
gunzip_ID0000008,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116471.0,1621116471.0,1621116476.0,5.0,,11.0,19.0,5.0,3.0,8.0
gunzip_ID0000014,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116471.0,1621116471.0,1621116476.0,5.0,,11.0,19.0,5.0,3.0,8.0
gunzip_ID0000003,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116466.0,1621116466.0,1621116471.0,5.0,,11.0,14.0,5.0,2.0,8.0
gunzip_ID0000015,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116466.0,1621116466.0,1621116471.0,5.0,,11.0,14.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116466.0,1621116466.0,1621116471.0,5.0,,11.0,14.0,5.0,2.0,8.0
gunzip_ID0000010,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116466.0,1621116466.0,1621116471.0,5.0,,11.0,14.0,5.0,2.0,8.0
gunzip_ID0000011,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116471.0,1621116471.0,1621116476.0,5.0,,11.0,19.0,5.0,3.0,8.0
gunzip_ID0000009,compute,1621116436.0,,,1621116441.0,1621116451.0,1621116466.0,1621116466.0,1621116471.0,5.0,,10.0,15.0,5.0,3.0,6.0
gunzip_ID0000002,compute,1621116436.0,,,1621116441.0,1621116452.0,1621116466.0,1621116466.0,1621116471.0,5.0,,11.0,14.0,5.0,2.0,8.0
um_vel_ID0000018,compute,1621116476.0,,,1621116481.0,1621116481.0,1621116516.0,1621116516.0,1621116521.0,5.0,,0.0,35.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1621116521.0,,,1621116526.0,1621116526.0,1621116536.0,1621116536.0,1621116541.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1621116521.0,,,1621116526.0,1621116526.0,1621116546.0,1621116546.0,1621116551.0,5.0,,0.0,20.0,5.0,9.0,4.0
mvt_ID0000020,compute,1621116521.0,,,1621116526.0,1621116543.0,1621116616.0,1621116616.0,1621116621.0,5.0,,17.0,73.0,5.0,9.0,4.0
stage_out_local_condorpool_2_0,transfer,1621116621.0,,,1621116626.0,1621116626.0,1621116636.0,1621116636.0,1621116641.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621116621.0,,,1621116626.0,1621116626.0,1621116646.0,1621116646.0,1621116651.0,5.0,,0.0,20.0,5.0,11.0,4.0
stage_out_local_condorpool_3_0,transfer,1621116651.0,,,1621116656.0,1621116656.0,1621116666.0,1621116666.0,1621116671.0,5.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T054229Z_0_condorpool,auxiliary,1621116671.0,,,1621116676.0,1621116676.0,1621116681.0,1621116681.0,1621116686.0,5.0,,0.0,5.0,5.0,,
