,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325051900_0_condorpool,auxiliary,1621382125.0,,,1621382129.0,1621382131.0,1621382139.0,1621382139.0,1621382144.0,4.0,,2.0,8.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621382144.0,,,1621382149.0,1621382166.0,1621382195.0,1621382195.0,1621382200.0,5.0,,17.0,29.0,5.0,8.0,15.0
merge_mrtV2_PID2_ID4,compute,1621382200.0,,,1621382205.0,1621382226.0,1621382250.0,1621382250.0,1621382255.0,5.0,,21.0,24.0,5.0,15.0,7.0
stage_out_local_condorpool_0_0,transfer,1621382200.0,,,1621382205.0,1621382205.0,1621382235.0,1621382235.0,1621382240.0,5.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1621382200.0,,,1621382205.0,1621382226.0,1621382255.0,1621382255.0,1621382260.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1621382200.0,,,1621382205.0,1621382226.0,1621382250.0,1621382250.0,1621382255.0,5.0,,21.0,24.0,5.0,14.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621382200.0,,,1621382205.0,1621382226.0,1621382250.0,1621382250.0,1621382255.0,5.0,,21.0,24.0,5.0,14.0,6.0
merge_mrtV2_PID2_ID1,compute,1621382200.0,,,1621382205.0,1621382248.0,1621382270.0,1621382270.0,1621382275.0,5.0,,43.0,22.0,5.0,12.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1621382200.0,,,1621382205.0,1621382249.0,1621382275.0,1621382275.0,1621382280.0,5.0,,44.0,26.0,5.0,14.0,6.0
merge_mrtV2_PID2_ID2,compute,1621382200.0,,,1621382205.0,1621382250.0,1621382275.0,1621382275.0,1621382280.0,5.0,,45.0,25.0,5.0,14.0,6.0
merge_mrtV2_PID2_ID3,compute,1621382200.0,,,1621382205.0,1621382250.0,1621382275.0,1621382275.0,1621382280.0,5.0,,45.0,25.0,5.0,13.0,7.0
stage_out_local_condorpool_1_0,transfer,1621382280.0,,,1621382285.0,1621382285.0,1621382340.0,1621382340.0,1621382346.0,5.0,,0.0,55.0,6.0,,52.0
cleanup_casa_nowcast-wf-20190325051900_0_condorpool,auxiliary,1621382346.0,,,1621382351.0,1621382351.0,1621382356.0,1621382356.0,1621382361.0,5.0,,0.0,5.0,5.0,,
