,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200520T031010Z_0_condorpool,auxiliary,1589950751.0,,,1589950755.0,1589950756.0,1589950760.0,1589950760.0,1589950765.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1589950765.0,,,1589950786.0,1589950975.0,1589951027.0,1589951027.0,1589951032.0,21.0,,189.0,52.0,5.0,42.0,3.0
sifting_ID0000012,compute,1589950765.0,,,1589950785.0,1589950945.0,1589951007.0,1589951007.0,1589951012.0,20.0,,160.0,62.0,5.0,45.0,4.0
individuals_ID0000021,compute,1589950765.0,,,1589950781.0,1589950793.0,1589951007.0,1589951007.0,1589951022.0,16.0,,12.0,214.0,15.0,154.0,3.0
individuals_ID0000020,compute,1589950765.0,,,1589950775.0,1589950793.0,1589951007.0,1589951007.0,1589951017.0,10.0,,18.0,214.0,10.0,150.0,4.0
individuals_ID0000009,compute,1589950765.0,,,1589950774.0,1589950793.0,1589951012.0,1589951012.0,1589951022.0,9.0,,19.0,219.0,10.0,149.0,3.0
individuals_ID0000019,compute,1589950765.0,,,1589950773.0,1589950793.0,1589951007.0,1589951007.0,1589951022.0,8.0,,20.0,214.0,15.0,150.0,4.0
individuals_ID0000008,compute,1589950765.0,,,1589950772.0,1589950792.0,1589951012.0,1589951012.0,1589951022.0,7.0,,20.0,220.0,10.0,152.0,4.0
individuals_ID0000014,compute,1589950765.0,,,1589950772.0,1589950792.0,1589951007.0,1589951007.0,1589951022.0,7.0,,20.0,215.0,15.0,150.0,4.0
individuals_ID0000003,compute,1589950765.0,,,1589950772.0,1589950793.0,1589951002.0,1589951002.0,1589951007.0,7.0,,21.0,209.0,5.0,147.0,3.0
individuals_ID0000013,compute,1589950765.0,,,1589950772.0,1589950773.0,1589951007.0,1589951007.0,1589951017.0,7.0,,1.0,234.0,10.0,153.0,4.0
individuals_ID0000010,compute,1589950765.0,,,1589950775.0,1589950793.0,1589951012.0,1589951012.0,1589951022.0,10.0,,18.0,219.0,10.0,148.0,3.0
individuals_ID0000001,compute,1589950765.0,,,1589950771.0,1589950772.0,1589950981.0,1589950981.0,1589950987.0,6.0,,1.0,209.0,6.0,148.0,3.0
individuals_ID0000002,compute,1589950765.0,,,1589950771.0,1589950773.0,1589951007.0,1589951007.0,1589951017.0,6.0,,2.0,234.0,10.0,153.0,3.0
individuals_ID0000004,compute,1589950765.0,,,1589950770.0,1589950772.0,1589951002.0,1589951002.0,1589951007.0,5.0,,2.0,230.0,5.0,163.0,3.0
individuals_ID0000005,compute,1589950765.0,,,1589950770.0,1589950773.0,1589950987.0,1589950987.0,1589950992.0,5.0,,3.0,214.0,5.0,150.0,4.0
individuals_ID0000016,compute,1589950765.0,,,1589950770.0,1589950772.0,1589950997.0,1589950997.0,1589951002.0,5.0,,2.0,225.0,5.0,154.0,3.0
individuals_ID0000015,compute,1589950765.0,,,1589950770.0,1589950772.0,1589950946.0,1589950946.0,1589950951.0,5.0,,2.0,174.0,5.0,128.0,4.0
individuals_ID0000017,compute,1589950765.0,,,1589950771.0,1589950772.0,1589951007.0,1589951007.0,1589951017.0,6.0,,1.0,235.0,10.0,150.0,4.0
individuals_ID0000007,compute,1589950765.0,,,1589950771.0,1589950772.0,1589950976.0,1589950976.0,1589950982.0,6.0,,1.0,204.0,6.0,145.0,4.0
individuals_ID0000018,compute,1589950765.0,,,1589950771.0,1589950773.0,1589950982.0,1589950982.0,1589950987.0,6.0,,2.0,209.0,5.0,149.0,3.0
individuals_ID0000022,compute,1589950765.0,,,1589950771.0,1589950772.0,1589950997.0,1589950997.0,1589951002.0,6.0,,1.0,225.0,5.0,157.0,4.0
individuals_ID0000006,compute,1589950765.0,,,1589950771.0,1589950772.0,1589951002.0,1589951002.0,1589951007.0,6.0,,1.0,230.0,5.0,163.0,5.0
individuals_merge_ID0000011,compute,1589951022.0,,,1589951027.0,1589951028.0,1589951072.0,1589951072.0,1589951077.0,5.0,,1.0,44.0,5.0,6.0,3.0
individuals_merge_ID0000023,compute,1589951022.0,,,1589951027.0,1589951028.0,1589951072.0,1589951072.0,1589951077.0,5.0,,1.0,44.0,5.0,6.0,4.0
frequency_ID0000052,compute,1589951077.0,,,1589951082.0,1589951103.0,1589951245.0,1589951245.0,1589951250.0,5.0,,21.0,142.0,5.0,5.0,3.0
mutation_overlap_ID0000043,compute,1589951077.0,,,1589951083.0,1589951104.0,1589951130.0,1589951130.0,1589951135.0,6.0,,21.0,26.0,5.0,5.0,4.0
frequency_ID0000046,compute,1589951077.0,,,1589951082.0,1589951103.0,1589951250.0,1589951250.0,1589951255.0,5.0,,21.0,147.0,5.0,5.0,5.0
mutation_overlap_ID0000041,compute,1589951077.0,,,1589951083.0,1589951104.0,1589951155.0,1589951155.0,1589951160.0,6.0,,21.0,51.0,5.0,4.0,3.0
frequency_ID0000048,compute,1589951077.0,,,1589951083.0,1589951104.0,1589951255.0,1589951255.0,1589951265.0,6.0,,21.0,151.0,10.0,5.0,4.0
frequency_ID0000042,compute,1589951077.0,,,1589951083.0,1589951105.0,1589951255.0,1589951255.0,1589951260.0,6.0,,22.0,150.0,5.0,4.0,3.0
mutation_overlap_ID0000047,compute,1589951077.0,,,1589951084.0,1589951104.0,1589951140.0,1589951140.0,1589951145.0,7.0,,20.0,36.0,5.0,5.0,4.0
mutation_overlap_ID0000051,compute,1589951077.0,,,1589951083.0,1589951104.0,1589951135.0,1589951135.0,1589951140.0,6.0,,21.0,31.0,5.0,3.0,4.0
mutation_overlap_ID0000039,compute,1589951077.0,,,1589951083.0,1589951104.0,1589951135.0,1589951135.0,1589951140.0,6.0,,21.0,31.0,5.0,4.0,4.0
mutation_overlap_ID0000049,compute,1589951077.0,,,1589951083.0,1589951104.0,1589951125.0,1589951125.0,1589951130.0,6.0,,21.0,21.0,5.0,5.0,4.0
mutation_overlap_ID0000045,compute,1589951077.0,,,1589951083.0,1589951104.0,1589951135.0,1589951135.0,1589951140.0,6.0,,21.0,31.0,5.0,4.0,3.0
frequency_ID0000040,compute,1589951077.0,,,1589951082.0,1589951083.0,1589951225.0,1589951225.0,1589951230.0,5.0,,1.0,142.0,5.0,3.0,3.0
frequency_ID0000044,compute,1589951077.0,,,1589951083.0,1589951104.0,1589951255.0,1589951255.0,1589951265.0,6.0,,21.0,151.0,10.0,5.0,3.0
frequency_ID0000050,compute,1589951077.0,,,1589951082.0,1589951082.0,1589951225.0,1589951225.0,1589951230.0,5.0,,0.0,143.0,5.0,4.0,4.0
frequency_ID0000026,compute,1589951077.0,,,1589951084.0,1589951104.0,1589951250.0,1589951250.0,1589951255.0,7.0,,20.0,146.0,5.0,4.0,3.0
mutation_overlap_ID0000037,compute,1589951077.0,,,1589951085.0,1589951134.0,1589951150.0,1589951150.0,1589951155.0,8.0,,49.0,16.0,5.0,4.0,3.0
frequency_ID0000030,compute,1589951077.0,,,1589951084.0,1589951104.0,1589951245.0,1589951245.0,1589951250.0,7.0,,20.0,141.0,5.0,5.0,3.0
mutation_overlap_ID0000031,compute,1589951077.0,,,1589951084.0,1589951104.0,1589951130.0,1589951130.0,1589951135.0,7.0,,20.0,26.0,5.0,5.0,3.0
frequency_ID0000036,compute,1589951077.0,,,1589951084.0,1589951104.0,1589951255.0,1589951255.0,1589951260.0,7.0,,20.0,151.0,5.0,5.0,4.0
mutation_overlap_ID0000025,compute,1589951077.0,,,1589951085.0,1589951136.0,1589951155.0,1589951155.0,1589951160.0,8.0,,51.0,19.0,5.0,4.0,4.0
frequency_ID0000038,compute,1589951077.0,,,1589951084.0,1589951105.0,1589951255.0,1589951255.0,1589951260.0,7.0,,21.0,150.0,5.0,4.0,4.0
