,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T051828Z_0_condorpool,auxiliary,1621398372.0,,,1621398376.0,1621398378.0,1621398386.0,1621398386.0,1621398391.0,4.0,,2.0,8.0,5.0,,
gunzip_ID0000016,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000006,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,4.0,9.0
gunzip_ID0000012,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,3.0,10.0
gunzip_ID0000013,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,4.0,8.0
gunzip_ID0000008,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398427.0,1621398427.0,1621398432.0,6.0,,17.0,13.0,5.0,2.0,7.0
gunzip_ID0000014,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,4.0,9.0
gunzip_ID0000003,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398427.0,1621398427.0,1621398432.0,6.0,,17.0,13.0,5.0,3.0,8.0
gunzip_ID0000015,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,6.0,,17.0,18.0,5.0,4.0,9.0
gunzip_ID0000004,compute,1621398391.0,,,1621398397.0,1621398413.0,1621398432.0,1621398432.0,1621398437.0,6.0,,16.0,19.0,5.0,4.0,8.0
gunzip_ID0000010,compute,1621398391.0,,,1621398396.0,1621398414.0,1621398432.0,1621398432.0,1621398437.0,5.0,,18.0,18.0,5.0,4.0,8.0
gunzip_ID0000011,compute,1621398391.0,,,1621398396.0,1621398413.0,1621398427.0,1621398427.0,1621398432.0,5.0,,17.0,14.0,5.0,3.0,7.0
gunzip_ID0000009,compute,1621398391.0,,,1621398396.0,1621398413.0,1621398427.0,1621398427.0,1621398432.0,5.0,,17.0,14.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1621398391.0,,,1621398397.0,1621398414.0,1621398427.0,1621398427.0,1621398432.0,6.0,,17.0,13.0,5.0,3.0,6.0
um_vel_ID0000018,compute,1621398437.0,,,1621398442.0,1621398443.0,1621398472.0,1621398472.0,1621398477.0,5.0,,1.0,29.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1621398477.0,,,1621398483.0,1621398483.0,1621398493.0,1621398493.0,1621398498.0,6.0,,0.0,10.0,5.0,,6.0
merged_netcdf2png_ID0000019,compute,1621398477.0,,,1621398483.0,1621398483.0,1621398503.0,1621398503.0,1621398508.0,6.0,,0.0,20.0,5.0,10.0,4.0
mvt_ID0000020,compute,1621398477.0,,,1621398483.0,1621398499.0,1621398573.0,1621398573.0,1621398578.0,6.0,,16.0,74.0,5.0,9.0,4.0
stage_out_local_condorpool_2_0,transfer,1621398578.0,,,1621398583.0,1621398583.0,1621398593.0,1621398593.0,1621398598.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621398578.0,,,1621398583.0,1621398583.0,1621398603.0,1621398603.0,1621398608.0,5.0,,0.0,20.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1621398608.0,,,1621398613.0,1621398613.0,1621398623.0,1621398623.0,1621398628.0,5.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T051828Z_0_condorpool,auxiliary,1621398628.0,,,1621398633.0,1621398633.0,1621398638.0,1621398638.0,1621398644.0,5.0,,0.0,5.0,6.0,,
