,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200521T193903Z_0_condorpool,auxiliary,1590122492.0,,,1590122496.0,1590122497.0,1590122501.0,1590122501.0,1590122506.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1590122506.0,,,1590122513.0,1590122799.0,1590123089.0,1590123089.0,1590123096.0,7.0,,286.0,290.0,7.0,279.0,3.0
sifting_ID0000012,compute,1590122506.0,,,1590122513.0,1590122788.0,1590123084.0,1590123084.0,1590123089.0,7.0,,275.0,296.0,5.0,284.0,4.0
individuals_ID0000021,compute,1590122506.0,,,1590122513.0,1590122524.0,1590122839.0,1590122839.0,1590122844.0,7.0,,11.0,315.0,5.0,251.0,4.0
individuals_ID0000010,compute,1590122506.0,,,1590122513.0,1590122525.0,1590122824.0,1590122824.0,1590122829.0,7.0,,12.0,299.0,5.0,228.0,4.0
individuals_ID0000020,compute,1590122506.0,,,1590122513.0,1590122522.0,1590122824.0,1590122824.0,1590122829.0,7.0,,9.0,302.0,5.0,231.0,3.0
individuals_ID0000009,compute,1590122506.0,,,1590122513.0,1590122522.0,1590122824.0,1590122824.0,1590122829.0,7.0,,9.0,302.0,5.0,233.0,3.0
individuals_ID0000019,compute,1590122506.0,,,1590122513.0,1590122521.0,1590122809.0,1590122809.0,1590122814.0,7.0,,8.0,288.0,5.0,216.0,4.0
individuals_ID0000014,compute,1590122506.0,,,1590122513.0,1590122521.0,1590122824.0,1590122824.0,1590122834.0,7.0,,8.0,303.0,10.0,223.0,3.0
individuals_ID0000003,compute,1590122506.0,,,1590122512.0,1590122521.0,1590122814.0,1590122814.0,1590122824.0,6.0,,9.0,293.0,10.0,211.0,3.0
individuals_ID0000013,compute,1590122506.0,,,1590122512.0,1590122521.0,1590122814.0,1590122814.0,1590122824.0,6.0,,9.0,293.0,10.0,215.0,4.0
individuals_ID0000008,compute,1590122506.0,,,1590122513.0,1590122521.0,1590122829.0,1590122829.0,1590122834.0,7.0,,8.0,308.0,5.0,232.0,4.0
individuals_ID0000001,compute,1590122506.0,,,1590122512.0,1590122521.0,1590122799.0,1590122799.0,1590122809.0,6.0,,9.0,278.0,10.0,217.0,3.0
individuals_ID0000004,compute,1590122506.0,,,1590122511.0,1590122520.0,1590122804.0,1590122804.0,1590122809.0,5.0,,9.0,284.0,5.0,218.0,5.0
individuals_ID0000002,compute,1590122506.0,,,1590122512.0,1590122523.0,1590122814.0,1590122814.0,1590122824.0,6.0,,11.0,291.0,10.0,219.0,4.0
individuals_ID0000005,compute,1590122506.0,,,1590122511.0,1590122520.0,1590122814.0,1590122814.0,1590122824.0,5.0,,9.0,294.0,10.0,229.0,4.0
individuals_ID0000016,compute,1590122506.0,,,1590122512.0,1590122521.0,1590122829.0,1590122829.0,1590122834.0,6.0,,9.0,308.0,5.0,232.0,4.0
individuals_ID0000006,compute,1590122506.0,,,1590122512.0,1590122523.0,1590122819.0,1590122819.0,1590122829.0,6.0,,11.0,296.0,10.0,218.0,4.0
