,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050700_0_condorpool,auxiliary,1621466876.0,,,1621466880.0,1621466881.0,1621466885.0,1621466885.0,1621466890.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621466890.0,,,1621466895.0,1621466900.0,1621466930.0,1621466930.0,1621466935.0,5.0,,5.0,30.0,5.0,10.0,17.0
merge_mrtV2_PID2_ID4,compute,1621466935.0,,,1621466940.0,1621466962.0,1621466991.0,1621466991.0,1621466996.0,5.0,,22.0,29.0,5.0,17.0,7.0
stage_out_local_condorpool_0_0,transfer,1621466935.0,,,1621466940.0,1621466940.0,1621466976.0,1621466976.0,1621466981.0,5.0,,0.0,36.0,5.0,,34.0
merge_merged_netcdf2png_PID2_ID2,compute,1621466935.0,,,1621466940.0,1621466961.0,1621466991.0,1621466991.0,1621466996.0,5.0,,21.0,30.0,5.0,18.0,8.0
merge_merged_netcdf2png_PID2_ID1,compute,1621466935.0,,,1621466940.0,1621466961.0,1621466991.0,1621466991.0,1621466996.0,5.0,,21.0,30.0,5.0,18.0,8.0
merge_merged_netcdf2png_PID2_ID4,compute,1621466935.0,,,1621466940.0,1621466961.0,1621466991.0,1621466991.0,1621466996.0,5.0,,21.0,30.0,5.0,16.0,7.0
merge_mrtV2_PID2_ID1,compute,1621466935.0,,,1621466940.0,1621466987.0,1621467011.0,1621467011.0,1621467016.0,5.0,,47.0,24.0,5.0,13.0,8.0
merge_merged_netcdf2png_PID2_ID3,compute,1621466935.0,,,1621466940.0,1621466989.0,1621467016.0,1621467016.0,1621467021.0,5.0,,49.0,27.0,5.0,16.0,7.0
merge_mrtV2_PID2_ID2,compute,1621466935.0,,,1621466940.0,1621466990.0,1621467016.0,1621467016.0,1621467021.0,5.0,,50.0,26.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID3,compute,1621466935.0,,,1621466940.0,1621466997.0,1621467026.0,1621467026.0,1621467031.0,5.0,,57.0,29.0,5.0,18.0,7.0
stage_out_local_condorpool_1_0,transfer,1621467031.0,,,1621467036.0,1621467036.0,1621467096.0,1621467096.0,1621467101.0,5.0,,0.0,60.0,5.0,,59.0
cleanup_casa_nowcast-wf-20190325050700_0_condorpool,auxiliary,1621467101.0,,,1621467106.0,1621467106.0,1621467111.0,1621467111.0,1621467116.0,5.0,,0.0,5.0,5.0,,
