,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T052729Z_0_condorpool,auxiliary,1621460682.0,,,1621460686.0,1621460687.0,1621460691.0,1621460691.0,1621460696.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,10.0
gunzip_ID0000017,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,10.0
gunzip_ID0000006,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,4.0,9.0
gunzip_ID0000007,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,2.0,8.0
gunzip_ID0000012,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,10.0
gunzip_ID0000001,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,2.0,8.0
gunzip_ID0000013,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,11.0
gunzip_ID0000008,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000014,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,10.0
gunzip_ID0000003,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,10.0
gunzip_ID0000015,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000010,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,2.0,9.0
gunzip_ID0000011,compute,1621460696.0,,,1621460701.0,1621460703.0,1621460722.0,1621460722.0,1621460727.0,5.0,,2.0,19.0,5.0,4.0,10.0
gunzip_ID0000009,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460722.0,1621460722.0,1621460727.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000002,compute,1621460696.0,,,1621460701.0,1621460704.0,1621460717.0,1621460717.0,1621460722.0,5.0,,3.0,13.0,5.0,3.0,8.0
um_vel_ID0000018,compute,1621460727.0,,,1621460732.0,1621460733.0,1621460777.0,1621460777.0,1621460782.0,5.0,,1.0,44.0,5.0,30.0,6.0
stage_out_local_condorpool_1_0,transfer,1621460782.0,,,1621460787.0,1621460787.0,1621460797.0,1621460797.0,1621460802.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1621460782.0,,,1621460787.0,1621460789.0,1621460812.0,1621460812.0,1621460817.0,5.0,,2.0,23.0,5.0,13.0,4.0
mvt_ID0000020,compute,1621460782.0,,,1621460787.0,1621460807.0,1621460882.0,1621460882.0,1621460887.0,5.0,,20.0,75.0,5.0,13.0,5.0
stage_out_local_condorpool_2_0,transfer,1621460887.0,,,1621460892.0,1621460892.0,1621460902.0,1621460902.0,1621460907.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621460887.0,,,1621460892.0,1621460893.0,1621460917.0,1621460917.0,1621460922.0,5.0,,1.0,24.0,5.0,12.0,4.0
stage_out_local_condorpool_3_0,transfer,1621460922.0,,,1621460927.0,1621460927.0,1621460937.0,1621460937.0,1621460942.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T052729Z_0_condorpool,auxiliary,1621460942.0,,,1621460947.0,1621460947.0,1621460952.0,1621460952.0,1621460957.0,5.0,,0.0,5.0,5.0,,
