,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200826T065300Z_0_condorpool,auxiliary,1598454354.0,,,1598454358.0,1598454359.0,1598454363.0,1598454363.0,1598454368.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1598454368.0,,,1598454374.0,1598454593.0,1598454619.0,1598454619.0,1598454624.0,6.0,,219.0,26.0,5.0,17.0,5.0
sifting_ID0000012,compute,1598454368.0,,,1598454374.0,1598454569.0,1598454594.0,1598454594.0,1598454599.0,6.0,,195.0,25.0,5.0,16.0,5.0
individuals_ID0000021,compute,1598454368.0,,,1598454374.0,1598454376.0,1598454619.0,1598454619.0,1598454629.0,6.0,,2.0,243.0,10.0,166.0,4.0
individuals_ID0000020,compute,1598454368.0,,,1598454374.0,1598454376.0,1598454614.0,1598454614.0,1598454624.0,6.0,,2.0,238.0,10.0,166.0,4.0
individuals_ID0000009,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454609.0,1598454609.0,1598454614.0,5.0,,3.0,233.0,5.0,166.0,4.0
individuals_ID0000019,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454614.0,1598454614.0,1598454629.0,5.0,,3.0,238.0,15.0,167.0,4.0
individuals_ID0000008,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454619.0,1598454619.0,1598454629.0,5.0,,3.0,243.0,10.0,166.0,4.0
individuals_ID0000014,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454614.0,1598454614.0,1598454629.0,5.0,,3.0,238.0,15.0,166.0,5.0
individuals_ID0000003,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454614.0,1598454614.0,1598454624.0,5.0,,3.0,238.0,10.0,166.0,4.0
individuals_ID0000013,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454609.0,1598454609.0,1598454614.0,5.0,,3.0,233.0,5.0,166.0,4.0
individuals_ID0000010,compute,1598454368.0,,,1598454374.0,1598454376.0,1598454614.0,1598454614.0,1598454624.0,6.0,,2.0,238.0,10.0,166.0,5.0
individuals_ID0000001,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454619.0,1598454619.0,1598454629.0,5.0,,3.0,243.0,10.0,166.0,4.0
individuals_ID0000002,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454609.0,1598454609.0,1598454614.0,5.0,,3.0,233.0,5.0,161.0,4.0
individuals_ID0000004,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454609.0,1598454609.0,1598454614.0,5.0,,3.0,233.0,5.0,162.0,4.0
individuals_ID0000005,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454574.0,1598454574.0,1598454579.0,5.0,,3.0,198.0,5.0,140.0,4.0
individuals_ID0000016,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454614.0,1598454614.0,1598454629.0,5.0,,3.0,238.0,15.0,164.0,4.0
individuals_ID0000015,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454619.0,1598454619.0,1598454629.0,5.0,,3.0,243.0,10.0,167.0,4.0
individuals_ID0000017,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454614.0,1598454614.0,1598454624.0,5.0,,3.0,238.0,10.0,167.0,4.0
individuals_ID0000007,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454609.0,1598454609.0,1598454614.0,5.0,,3.0,233.0,5.0,166.0,4.0
individuals_ID0000018,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454614.0,1598454614.0,1598454624.0,5.0,,3.0,238.0,10.0,164.0,4.0
individuals_ID0000022,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454614.0,1598454614.0,1598454624.0,5.0,,3.0,238.0,10.0,166.0,4.0
individuals_ID0000006,compute,1598454368.0,,,1598454373.0,1598454376.0,1598454619.0,1598454619.0,1598454629.0,5.0,,3.0,243.0,10.0,166.0,4.0
individuals_merge_ID0000011,compute,1598454629.0,,,1598454634.0,1598454635.0,1598454674.0,1598454674.0,1598454679.0,5.0,,1.0,39.0,5.0,6.0,4.0
individuals_merge_ID0000023,compute,1598454629.0,,,1598454634.0,1598454635.0,1598454674.0,1598454674.0,1598454679.0,5.0,,1.0,39.0,5.0,6.0,4.0
frequency_ID0000052,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,4.0
mutation_overlap_ID0000043,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454724.0,1598454724.0,1598454729.0,5.0,,22.0,18.0,5.0,4.0,4.0
frequency_ID0000046,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,4.0
mutation_overlap_ID0000041,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454724.0,1598454724.0,1598454729.0,5.0,,22.0,18.0,5.0,4.0,4.0
frequency_ID0000048,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,5.0
frequency_ID0000042,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,4.0
mutation_overlap_ID0000047,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454724.0,1598454724.0,1598454729.0,5.0,,22.0,18.0,5.0,4.0,4.0
mutation_overlap_ID0000051,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454744.0,1598454744.0,1598454749.0,5.0,,22.0,38.0,5.0,4.0,4.0
mutation_overlap_ID0000039,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454719.0,1598454719.0,1598454724.0,5.0,,22.0,13.0,5.0,4.0,4.0
mutation_overlap_ID0000049,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454724.0,1598454724.0,1598454729.0,5.0,,22.0,18.0,5.0,4.0,4.0
mutation_overlap_ID0000045,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454724.0,1598454724.0,1598454729.0,5.0,,22.0,18.0,5.0,4.0,4.0
frequency_ID0000040,compute,1598454679.0,,,1598454684.0,1598454684.0,1598454804.0,1598454804.0,1598454809.0,5.0,,0.0,120.0,5.0,3.0,4.0
frequency_ID0000044,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,5.0
frequency_ID0000050,compute,1598454679.0,,,1598454684.0,1598454684.0,1598454809.0,1598454809.0,1598454814.0,5.0,,0.0,125.0,5.0,3.0,4.0
frequency_ID0000026,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,4.0
mutation_overlap_ID0000037,compute,1598454679.0,,,1598454684.0,1598454722.0,1598454759.0,1598454759.0,1598454764.0,5.0,,38.0,37.0,5.0,4.0,4.0
frequency_ID0000030,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,4.0
mutation_overlap_ID0000031,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454724.0,1598454724.0,1598454729.0,5.0,,22.0,18.0,5.0,4.0,5.0
frequency_ID0000036,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,4.0
mutation_overlap_ID0000025,compute,1598454679.0,,,1598454684.0,1598454722.0,1598454739.0,1598454739.0,1598454744.0,5.0,,38.0,17.0,5.0,4.0,4.0
frequency_ID0000038,compute,1598454679.0,,,1598454684.0,1598454706.0,1598454829.0,1598454829.0,1598454839.0,5.0,,22.0,123.0,10.0,4.0,4.0
