,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050300_0_condorpool,auxiliary,1620843997.0,,,1620844001.0,1620844003.0,1620844011.0,1620844011.0,1620844016.0,4.0,,2.0,8.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1620844016.0,,,1620844021.0,1620844039.0,1620844067.0,1620844067.0,1620844072.0,5.0,,18.0,28.0,5.0,9.0,15.0
merge_mrtV2_PID2_ID4,compute,1620844072.0,,,1620844077.0,1620844097.0,1620844122.0,1620844122.0,1620844127.0,5.0,,20.0,25.0,5.0,16.0,6.0
stage_out_local_condorpool_0_0,transfer,1620844072.0,,,1620844077.0,1620844077.0,1620844107.0,1620844107.0,1620844112.0,5.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1620844072.0,,,1620844077.0,1620844097.0,1620844122.0,1620844122.0,1620844127.0,5.0,,20.0,25.0,5.0,16.0,6.0
merge_merged_netcdf2png_PID2_ID1,compute,1620844072.0,,,1620844077.0,1620844097.0,1620844122.0,1620844122.0,1620844127.0,5.0,,20.0,25.0,5.0,16.0,6.0
merge_merged_netcdf2png_PID2_ID4,compute,1620844072.0,,,1620844077.0,1620844097.0,1620844122.0,1620844122.0,1620844127.0,5.0,,20.0,25.0,5.0,16.0,6.0
merge_mrtV2_PID2_ID1,compute,1620844072.0,,,1620844077.0,1620844121.0,1620844147.0,1620844147.0,1620844152.0,5.0,,44.0,26.0,5.0,13.0,7.0
merge_merged_netcdf2png_PID2_ID3,compute,1620844072.0,,,1620844077.0,1620844122.0,1620844147.0,1620844147.0,1620844152.0,5.0,,45.0,25.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID2,compute,1620844072.0,,,1620844077.0,1620844122.0,1620844147.0,1620844147.0,1620844152.0,5.0,,45.0,25.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID3,compute,1620844072.0,,,1620844077.0,1620844122.0,1620844147.0,1620844147.0,1620844152.0,5.0,,45.0,25.0,5.0,15.0,7.0
stage_out_local_condorpool_1_0,transfer,1620844152.0,,,1620844157.0,1620844157.0,1620844212.0,1620844212.0,1620844217.0,5.0,,0.0,55.0,5.0,,54.0
cleanup_casa_nowcast-wf-20190325050300_0_condorpool,auxiliary,1620844217.0,,,1620844222.0,1620844222.0,1620844227.0,1620844227.0,1620844232.0,5.0,,0.0,5.0,5.0,,
