,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T053529Z_0_condorpool,auxiliary,1620877778.0,,,1620877782.0,1620877784.0,1620877792.0,1620877792.0,1620877797.0,4.0,,2.0,8.0,5.0,,
gunzip_ID0000016,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000006,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877832.0,1620877832.0,1620877837.0,5.0,,18.0,12.0,5.0,3.0,7.0
gunzip_ID0000012,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877832.0,1620877832.0,1620877837.0,5.0,,18.0,12.0,5.0,3.0,7.0
gunzip_ID0000008,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000014,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,9.0
gunzip_ID0000003,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,9.0
gunzip_ID0000015,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,9.0
gunzip_ID0000004,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,4.0,8.0
gunzip_ID0000010,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877832.0,1620877832.0,1620877837.0,5.0,,18.0,12.0,5.0,3.0,7.0
gunzip_ID0000011,compute,1620877797.0,,,1620877802.0,1620877819.0,1620877837.0,1620877837.0,1620877842.0,5.0,,17.0,18.0,5.0,4.0,8.0
gunzip_ID0000009,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877837.0,1620877837.0,1620877842.0,5.0,,18.0,17.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1620877797.0,,,1620877802.0,1620877820.0,1620877832.0,1620877832.0,1620877837.0,5.0,,18.0,12.0,5.0,2.0,7.0
um_vel_ID0000018,compute,1620877842.0,,,1620877847.0,1620877848.0,1620877877.0,1620877877.0,1620877882.0,5.0,,1.0,29.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1620877882.0,,,1620877887.0,1620877887.0,1620877897.0,1620877897.0,1620877902.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1620877882.0,,,1620877887.0,1620877887.0,1620877907.0,1620877907.0,1620877912.0,5.0,,0.0,20.0,5.0,9.0,4.0
mvt_ID0000020,compute,1620877882.0,,,1620877887.0,1620877903.0,1620877977.0,1620877977.0,1620877982.0,5.0,,16.0,74.0,5.0,9.0,4.0
stage_out_local_condorpool_2_0,transfer,1620877982.0,,,1620877987.0,1620877987.0,1620877997.0,1620877997.0,1620878002.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1620877982.0,,,1620877987.0,1620877987.0,1620878007.0,1620878007.0,1620878012.0,5.0,,0.0,20.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1620878012.0,,,1620878017.0,1620878017.0,1620878027.0,1620878027.0,1620878032.0,5.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T053529Z_0_condorpool,auxiliary,1620878032.0,,,1620878037.0,1620878037.0,1620878042.0,1620878042.0,1620878047.0,5.0,,0.0,5.0,5.0,,
