,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200826T175806Z_0_condorpool,auxiliary,1598469207.0,,,1598469211.0,1598469214.0,1598469222.0,1598469222.0,1598469227.0,4.0,,3.0,8.0,5.0,,
sifting_ID0000024,compute,1598469227.0,,,1598469232.0,1598469504.0,1598469533.0,1598469533.0,1598469538.0,5.0,,272.0,29.0,5.0,16.0,4.0
sifting_ID0000012,compute,1598469227.0,,,1598469232.0,1598469479.0,1598469507.0,1598469507.0,1598469512.0,5.0,,247.0,28.0,5.0,15.0,4.0
individuals_ID0000021,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469538.0,1598469538.0,1598469548.0,5.0,,17.0,289.0,10.0,161.0,4.0
individuals_ID0000020,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469533.0,1598469533.0,1598469543.0,5.0,,17.0,284.0,10.0,163.0,4.0
individuals_ID0000009,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469538.0,1598469538.0,1598469548.0,5.0,,17.0,289.0,10.0,162.0,4.0
individuals_ID0000019,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469528.0,1598469528.0,1598469533.0,5.0,,17.0,279.0,5.0,165.0,4.0
individuals_ID0000008,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469538.0,1598469538.0,1598469548.0,5.0,,17.0,289.0,10.0,162.0,4.0
individuals_ID0000014,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469533.0,1598469533.0,1598469543.0,5.0,,17.0,284.0,10.0,164.0,4.0
individuals_ID0000003,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469533.0,1598469533.0,1598469538.0,5.0,,17.0,284.0,5.0,165.0,4.0
individuals_ID0000013,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469543.0,1598469543.0,1598469548.0,5.0,,17.0,294.0,5.0,165.0,4.0
individuals_ID0000010,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469533.0,1598469533.0,1598469543.0,5.0,,17.0,284.0,10.0,165.0,4.0
individuals_ID0000001,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469538.0,1598469538.0,1598469548.0,5.0,,17.0,289.0,10.0,165.0,4.0
individuals_ID0000002,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469523.0,1598469523.0,1598469528.0,5.0,,17.0,274.0,5.0,158.0,4.0
individuals_ID0000004,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469482.0,1598469482.0,1598469487.0,5.0,,17.0,233.0,5.0,141.0,4.0
individuals_ID0000005,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469533.0,1598469533.0,1598469543.0,5.0,,17.0,284.0,10.0,165.0,4.0
individuals_ID0000016,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469528.0,1598469528.0,1598469533.0,5.0,,17.0,279.0,5.0,163.0,4.0
individuals_ID0000015,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469538.0,1598469538.0,1598469548.0,5.0,,17.0,289.0,10.0,165.0,4.0
individuals_ID0000017,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469523.0,1598469523.0,1598469528.0,5.0,,17.0,274.0,5.0,158.0,5.0
individuals_ID0000007,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469528.0,1598469528.0,1598469533.0,5.0,,17.0,279.0,5.0,159.0,5.0
individuals_ID0000018,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469528.0,1598469528.0,1598469533.0,5.0,,17.0,279.0,5.0,162.0,4.0
individuals_ID0000022,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469533.0,1598469533.0,1598469543.0,5.0,,17.0,284.0,10.0,165.0,4.0
individuals_ID0000006,compute,1598469227.0,,,1598469232.0,1598469249.0,1598469538.0,1598469538.0,1598469548.0,5.0,,17.0,289.0,10.0,162.0,4.0
individuals_merge_ID0000011,compute,1598469548.0,,,1598469553.0,1598469553.0,1598469593.0,1598469593.0,1598469598.0,5.0,,0.0,40.0,5.0,6.0,4.0
individuals_merge_ID0000023,compute,1598469548.0,,,1598469553.0,1598469553.0,1598469593.0,1598469593.0,1598469598.0,5.0,,0.0,40.0,5.0,6.0,4.0
frequency_ID0000052,compute,1598469598.0,,,1598469603.0,1598469625.0,1598469754.0,1598469754.0,1598469759.0,5.0,,22.0,129.0,5.0,4.0,4.0
mutation_overlap_ID0000043,compute,1598469598.0,,,1598469603.0,1598469625.0,1598469649.0,1598469649.0,1598469654.0,5.0,,22.0,24.0,5.0,4.0,4.0
frequency_ID0000046,compute,1598469598.0,,,1598469603.0,1598469625.0,1598469799.0,1598469799.0,1598469804.0,5.0,,22.0,174.0,5.0,4.0,4.0
mutation_overlap_ID0000041,compute,1598469598.0,,,1598469603.0,1598469625.0,1598469644.0,1598469644.0,1598469649.0,5.0,,22.0,19.0,5.0,4.0,4.0
frequency_ID0000048,compute,1598469598.0,,,1598469603.0,1598469625.0,1598469864.0,1598469864.0,1598469869.0,5.0,,22.0,239.0,5.0,4.0,4.0
frequency_ID0000042,compute,1598469598.0,,,1598469603.0,1598469640.0,1598469819.0,1598469819.0,1598469824.0,5.0,,37.0,179.0,5.0,4.0,4.0
mutation_overlap_ID0000047,compute,1598469598.0,,,1598469604.0,1598469646.0,1598469674.0,1598469674.0,1598469679.0,6.0,,42.0,28.0,5.0,4.0,4.0
mutation_overlap_ID0000051,compute,1598469598.0,,,1598469603.0,1598469642.0,1598469704.0,1598469704.0,1598469709.0,5.0,,39.0,62.0,5.0,4.0,4.0
mutation_overlap_ID0000039,compute,1598469598.0,,,1598469604.0,1598469644.0,1598469669.0,1598469669.0,1598469674.0,6.0,,40.0,25.0,5.0,4.0,4.0
mutation_overlap_ID0000049,compute,1598469598.0,,,1598469604.0,1598469645.0,1598469674.0,1598469674.0,1598469679.0,6.0,,41.0,29.0,5.0,5.0,4.0
mutation_overlap_ID0000045,compute,1598469598.0,,,1598469604.0,1598469646.0,1598469669.0,1598469669.0,1598469674.0,6.0,,42.0,23.0,5.0,4.0,5.0
frequency_ID0000040,compute,1598469598.0,,,1598469603.0,1598469625.0,1598469864.0,1598469864.0,1598469869.0,5.0,,22.0,239.0,5.0,4.0,4.0
frequency_ID0000044,compute,1598469598.0,,,1598469603.0,1598469642.0,1598469824.0,1598469824.0,1598469829.0,5.0,,39.0,182.0,5.0,4.0,4.0
frequency_ID0000050,compute,1598469598.0,,,1598469603.0,1598469625.0,1598469759.0,1598469759.0,1598469764.0,5.0,,22.0,134.0,5.0,4.0,4.0
frequency_ID0000026,compute,1598469598.0,,,1598469603.0,1598469625.0,1598469799.0,1598469799.0,1598469804.0,5.0,,22.0,174.0,5.0,4.0,4.0
mutation_overlap_ID0000037,compute,1598469598.0,,,1598469603.0,1598469624.0,1598469694.0,1598469694.0,1598469699.0,5.0,,21.0,70.0,5.0,3.0,5.0
frequency_ID0000030,compute,1598469598.0,,,1598469603.0,1598469603.0,1598469784.0,1598469784.0,1598469789.0,5.0,,0.0,181.0,5.0,4.0,4.0
mutation_overlap_ID0000031,compute,1598469598.0,,,1598469603.0,1598469603.0,1598469619.0,1598469619.0,1598469624.0,5.0,,0.0,16.0,5.0,4.0,4.0
