,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325051100_0_condorpool,auxiliary,1620909842.0,,,1620909846.0,1620909847.0,1620909851.0,1620909851.0,1620909856.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1620909856.0,,,1620909861.0,1620909876.0,1620909906.0,1620909906.0,1620909911.0,5.0,,15.0,30.0,5.0,8.0,16.0
merge_mrtV2_PID2_ID4,compute,1620909911.0,,,1620909916.0,1620909937.0,1620909961.0,1620909961.0,1620909966.0,5.0,,21.0,24.0,5.0,15.0,6.0
stage_out_local_condorpool_0_0,transfer,1620909911.0,,,1620909916.0,1620909916.0,1620909946.0,1620909946.0,1620909951.0,5.0,,0.0,30.0,5.0,,29.0
merge_merged_netcdf2png_PID2_ID2,compute,1620909911.0,,,1620909916.0,1620909937.0,1620909966.0,1620909966.0,1620909971.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1620909911.0,,,1620909916.0,1620909937.0,1620909966.0,1620909966.0,1620909971.0,5.0,,21.0,29.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1620909911.0,,,1620909916.0,1620909937.0,1620909961.0,1620909961.0,1620909966.0,5.0,,21.0,24.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID1,compute,1620909911.0,,,1620909916.0,1620909961.0,1620909986.0,1620909986.0,1620909991.0,5.0,,45.0,25.0,5.0,13.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1620909911.0,,,1620909916.0,1620909961.0,1620909986.0,1620909986.0,1620909991.0,5.0,,45.0,25.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID2,compute,1620909911.0,,,1620909916.0,1620909962.0,1620909986.0,1620909986.0,1620909991.0,5.0,,46.0,24.0,5.0,14.0,6.0
merge_mrtV2_PID2_ID3,compute,1620909911.0,,,1620909916.0,1620909963.0,1620909986.0,1620909986.0,1620909991.0,5.0,,47.0,23.0,5.0,14.0,7.0
stage_out_local_condorpool_1_0,transfer,1620909991.0,,,1620909996.0,1620909996.0,1620910051.0,1620910051.0,1620910056.0,5.0,,0.0,55.0,5.0,,53.0
cleanup_casa_nowcast-wf-20190325051100_0_condorpool,auxiliary,1620910056.0,,,1620910061.0,1620910061.0,1620910066.0,1620910066.0,1620910071.0,5.0,,0.0,5.0,5.0,,
