,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T052029Z_0_condorpool,auxiliary,1620916400.0,,,1620916404.0,1620916405.0,1620916409.0,1620916409.0,1620916414.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916440.0,1620916440.0,1620916445.0,5.0,,3.0,18.0,5.0,4.0,9.0
gunzip_ID0000005,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,10.0
gunzip_ID0000017,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916440.0,1620916440.0,1620916445.0,5.0,,3.0,18.0,5.0,4.0,9.0
gunzip_ID0000006,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916440.0,1620916440.0,1620916445.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000018,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,8.0
gunzip_ID0000008,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,8.0
gunzip_ID0000012,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,9.0
gunzip_ID0000001,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,9.0
gunzip_ID0000007,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916440.0,1620916440.0,1620916445.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000002,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,2.0,8.0
gunzip_ID0000013,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916440.0,1620916440.0,1620916445.0,5.0,,3.0,18.0,5.0,4.0,9.0
gunzip_ID0000011,compute,1620916414.0,,,1620916419.0,1620916421.0,1620916439.0,1620916439.0,1620916445.0,5.0,,2.0,18.0,6.0,2.0,9.0
gunzip_ID0000010,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,9.0
gunzip_ID0000004,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,9.0
gunzip_ID0000009,compute,1620916414.0,,,1620916419.0,1620916421.0,1620916439.0,1620916439.0,1620916445.0,5.0,,2.0,18.0,6.0,2.0,9.0
gunzip_ID0000003,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,9.0
gunzip_ID0000014,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916440.0,1620916440.0,1620916445.0,5.0,,3.0,18.0,5.0,4.0,9.0
gunzip_ID0000015,compute,1620916414.0,,,1620916419.0,1620916422.0,1620916439.0,1620916439.0,1620916445.0,5.0,,3.0,17.0,6.0,3.0,9.0
um_vel_ID0000019,compute,1620916445.0,,,1620916450.0,1620916450.0,1620916485.0,1620916485.0,1620916490.0,5.0,,0.0,35.0,5.0,21.0,4.0
mvt_ID0000021,compute,1620916490.0,,,1620916495.0,1620916495.0,1620916565.0,1620916565.0,1620916570.0,5.0,,0.0,70.0,5.0,9.0,4.0
stage_out_local_condorpool_1_0,transfer,1620916490.0,,,1620916495.0,1620916495.0,1620916505.0,1620916505.0,1620916510.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000020,compute,1620916490.0,,,1620916495.0,1620916515.0,1620916535.0,1620916535.0,1620916540.0,5.0,,20.0,20.0,5.0,10.0,4.0
pointalert_ID0000022,compute,1620916570.0,,,1620916576.0,1620916576.0,1620916596.0,1620916596.0,1620916601.0,6.0,,0.0,20.0,5.0,11.0,4.0
stage_out_local_condorpool_2_0,transfer,1620916570.0,,,1620916576.0,1620916576.0,1620916586.0,1620916586.0,1620916591.0,6.0,,0.0,10.0,5.0,,6.0
stage_out_local_condorpool_3_0,transfer,1620916601.0,,,1620916606.0,1620916606.0,1620916616.0,1620916616.0,1620916621.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T052029Z_0_condorpool,auxiliary,1620916621.0,,,1620916626.0,1620916626.0,1620916631.0,1620916631.0,1620916636.0,5.0,,0.0,5.0,5.0,,
