,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050000_0_condorpool,auxiliary,1621032794.0,,,1621032798.0,1621032799.0,1621032803.0,1621032803.0,1621032808.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621032808.0,,,1621032813.0,1621032833.0,1621032878.0,1621032878.0,1621032883.0,5.0,,20.0,45.0,5.0,19.0,16.0
merge_mrtV2_PID2_ID4,compute,1621032883.0,,,1621032888.0,1621032909.0,1621032938.0,1621032938.0,1621032943.0,5.0,,21.0,29.0,5.0,19.0,6.0
stage_out_local_condorpool_0_0,transfer,1621032883.0,,,1621032888.0,1621032888.0,1621032918.0,1621032918.0,1621032923.0,5.0,,0.0,30.0,5.0,,29.0
merge_merged_netcdf2png_PID2_ID2,compute,1621032883.0,,,1621032888.0,1621032909.0,1621032943.0,1621032943.0,1621032948.0,5.0,,21.0,34.0,5.0,21.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1621032883.0,,,1621032888.0,1621032909.0,1621032933.0,1621032933.0,1621032938.0,5.0,,21.0,24.0,5.0,14.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621032883.0,,,1621032888.0,1621032909.0,1621032953.0,1621032953.0,1621032958.0,5.0,,21.0,44.0,5.0,33.0,6.0
merge_mrtV2_PID2_ID1,compute,1621032883.0,,,1621032888.0,1621032932.0,1621032953.0,1621032953.0,1621032958.0,5.0,,44.0,21.0,5.0,12.0,7.0
merge_merged_netcdf2png_PID2_ID3,compute,1621032883.0,,,1621032888.0,1621032937.0,1621032963.0,1621032963.0,1621032968.0,5.0,,49.0,26.0,5.0,12.0,7.0
merge_mrtV2_PID2_ID2,compute,1621032883.0,,,1621032888.0,1621032941.0,1621032973.0,1621032973.0,1621032978.0,5.0,,53.0,32.0,5.0,17.0,9.0
merge_mrtV2_PID2_ID3,compute,1621032883.0,,,1621032888.0,1621032952.0,1621032988.0,1621032988.0,1621032993.0,5.0,,64.0,36.0,5.0,20.0,6.0
stage_out_local_condorpool_1_0,transfer,1621032993.0,,,1621032998.0,1621032998.0,1621033053.0,1621033053.0,1621033058.0,5.0,,0.0,55.0,5.0,,53.0
cleanup_casa_nowcast-wf-20190325050000_0_condorpool,auxiliary,1621033058.0,,,1621033063.0,1621033063.0,1621033068.0,1621033068.0,1621033073.0,5.0,,0.0,5.0,5.0,,
