,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200830T032337Z_0_condorpool,auxiliary,1598781379.0,,,1598781383.0,1598781384.0,1598781388.0,1598781388.0,1598781393.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1598781393.0,,,1598781399.0,1598781667.0,1598781718.0,1598781718.0,1598781723.0,6.0,,268.0,51.0,5.0,36.0,4.0
sifting_ID0000012,compute,1598781393.0,,,1598781399.0,1598781659.0,1598781713.0,1598781713.0,1598781718.0,6.0,,260.0,54.0,5.0,44.0,4.0
individuals_ID0000021,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781676.0,1598781676.0,1598781688.0,6.0,,23.0,254.0,12.0,159.0,5.0
individuals_ID0000020,compute,1598781393.0,,,1598781399.0,1598781423.0,1598781688.0,1598781688.0,1598781698.0,6.0,,24.0,265.0,10.0,163.0,4.0
individuals_ID0000009,compute,1598781393.0,,,1598781399.0,1598781423.0,1598781683.0,1598781683.0,1598781698.0,6.0,,24.0,260.0,15.0,162.0,5.0
individuals_ID0000019,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781683.0,1598781683.0,1598781698.0,6.0,,23.0,261.0,15.0,165.0,9.0
individuals_ID0000008,compute,1598781393.0,,,1598781399.0,1598781423.0,1598781683.0,1598781683.0,1598781698.0,6.0,,24.0,260.0,15.0,163.0,5.0
individuals_ID0000014,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781683.0,1598781683.0,1598781698.0,6.0,,23.0,261.0,15.0,166.0,6.0
individuals_ID0000003,compute,1598781393.0,,,1598781399.0,1598781423.0,1598781683.0,1598781683.0,1598781698.0,6.0,,24.0,260.0,15.0,161.0,5.0
individuals_ID0000013,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781683.0,1598781683.0,1598781698.0,6.0,,23.0,261.0,15.0,166.0,9.0
individuals_ID0000010,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781676.0,1598781676.0,1598781688.0,6.0,,23.0,254.0,12.0,164.0,4.0
individuals_ID0000001,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781688.0,1598781688.0,1598781698.0,6.0,,23.0,266.0,10.0,166.0,4.0
individuals_ID0000002,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781683.0,1598781683.0,1598781698.0,6.0,,23.0,261.0,15.0,165.0,5.0
individuals_ID0000004,compute,1598781393.0,,,1598781398.0,1598781420.0,1598781660.0,1598781660.0,1598781665.0,5.0,,22.0,240.0,5.0,159.0,4.0
individuals_ID0000005,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781676.0,1598781676.0,1598781688.0,6.0,,23.0,254.0,12.0,160.0,4.0
individuals_ID0000016,compute,1598781393.0,,,1598781399.0,1598781421.0,1598781676.0,1598781676.0,1598781688.0,6.0,,22.0,255.0,12.0,161.0,4.0
individuals_ID0000015,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781683.0,1598781683.0,1598781698.0,6.0,,23.0,261.0,15.0,162.0,5.0
individuals_ID0000017,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781676.0,1598781676.0,1598781683.0,6.0,,23.0,254.0,7.0,165.0,4.0
individuals_ID0000007,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781683.0,1598781683.0,1598781698.0,6.0,,23.0,261.0,15.0,166.0,9.0
individuals_ID0000018,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781671.0,1598781671.0,1598781676.0,6.0,,23.0,249.0,5.0,156.0,4.0
individuals_ID0000022,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781683.0,1598781683.0,1598781698.0,6.0,,23.0,261.0,15.0,166.0,6.0
individuals_ID0000006,compute,1598781393.0,,,1598781399.0,1598781422.0,1598781683.0,1598781683.0,1598781698.0,6.0,,23.0,261.0,15.0,166.0,7.0
individuals_merge_ID0000011,compute,1598781698.0,,,1598781703.0,1598781703.0,1598781748.0,1598781748.0,1598781753.0,5.0,,0.0,45.0,5.0,6.0,4.0
individuals_merge_ID0000023,compute,1598781698.0,,,1598781703.0,1598781703.0,1598781748.0,1598781748.0,1598781753.0,5.0,,0.0,45.0,5.0,8.0,4.0
frequency_ID0000052,compute,1598781753.0,,,1598781759.0,1598781784.0,1598781922.0,1598781922.0,1598781927.0,6.0,,25.0,138.0,5.0,5.0,4.0
mutation_overlap_ID0000043,compute,1598781753.0,,,1598781759.0,1598781784.0,1598781807.0,1598781807.0,1598781812.0,6.0,,25.0,23.0,5.0,4.0,4.0
frequency_ID0000046,compute,1598781753.0,,,1598781759.0,1598781784.0,1598781922.0,1598781922.0,1598781927.0,6.0,,25.0,138.0,5.0,3.0,4.0
mutation_overlap_ID0000041,compute,1598781753.0,,,1598781759.0,1598781784.0,1598781802.0,1598781802.0,1598781807.0,6.0,,25.0,18.0,5.0,5.0,4.0
frequency_ID0000048,compute,1598781753.0,,,1598781759.0,1598781784.0,1598781927.0,1598781927.0,1598781932.0,6.0,,25.0,143.0,5.0,5.0,5.0
frequency_ID0000042,compute,1598781753.0,,,1598781759.0,1598781784.0,1598781927.0,1598781927.0,1598781932.0,6.0,,25.0,143.0,5.0,5.0,5.0
mutation_overlap_ID0000047,compute,1598781753.0,,,1598781763.0,1598781784.0,1598781812.0,1598781812.0,1598781817.0,10.0,,21.0,28.0,5.0,4.0,4.0
mutation_overlap_ID0000051,compute,1598781753.0,,,1598781760.0,1598781784.0,1598781822.0,1598781822.0,1598781827.0,7.0,,24.0,38.0,5.0,5.0,4.0
mutation_overlap_ID0000039,compute,1598781753.0,,,1598781760.0,1598781784.0,1598781802.0,1598781802.0,1598781807.0,7.0,,24.0,18.0,5.0,5.0,4.0
mutation_overlap_ID0000049,compute,1598781753.0,,,1598781760.0,1598781784.0,1598781807.0,1598781807.0,1598781812.0,7.0,,24.0,23.0,5.0,4.0,4.0
mutation_overlap_ID0000045,compute,1598781753.0,,,1598781763.0,1598781784.0,1598781807.0,1598781807.0,1598781812.0,10.0,,21.0,23.0,5.0,5.0,4.0
frequency_ID0000040,compute,1598781753.0,,,1598781759.0,1598781760.0,1598781897.0,1598781897.0,1598781902.0,6.0,,1.0,137.0,5.0,4.0,4.0
frequency_ID0000044,compute,1598781753.0,,,1598781760.0,1598781784.0,1598781917.0,1598781917.0,1598781922.0,7.0,,24.0,133.0,5.0,4.0,4.0
frequency_ID0000050,compute,1598781753.0,,,1598781759.0,1598781760.0,1598781897.0,1598781897.0,1598781902.0,6.0,,1.0,137.0,5.0,4.0,4.0
frequency_ID0000026,compute,1598781753.0,,,1598781769.0,1598781784.0,1598781932.0,1598781932.0,1598781937.0,16.0,,15.0,148.0,5.0,4.0,5.0
mutation_overlap_ID0000037,compute,1598781753.0,,,1598781772.0,1598781805.0,1598781852.0,1598781852.0,1598781857.0,19.0,,33.0,47.0,5.0,4.0,4.0
frequency_ID0000030,compute,1598781753.0,,,1598781763.0,1598781784.0,1598781922.0,1598781922.0,1598781927.0,10.0,,21.0,138.0,5.0,4.0,4.0
mutation_overlap_ID0000031,compute,1598781753.0,,,1598781763.0,1598781784.0,1598781807.0,1598781807.0,1598781812.0,10.0,,21.0,23.0,5.0,5.0,4.0
frequency_ID0000036,compute,1598781753.0,,,1598781764.0,1598781784.0,1598781922.0,1598781922.0,1598781927.0,11.0,,20.0,138.0,5.0,3.0,4.0
mutation_overlap_ID0000025,compute,1598781753.0,,,1598781772.0,1598781807.0,1598781832.0,1598781832.0,1598781837.0,19.0,,35.0,25.0,5.0,6.0,4.0
frequency_ID0000038,compute,1598781753.0,,,1598781769.0,1598781785.0,1598781932.0,1598781932.0,1598781937.0,16.0,,16.0,147.0,5.0,4.0,4.0
mutation_overlap_ID0000033,compute,1598781753.0,,,1598781769.0,1598781784.0,1598781807.0,1598781807.0,1598781812.0,16.0,,15.0,23.0,5.0,4.0,4.0
frequency_ID0000034,compute,1598781753.0,,,1598781769.0,1598781800.0,1598781937.0,1598781937.0,1598781943.0,16.0,,31.0,137.0,6.0,4.0,4.0
mutation_overlap_ID0000027,compute,1598781753.0,,,1598781770.0,1598781803.0,1598781822.0,1598781822.0,1598781827.0,17.0,,33.0,19.0,5.0,3.0,4.0
mutation_overlap_ID0000029,compute,1598781753.0,,,1598781770.0,1598781804.0,1598781822.0,1598781822.0,1598781827.0,17.0,,34.0,18.0,5.0,4.0,4.0
frequency_ID0000028,compute,1598781753.0,,,1598781771.0,1598781804.0,1598781948.0,1598781948.0,1598781953.0,18.0,,33.0,144.0,5.0,4.0,4.0
mutation_overlap_ID0000035,compute,1598781753.0,,,1598781772.0,1598781805.0,1598781822.0,1598781822.0,1598781827.0,19.0,,33.0,17.0,5.0,4.0,4.0
frequency_ID0000032,compute,1598781753.0,,,1598781769.0,1598781801.0,1598781943.0,1598781943.0,1598781948.0,16.0,,32.0,142.0,5.0,5.0,5.0
stage_out_local_condorpool_2_2,transfer,1598781937.0,,,1598781943.0,1598781943.0,1598781958.0,1598781958.0,1598781963.0,6.0,,0.0,15.0,5.0,,11.0
stage_out_local_condorpool_2_0,transfer,1598781948.0,,,1598781953.0,1598781953.0,1598781968.0,1598781968.0,1598781973.0,5.0,,0.0,15.0,5.0,,12.0
stage_out_local_condorpool_2_1,transfer,1598781953.0,,,1598781958.0,1598781958.0,1598781973.0,1598781973.0,1598781978.0,5.0,,0.0,15.0,5.0,,12.0
cleanup_1000genome-20200830T032337Z_0_condorpool,auxiliary,1598781978.0,,,1598781984.0,1598781984.0,1598781989.0,1598781989.0,1598781994.0,6.0,,0.0,5.0,5.0,,
