,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T051628Z_0_condorpool,auxiliary,1621060691.0,,,1621060695.0,1621060696.0,1621060700.0,1621060700.0,1621060705.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000005,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000017,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060741.0,1621060741.0,1621060746.0,5.0,,12.0,19.0,5.0,3.0,7.0
gunzip_ID0000006,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000007,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000012,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060741.0,1621060741.0,1621060746.0,5.0,,12.0,19.0,5.0,3.0,8.0
gunzip_ID0000001,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000013,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000008,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060735.0,1621060735.0,1621060740.0,5.0,,12.0,13.0,5.0,3.0,8.0
gunzip_ID0000014,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,4.0,8.0
gunzip_ID0000003,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000015,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060735.0,1621060735.0,1621060740.0,5.0,,12.0,13.0,5.0,3.0,7.0
gunzip_ID0000004,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000010,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,8.0
gunzip_ID0000011,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,4.0,8.0
gunzip_ID0000009,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060735.0,1621060735.0,1621060740.0,5.0,,12.0,13.0,5.0,3.0,7.0
gunzip_ID0000002,compute,1621060705.0,,,1621060710.0,1621060722.0,1621060740.0,1621060740.0,1621060746.0,5.0,,12.0,18.0,6.0,3.0,7.0
um_vel_ID0000018,compute,1621060746.0,,,1621060751.0,1621060751.0,1621060786.0,1621060786.0,1621060791.0,5.0,,0.0,35.0,5.0,23.0,4.0
stage_out_local_condorpool_1_0,transfer,1621060791.0,,,1621060796.0,1621060796.0,1621060806.0,1621060806.0,1621060811.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1621060791.0,,,1621060796.0,1621060796.0,1621060816.0,1621060816.0,1621060821.0,5.0,,0.0,20.0,5.0,11.0,4.0
mvt_ID0000020,compute,1621060791.0,,,1621060796.0,1621060814.0,1621060886.0,1621060886.0,1621060891.0,5.0,,18.0,72.0,5.0,10.0,4.0
stage_out_local_condorpool_2_0,transfer,1621060891.0,,,1621060896.0,1621060896.0,1621060906.0,1621060906.0,1621060911.0,5.0,,0.0,10.0,5.0,,5.0
pointalert_ID0000021,compute,1621060891.0,,,1621060896.0,1621060897.0,1621060916.0,1621060916.0,1621060921.0,5.0,,1.0,19.0,5.0,13.0,4.0
stage_out_local_condorpool_3_0,transfer,1621060921.0,,,1621060926.0,1621060926.0,1621060936.0,1621060936.0,1621060941.0,5.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T051628Z_0_condorpool,auxiliary,1621060941.0,,,1621060946.0,1621060946.0,1621060951.0,1621060951.0,1621060956.0,5.0,,0.0,5.0,5.0,,
