,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050300_0_condorpool,auxiliary,1621378312.0,,,1621378316.0,1621378317.0,1621378321.0,1621378321.0,1621378326.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621378326.0,,,1621378331.0,1621378333.0,1621378361.0,1621378361.0,1621378367.0,5.0,,2.0,28.0,6.0,9.0,15.0
merge_mrtV2_PID2_ID4,compute,1621378367.0,,,1621378372.0,1621378392.0,1621378417.0,1621378417.0,1621378422.0,5.0,,20.0,25.0,5.0,15.0,7.0
stage_out_local_condorpool_0_0,transfer,1621378367.0,,,1621378372.0,1621378372.0,1621378402.0,1621378402.0,1621378407.0,5.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1621378367.0,,,1621378372.0,1621378392.0,1621378417.0,1621378417.0,1621378422.0,5.0,,20.0,25.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1621378367.0,,,1621378372.0,1621378392.0,1621378417.0,1621378417.0,1621378422.0,5.0,,20.0,25.0,5.0,15.0,6.0
merge_merged_netcdf2png_PID2_ID4,compute,1621378367.0,,,1621378372.0,1621378392.0,1621378417.0,1621378417.0,1621378422.0,5.0,,20.0,25.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID1,compute,1621378367.0,,,1621378372.0,1621378415.0,1621378437.0,1621378437.0,1621378442.0,5.0,,43.0,22.0,5.0,12.0,7.0
merge_merged_netcdf2png_PID2_ID3,compute,1621378367.0,,,1621378372.0,1621378416.0,1621378442.0,1621378442.0,1621378447.0,5.0,,44.0,26.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID2,compute,1621378367.0,,,1621378372.0,1621378416.0,1621378442.0,1621378442.0,1621378447.0,5.0,,44.0,26.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID3,compute,1621378367.0,,,1621378372.0,1621378417.0,1621378442.0,1621378442.0,1621378447.0,5.0,,45.0,25.0,5.0,15.0,7.0
stage_out_local_condorpool_1_0,transfer,1621378447.0,,,1621378452.0,1621378452.0,1621378512.0,1621378512.0,1621378517.0,5.0,,0.0,60.0,5.0,,55.0
cleanup_casa_nowcast-wf-20190325050300_0_condorpool,auxiliary,1621378517.0,,,1621378522.0,1621378522.0,1621378527.0,1621378527.0,1621378532.0,5.0,,0.0,5.0,5.0,,
