,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200520T031010Z_0_condorpool,auxiliary,1589973182.0,,,1589973186.0,1589973187.0,1589973191.0,1589973191.0,1589973196.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1589973196.0,,,1589973206.0,1589973410.0,1589973456.0,1589973456.0,1589973461.0,10.0,,204.0,46.0,5.0,37.0,3.0
sifting_ID0000012,compute,1589973196.0,,,1589973206.0,1589973358.0,1589973416.0,1589973416.0,1589973421.0,10.0,,152.0,58.0,5.0,49.0,3.0
individuals_ID0000021,compute,1589973196.0,,,1589973205.0,1589973224.0,1589973446.0,1589973446.0,1589973456.0,9.0,,19.0,222.0,10.0,150.0,3.0
individuals_ID0000020,compute,1589973196.0,,,1589973203.0,1589973223.0,1589973446.0,1589973446.0,1589973456.0,7.0,,20.0,223.0,10.0,152.0,4.0
individuals_ID0000009,compute,1589973196.0,,,1589973203.0,1589973224.0,1589973446.0,1589973446.0,1589973456.0,7.0,,21.0,222.0,10.0,158.0,3.0
individuals_ID0000019,compute,1589973196.0,,,1589973203.0,1589973223.0,1589973441.0,1589973441.0,1589973446.0,7.0,,20.0,218.0,5.0,158.0,3.0
individuals_ID0000008,compute,1589973196.0,,,1589973203.0,1589973224.0,1589973441.0,1589973441.0,1589973446.0,7.0,,21.0,217.0,5.0,155.0,3.0
individuals_ID0000014,compute,1589973196.0,,,1589973202.0,1589973205.0,1589973446.0,1589973446.0,1589973456.0,6.0,,3.0,241.0,10.0,167.0,3.0
individuals_ID0000003,compute,1589973196.0,,,1589973202.0,1589973204.0,1589973446.0,1589973446.0,1589973456.0,6.0,,2.0,242.0,10.0,164.0,4.0
individuals_ID0000013,compute,1589973196.0,,,1589973202.0,1589973205.0,1589973441.0,1589973441.0,1589973446.0,6.0,,3.0,236.0,5.0,169.0,3.0
individuals_ID0000010,compute,1589973196.0,,,1589973204.0,1589973224.0,1589973446.0,1589973446.0,1589973456.0,8.0,,20.0,222.0,10.0,154.0,3.0
individuals_ID0000001,compute,1589973196.0,,,1589973202.0,1589973205.0,1589973436.0,1589973436.0,1589973446.0,6.0,,3.0,231.0,10.0,153.0,4.0
individuals_ID0000002,compute,1589973196.0,,,1589973202.0,1589973204.0,1589973436.0,1589973436.0,1589973446.0,6.0,,2.0,232.0,10.0,162.0,3.0
individuals_ID0000004,compute,1589973196.0,,,1589973201.0,1589973203.0,1589973431.0,1589973431.0,1589973436.0,5.0,,2.0,228.0,5.0,163.0,3.0
individuals_ID0000005,compute,1589973196.0,,,1589973201.0,1589973203.0,1589973411.0,1589973411.0,1589973416.0,5.0,,2.0,208.0,5.0,152.0,3.0
