,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T052229Z_0_condorpool,auxiliary,1621391183.0,,,1621391187.0,1621391188.0,1621391192.0,1621391192.0,1621391197.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621391197.0,,,1621391203.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,6.0,,2.0,18.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1621391197.0,,,1621391203.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,6.0,,2.0,18.0,5.0,3.0,8.0
gunzip_ID0000017,compute,1621391197.0,,,1621391203.0,1621391205.0,1621391218.0,1621391218.0,1621391223.0,6.0,,2.0,13.0,5.0,3.0,7.0
gunzip_ID0000006,compute,1621391197.0,,,1621391203.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,6.0,,2.0,18.0,5.0,3.0,8.0
gunzip_ID0000007,compute,1621391197.0,,,1621391203.0,1621391205.0,1621391218.0,1621391218.0,1621391223.0,6.0,,2.0,13.0,5.0,3.0,7.0
gunzip_ID0000012,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000001,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000008,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000014,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000003,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000015,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,8.0
gunzip_ID0000010,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391218.0,1621391218.0,1621391223.0,5.0,,3.0,13.0,5.0,2.0,7.0
gunzip_ID0000011,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,2.0,7.0
gunzip_ID0000009,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391223.0,1621391223.0,1621391228.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000002,compute,1621391197.0,,,1621391202.0,1621391205.0,1621391218.0,1621391218.0,1621391223.0,5.0,,3.0,13.0,5.0,2.0,8.0
um_vel_ID0000018,compute,1621391228.0,,,1621391233.0,1621391233.0,1621391263.0,1621391263.0,1621391268.0,5.0,,0.0,30.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1621391268.0,,,1621391273.0,1621391273.0,1621391283.0,1621391283.0,1621391288.0,5.0,,0.0,10.0,5.0,,4.0
merged_netcdf2png_ID0000019,compute,1621391268.0,,,1621391273.0,1621391274.0,1621391293.0,1621391293.0,1621391298.0,5.0,,1.0,19.0,5.0,10.0,4.0
mvt_ID0000020,compute,1621391268.0,,,1621391273.0,1621391290.0,1621391358.0,1621391358.0,1621391363.0,5.0,,17.0,68.0,5.0,9.0,5.0
stage_out_local_condorpool_2_0,transfer,1621391363.0,,,1621391368.0,1621391368.0,1621391378.0,1621391378.0,1621391383.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621391363.0,,,1621391368.0,1621391368.0,1621391388.0,1621391388.0,1621391393.0,5.0,,0.0,20.0,5.0,10.0,5.0
stage_out_local_condorpool_3_0,transfer,1621391393.0,,,1621391398.0,1621391398.0,1621391408.0,1621391408.0,1621391413.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T052229Z_0_condorpool,auxiliary,1621391413.0,,,1621391418.0,1621391418.0,1621391423.0,1621391423.0,1621391428.0,5.0,,0.0,5.0,5.0,,
