,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T053429Z_0_condorpool,auxiliary,1621412045.0,,,1621412049.0,1621412050.0,1621412054.0,1621412054.0,1621412059.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000005,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000017,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412099.0,1621412099.0,1621412104.0,5.0,,22.0,13.0,5.0,2.0,8.0
gunzip_ID0000012,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000008,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000014,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000003,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000015,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000010,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412099.0,1621412099.0,1621412104.0,5.0,,22.0,13.0,5.0,2.0,7.0
gunzip_ID0000011,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412104.0,1621412104.0,1621412109.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000009,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412099.0,1621412099.0,1621412104.0,5.0,,22.0,13.0,5.0,2.0,8.0
gunzip_ID0000002,compute,1621412059.0,,,1621412064.0,1621412086.0,1621412099.0,1621412099.0,1621412104.0,5.0,,22.0,13.0,5.0,2.0,8.0
um_vel_ID0000018,compute,1621412109.0,,,1621412114.0,1621412114.0,1621412144.0,1621412144.0,1621412149.0,5.0,,0.0,30.0,5.0,20.0,4.0
stage_out_local_condorpool_1_0,transfer,1621412149.0,,,1621412154.0,1621412154.0,1621412164.0,1621412164.0,1621412169.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1621412149.0,,,1621412154.0,1621412154.0,1621412174.0,1621412174.0,1621412179.0,5.0,,0.0,20.0,5.0,10.0,5.0
mvt_ID0000020,compute,1621412149.0,,,1621412154.0,1621412171.0,1621412244.0,1621412244.0,1621412249.0,5.0,,17.0,73.0,5.0,10.0,4.0
stage_out_local_condorpool_2_0,transfer,1621412249.0,,,1621412254.0,1621412254.0,1621412264.0,1621412264.0,1621412269.0,5.0,,0.0,10.0,5.0,,5.0
pointalert_ID0000021,compute,1621412249.0,,,1621412254.0,1621412255.0,1621412274.0,1621412274.0,1621412279.0,5.0,,1.0,19.0,5.0,11.0,4.0
stage_out_local_condorpool_3_0,transfer,1621412279.0,,,1621412284.0,1621412284.0,1621412294.0,1621412294.0,1621412299.0,5.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T053429Z_0_condorpool,auxiliary,1621412299.0,,,1621412304.0,1621412304.0,1621412309.0,1621412309.0,1621412314.0,5.0,,0.0,5.0,5.0,,
