,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200521T193903Z_0_condorpool,auxiliary,1590094304.0,,,1590094308.0,1590094309.0,1590094313.0,1590094313.0,1590094318.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1590094318.0,,,1590094326.0,1590094609.0,1590094914.0,1590094914.0,1590094919.0,8.0,,283.0,305.0,5.0,294.0,4.0
sifting_ID0000012,compute,1590094318.0,,,1590094326.0,1590094595.0,1590094862.0,1590094862.0,1590094867.0,8.0,,269.0,267.0,5.0,254.0,5.0
individuals_ID0000021,compute,1590094318.0,,,1590094326.0,1590094331.0,1590094596.0,1590094596.0,1590094601.0,8.0,,5.0,265.0,5.0,196.0,4.0
individuals_ID0000010,compute,1590094318.0,,,1590094325.0,1590094331.0,1590094631.0,1590094631.0,1590094641.0,7.0,,6.0,300.0,10.0,212.0,9.0
individuals_ID0000020,compute,1590094318.0,,,1590094325.0,1590094330.0,1590094611.0,1590094611.0,1590094621.0,7.0,,5.0,281.0,10.0,205.0,5.0
individuals_ID0000009,compute,1590094318.0,,,1590094325.0,1590094331.0,1590094626.0,1590094626.0,1590094636.0,7.0,,6.0,295.0,10.0,212.0,4.0
individuals_ID0000019,compute,1590094318.0,,,1590094325.0,1590094330.0,1590094616.0,1590094616.0,1590094621.0,7.0,,5.0,286.0,5.0,212.0,4.0
individuals_ID0000014,compute,1590094318.0,,,1590094325.0,1590094330.0,1590094626.0,1590094626.0,1590094636.0,7.0,,5.0,296.0,10.0,224.0,4.0
individuals_ID0000003,compute,1590094318.0,,,1590094325.0,1590094331.0,1590094626.0,1590094626.0,1590094636.0,7.0,,6.0,295.0,10.0,228.0,4.0
individuals_ID0000013,compute,1590094318.0,,,1590094325.0,1590094331.0,1590094631.0,1590094631.0,1590094641.0,7.0,,6.0,300.0,10.0,218.0,3.0
individuals_ID0000008,compute,1590094318.0,,,1590094325.0,1590094331.0,1590094631.0,1590094631.0,1590094641.0,7.0,,6.0,300.0,10.0,217.0,4.0
individuals_ID0000001,compute,1590094318.0,,,1590094324.0,1590094330.0,1590094631.0,1590094631.0,1590094641.0,6.0,,6.0,301.0,10.0,225.0,5.0
individuals_ID0000004,compute,1590094318.0,,,1590094323.0,1590094329.0,1590094611.0,1590094611.0,1590094621.0,5.0,,6.0,282.0,10.0,220.0,4.0
individuals_ID0000002,compute,1590094318.0,,,1590094325.0,1590094331.0,1590094641.0,1590094641.0,1590094647.0,7.0,,6.0,310.0,6.0,244.0,5.0
individuals_ID0000005,compute,1590094318.0,,,1590094324.0,1590094329.0,1590094611.0,1590094611.0,1590094621.0,6.0,,5.0,282.0,10.0,219.0,4.0
