,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325051400_0_condorpool,auxiliary,1621442139.0,,,1621442143.0,1621442144.0,1621442148.0,1621442148.0,1621442153.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621442153.0,,,1621442158.0,1621442173.0,1621442203.0,1621442203.0,1621442208.0,5.0,,15.0,30.0,5.0,9.0,16.0
merge_mrtV2_PID2_ID4,compute,1621442208.0,,,1621442213.0,1621442234.0,1621442258.0,1621442258.0,1621442263.0,5.0,,21.0,24.0,5.0,15.0,7.0
stage_out_local_condorpool_0_0,transfer,1621442208.0,,,1621442213.0,1621442213.0,1621442248.0,1621442248.0,1621442253.0,5.0,,0.0,35.0,5.0,,33.0
merge_merged_netcdf2png_PID2_ID2,compute,1621442208.0,,,1621442213.0,1621442234.0,1621442263.0,1621442263.0,1621442268.0,5.0,,21.0,29.0,5.0,16.0,9.0
merge_merged_netcdf2png_PID2_ID1,compute,1621442208.0,,,1621442213.0,1621442234.0,1621442263.0,1621442263.0,1621442268.0,5.0,,21.0,29.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621442208.0,,,1621442213.0,1621442234.0,1621442258.0,1621442258.0,1621442263.0,5.0,,21.0,24.0,5.0,15.0,6.0
merge_mrtV2_PID2_ID1,compute,1621442208.0,,,1621442213.0,1621442258.0,1621442283.0,1621442283.0,1621442288.0,5.0,,45.0,25.0,5.0,16.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1621442208.0,,,1621442213.0,1621442258.0,1621442283.0,1621442283.0,1621442288.0,5.0,,45.0,25.0,5.0,14.0,8.0
merge_mrtV2_PID2_ID2,compute,1621442208.0,,,1621442213.0,1621442259.0,1621442288.0,1621442288.0,1621442293.0,5.0,,46.0,29.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID3,compute,1621442208.0,,,1621442213.0,1621442261.0,1621442288.0,1621442288.0,1621442293.0,5.0,,48.0,27.0,5.0,13.0,10.0
stage_out_local_condorpool_1_0,transfer,1621442293.0,,,1621442298.0,1621442298.0,1621442358.0,1621442358.0,1621442363.0,5.0,,0.0,60.0,5.0,,56.0
cleanup_casa_nowcast-wf-20190325051400_0_condorpool,auxiliary,1621442363.0,,,1621442368.0,1621442368.0,1621442373.0,1621442373.0,1621442378.0,5.0,,0.0,5.0,5.0,,
