,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200518T045356Z_0_condorpool,auxiliary,1589798682.0,,,1589798686.0,1589798687.0,1589798691.0,1589798691.0,1589798696.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1589798696.0,,,1589798703.0,1589798923.0,1589798969.0,1589798969.0,1589798974.0,7.0,,220.0,46.0,5.0,37.0,4.0
sifting_ID0000012,compute,1589798696.0,,,1589798703.0,1589798915.0,1589798959.0,1589798959.0,1589798964.0,7.0,,212.0,44.0,5.0,32.0,3.0
individuals_ID0000021,compute,1589798696.0,,,1589798703.0,1589798724.0,1589798974.0,1589798974.0,1589798985.0,7.0,,21.0,250.0,11.0,171.0,4.0
individuals_ID0000020,compute,1589798696.0,,,1589798703.0,1589798724.0,1589798979.0,1589798979.0,1589798990.0,7.0,,21.0,255.0,11.0,173.0,3.0
individuals_ID0000009,compute,1589798696.0,,,1589798703.0,1589798724.0,1589798974.0,1589798974.0,1589798990.0,7.0,,21.0,250.0,16.0,174.0,3.0
individuals_ID0000019,compute,1589798696.0,,,1589798703.0,1589798723.0,1589798974.0,1589798974.0,1589798990.0,7.0,,20.0,251.0,16.0,175.0,3.0
individuals_ID0000008,compute,1589798696.0,,,1589798703.0,1589798724.0,1589798980.0,1589798980.0,1589798990.0,7.0,,21.0,256.0,10.0,168.0,3.0
individuals_ID0000014,compute,1589798696.0,,,1589798702.0,1589798724.0,1589798974.0,1589798974.0,1589798990.0,6.0,,22.0,250.0,16.0,173.0,4.0
individuals_ID0000003,compute,1589798696.0,,,1589798702.0,1589798723.0,1589798969.0,1589798969.0,1589798974.0,6.0,,21.0,246.0,5.0,176.0,4.0
individuals_ID0000013,compute,1589798696.0,,,1589798702.0,1589798723.0,1589798974.0,1589798974.0,1589798985.0,6.0,,21.0,251.0,11.0,170.0,3.0
individuals_ID0000010,compute,1589798696.0,,,1589798703.0,1589798724.0,1589798974.0,1589798974.0,1589798990.0,7.0,,21.0,250.0,16.0,171.0,3.0
individuals_ID0000001,compute,1589798696.0,,,1589798702.0,1589798723.0,1589798980.0,1589798980.0,1589798990.0,6.0,,21.0,257.0,10.0,184.0,3.0
individuals_ID0000002,compute,1589798696.0,,,1589798702.0,1589798724.0,1589798969.0,1589798969.0,1589798974.0,6.0,,22.0,245.0,5.0,171.0,3.0
individuals_ID0000004,compute,1589798696.0,,,1589798701.0,1589798722.0,1589798919.0,1589798919.0,1589798924.0,5.0,,21.0,197.0,5.0,150.0,3.0
individuals_ID0000005,compute,1589798696.0,,,1589798701.0,1589798723.0,1589798979.0,1589798979.0,1589798990.0,5.0,,22.0,256.0,11.0,179.0,4.0
individuals_ID0000016,compute,1589798696.0,,,1589798701.0,1589798723.0,1589798924.0,1589798924.0,1589798929.0,5.0,,22.0,201.0,5.0,154.0,3.0
individuals_ID0000015,compute,1589798696.0,,,1589798701.0,1589798722.0,1589798959.0,1589798959.0,1589798964.0,5.0,,21.0,237.0,5.0,173.0,4.0
individuals_ID0000017,compute,1589798696.0,,,1589798702.0,1589798723.0,1589798964.0,1589798964.0,1589798969.0,6.0,,21.0,241.0,5.0,167.0,3.0
individuals_ID0000007,compute,1589798696.0,,,1589798702.0,1589798724.0,1589798974.0,1589798974.0,1589798990.0,6.0,,22.0,250.0,16.0,169.0,3.0
individuals_ID0000018,compute,1589798696.0,,,1589798702.0,1589798724.0,1589798979.0,1589798979.0,1589798990.0,6.0,,22.0,255.0,11.0,167.0,4.0
individuals_ID0000022,compute,1589798696.0,,,1589798702.0,1589798724.0,1589798974.0,1589798974.0,1589798990.0,6.0,,22.0,250.0,16.0,172.0,3.0
individuals_ID0000006,compute,1589798696.0,,,1589798701.0,1589798724.0,1589798979.0,1589798979.0,1589798995.0,5.0,,23.0,255.0,16.0,170.0,3.0
individuals_merge_ID0000023,compute,1589798990.0,,,1589798995.0,1589798995.0,1589799040.0,1589799040.0,1589799045.0,5.0,,0.0,45.0,5.0,6.0,3.0
individuals_merge_ID0000011,compute,1589798995.0,,,1589799000.0,1589799000.0,1589799052.0,1589799052.0,1589799057.0,5.0,,0.0,52.0,5.0,6.0,3.0
frequency_ID0000052,compute,1589799045.0,,,1589799050.0,1589799071.0,1589799214.0,1589799214.0,1589799219.0,5.0,,21.0,143.0,5.0,6.0,3.0
mutation_overlap_ID0000043,compute,1589799045.0,,,1589799051.0,1589799071.0,1589799099.0,1589799099.0,1589799104.0,6.0,,20.0,28.0,5.0,5.0,3.0
frequency_ID0000046,compute,1589799045.0,,,1589799050.0,1589799072.0,1589799224.0,1589799224.0,1589799229.0,5.0,,22.0,152.0,5.0,4.0,3.0
mutation_overlap_ID0000041,compute,1589799045.0,,,1589799051.0,1589799070.0,1589799119.0,1589799119.0,1589799124.0,6.0,,19.0,49.0,5.0,4.0,3.0
frequency_ID0000048,compute,1589799045.0,,,1589799051.0,1589799072.0,1589799219.0,1589799219.0,1589799224.0,6.0,,21.0,147.0,5.0,5.0,3.0
frequency_ID0000042,compute,1589799045.0,,,1589799051.0,1589799072.0,1589799219.0,1589799219.0,1589799224.0,6.0,,21.0,147.0,5.0,4.0,4.0
mutation_overlap_ID0000047,compute,1589799045.0,,,1589799052.0,1589799072.0,1589799104.0,1589799104.0,1589799109.0,7.0,,20.0,32.0,5.0,4.0,3.0
mutation_overlap_ID0000051,compute,1589799045.0,,,1589799051.0,1589799071.0,1589799104.0,1589799104.0,1589799109.0,6.0,,20.0,33.0,5.0,4.0,4.0
mutation_overlap_ID0000039,compute,1589799045.0,,,1589799051.0,1589799071.0,1589799099.0,1589799099.0,1589799104.0,6.0,,20.0,28.0,5.0,5.0,4.0
mutation_overlap_ID0000049,compute,1589799045.0,,,1589799051.0,1589799071.0,1589799094.0,1589799094.0,1589799099.0,6.0,,20.0,23.0,5.0,4.0,3.0
mutation_overlap_ID0000045,compute,1589799045.0,,,1589799052.0,1589799072.0,1589799099.0,1589799099.0,1589799104.0,7.0,,20.0,27.0,5.0,4.0,4.0
frequency_ID0000040,compute,1589799045.0,,,1589799050.0,1589799051.0,1589799194.0,1589799194.0,1589799199.0,5.0,,1.0,143.0,5.0,4.0,3.0
frequency_ID0000044,compute,1589799045.0,,,1589799051.0,1589799071.0,1589799219.0,1589799219.0,1589799224.0,6.0,,20.0,148.0,5.0,4.0,3.0
frequency_ID0000050,compute,1589799045.0,,,1589799050.0,1589799051.0,1589799189.0,1589799189.0,1589799194.0,5.0,,1.0,138.0,5.0,4.0,4.0
frequency_ID0000026,compute,1589799057.0,,,1589799062.0,1589799072.0,1589799214.0,1589799214.0,1589799219.0,5.0,,10.0,142.0,5.0,5.0,4.0
mutation_overlap_ID0000037,compute,1589799057.0,,,1589799063.0,1589799102.0,1589799124.0,1589799124.0,1589799129.0,6.0,,39.0,22.0,5.0,4.0,3.0
frequency_ID0000030,compute,1589799057.0,,,1589799062.0,1589799071.0,1589799219.0,1589799219.0,1589799224.0,5.0,,9.0,148.0,5.0,4.0,3.0
mutation_overlap_ID0000031,compute,1589799057.0,,,1589799062.0,1589799071.0,1589799099.0,1589799099.0,1589799104.0,5.0,,9.0,28.0,5.0,5.0,3.0
frequency_ID0000036,compute,1589799057.0,,,1589799062.0,1589799072.0,1589799229.0,1589799229.0,1589799234.0,5.0,,10.0,157.0,5.0,5.0,4.0
mutation_overlap_ID0000025,compute,1589799057.0,,,1589799063.0,1589799105.0,1589799124.0,1589799124.0,1589799129.0,6.0,,42.0,19.0,5.0,4.0,4.0
frequency_ID0000038,compute,1589799057.0,,,1589799063.0,1589799072.0,1589799224.0,1589799224.0,1589799229.0,6.0,,9.0,152.0,5.0,5.0,3.0
mutation_overlap_ID0000033,compute,1589799057.0,,,1589799062.0,1589799072.0,1589799104.0,1589799104.0,1589799109.0,5.0,,10.0,32.0,5.0,5.0,3.0
frequency_ID0000034,compute,1589799057.0,,,1589799063.0,1589799094.0,1589799229.0,1589799229.0,1589799234.0,6.0,,31.0,135.0,5.0,4.0,3.0
