,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050200_0_condorpool,auxiliary,1620836419.0,,,1620836423.0,1620836425.0,1620836433.0,1620836433.0,1620836438.0,4.0,,2.0,8.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1620836438.0,,,1620836443.0,1620836459.0,1620836488.0,1620836488.0,1620836493.0,5.0,,16.0,29.0,5.0,8.0,15.0
merge_mrtV2_PID2_ID4,compute,1620836493.0,,,1620836498.0,1620836518.0,1620836548.0,1620836548.0,1620836553.0,5.0,,20.0,30.0,5.0,18.0,7.0
stage_out_local_condorpool_0_0,transfer,1620836493.0,,,1620836498.0,1620836498.0,1620836528.0,1620836528.0,1620836533.0,5.0,,0.0,30.0,5.0,,29.0
merge_merged_netcdf2png_PID2_ID2,compute,1620836493.0,,,1620836498.0,1620836519.0,1620836548.0,1620836548.0,1620836553.0,5.0,,21.0,29.0,5.0,19.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1620836493.0,,,1620836498.0,1620836519.0,1620836548.0,1620836548.0,1620836553.0,5.0,,21.0,29.0,5.0,19.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1620836493.0,,,1620836498.0,1620836519.0,1620836548.0,1620836548.0,1620836553.0,5.0,,21.0,29.0,5.0,19.0,6.0
merge_mrtV2_PID2_ID1,compute,1620836493.0,,,1620836498.0,1620836546.0,1620836568.0,1620836568.0,1620836573.0,5.0,,48.0,22.0,5.0,12.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1620836493.0,,,1620836498.0,1620836547.0,1620836573.0,1620836573.0,1620836578.0,5.0,,49.0,26.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID2,compute,1620836493.0,,,1620836498.0,1620836547.0,1620836573.0,1620836573.0,1620836578.0,5.0,,49.0,26.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID3,compute,1620836493.0,,,1620836498.0,1620836547.0,1620836573.0,1620836573.0,1620836578.0,5.0,,49.0,26.0,5.0,15.0,7.0
stage_out_local_condorpool_1_0,transfer,1620836578.0,,,1620836583.0,1620836583.0,1620836638.0,1620836638.0,1620836643.0,5.0,,0.0,55.0,5.0,,51.0
cleanup_casa_nowcast-wf-20190325050200_0_condorpool,auxiliary,1620836643.0,,,1620836648.0,1620836648.0,1620836653.0,1620836653.0,1620836658.0,5.0,,0.0,5.0,5.0,,
