,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T053529Z_0_condorpool,auxiliary,1620886229.0,,,1620886233.0,1620886234.0,1620886238.0,1620886238.0,1620886243.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886268.0,1620886268.0,1620886274.0,5.0,,4.0,16.0,6.0,2.0,7.0
gunzip_ID0000012,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886268.0,1620886268.0,1620886274.0,5.0,,4.0,16.0,6.0,2.0,8.0
gunzip_ID0000008,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,9.0
gunzip_ID0000014,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,9.0
gunzip_ID0000003,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,9.0
gunzip_ID0000015,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886268.0,1620886268.0,1620886274.0,5.0,,4.0,16.0,6.0,2.0,9.0
gunzip_ID0000010,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886268.0,1620886268.0,1620886274.0,5.0,,4.0,16.0,6.0,2.0,8.0
gunzip_ID0000011,compute,1620886243.0,,,1620886248.0,1620886251.0,1620886268.0,1620886268.0,1620886274.0,5.0,,3.0,17.0,6.0,3.0,8.0
gunzip_ID0000009,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886269.0,1620886269.0,1620886274.0,5.0,,4.0,17.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1620886243.0,,,1620886248.0,1620886252.0,1620886268.0,1620886268.0,1620886274.0,5.0,,4.0,16.0,6.0,2.0,8.0
um_vel_ID0000018,compute,1620886274.0,,,1620886279.0,1620886279.0,1620886309.0,1620886309.0,1620886314.0,5.0,,0.0,30.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1620886314.0,,,1620886319.0,1620886319.0,1620886329.0,1620886329.0,1620886334.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1620886314.0,,,1620886319.0,1620886319.0,1620886339.0,1620886339.0,1620886344.0,5.0,,0.0,20.0,5.0,10.0,4.0
mvt_ID0000020,compute,1620886314.0,,,1620886319.0,1620886336.0,1620886404.0,1620886404.0,1620886409.0,5.0,,17.0,68.0,5.0,10.0,5.0
stage_out_local_condorpool_2_0,transfer,1620886409.0,,,1620886414.0,1620886414.0,1620886424.0,1620886424.0,1620886429.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1620886409.0,,,1620886414.0,1620886414.0,1620886434.0,1620886434.0,1620886439.0,5.0,,0.0,20.0,5.0,10.0,5.0
stage_out_local_condorpool_3_0,transfer,1620886439.0,,,1620886444.0,1620886444.0,1620886454.0,1620886454.0,1620886459.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T053529Z_0_condorpool,auxiliary,1620886459.0,,,1620886464.0,1620886464.0,1620886469.0,1620886469.0,1620886474.0,5.0,,0.0,5.0,5.0,,
