,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T052329Z_0_condorpool,auxiliary,1620900075.0,,,1620900079.0,1620900081.0,1620900089.0,1620900089.0,1620900094.0,4.0,,2.0,8.0,5.0,,
gunzip_ID0000016,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,8.0
gunzip_ID0000005,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,9.0
gunzip_ID0000007,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,2.0,7.0
gunzip_ID0000012,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,8.0
gunzip_ID0000008,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,8.0
gunzip_ID0000014,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,9.0
gunzip_ID0000003,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,9.0
gunzip_ID0000015,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,9.0
gunzip_ID0000004,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,3.0,8.0
gunzip_ID0000010,compute,1620900094.0,,,1620900099.0,1620900118.0,1620900135.0,1620900135.0,1620900140.0,5.0,,19.0,17.0,5.0,3.0,8.0
gunzip_ID0000011,compute,1620900094.0,,,1620900099.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,5.0,,20.0,16.0,5.0,3.0,9.0
gunzip_ID0000009,compute,1620900094.0,,,1620900099.0,1620900118.0,1620900135.0,1620900135.0,1620900140.0,5.0,,19.0,17.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1620900094.0,,,1620900100.0,1620900119.0,1620900135.0,1620900135.0,1620900140.0,6.0,,19.0,16.0,5.0,2.0,7.0
um_vel_ID0000018,compute,1620900140.0,,,1620900145.0,1620900146.0,1620900175.0,1620900175.0,1620900180.0,5.0,,1.0,29.0,5.0,21.0,4.0
stage_out_local_condorpool_1_0,transfer,1620900180.0,,,1620900185.0,1620900186.0,1620900196.0,1620900196.0,1620900201.0,5.0,,1.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1620900180.0,,,1620900186.0,1620900186.0,1620900206.0,1620900206.0,1620900211.0,6.0,,0.0,20.0,5.0,10.0,4.0
mvt_ID0000020,compute,1620900180.0,,,1620900186.0,1620900202.0,1620900276.0,1620900276.0,1620900281.0,6.0,,16.0,74.0,5.0,9.0,4.0
stage_out_local_condorpool_2_0,transfer,1620900281.0,,,1620900286.0,1620900286.0,1620900296.0,1620900296.0,1620900301.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1620900281.0,,,1620900286.0,1620900286.0,1620900306.0,1620900306.0,1620900311.0,5.0,,0.0,20.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1620900311.0,,,1620900316.0,1620900316.0,1620900326.0,1620900326.0,1620900331.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T052329Z_0_condorpool,auxiliary,1620900331.0,,,1620900336.0,1620900336.0,1620900341.0,1620900341.0,1620900346.0,5.0,,0.0,5.0,5.0,,
