,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200613T072602Z_0_condorpool,auxiliary,1592083847.0,,,1592083851.0,1592083852.0,1592083856.0,1592083856.0,1592083861.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1592083861.0,,,1592083870.0,1592084205.0,1592084251.0,1592084251.0,1592084256.0,9.0,,335.0,46.0,5.0,35.0,4.0
sifting_ID0000012,compute,1592083861.0,,,1592083870.0,1592084192.0,1592084241.0,1592084241.0,1592084246.0,9.0,,322.0,49.0,5.0,33.0,3.0
individuals_ID0000021,compute,1592083861.0,,,1592083869.0,1592083889.0,1592084231.0,1592084231.0,1592084236.0,8.0,,20.0,342.0,5.0,157.0,3.0
individuals_ID0000020,compute,1592083861.0,,,1592083869.0,1592083889.0,1592084236.0,1592084236.0,1592084241.0,8.0,,20.0,347.0,5.0,155.0,4.0
individuals_ID0000009,compute,1592083861.0,,,1592083869.0,1592083888.0,1592084241.0,1592084241.0,1592084251.0,8.0,,19.0,353.0,10.0,155.0,3.0
individuals_ID0000019,compute,1592083861.0,,,1592083869.0,1592083888.0,1592084231.0,1592084231.0,1592084236.0,8.0,,19.0,343.0,5.0,153.0,3.0
individuals_ID0000008,compute,1592083861.0,,,1592083869.0,1592083888.0,1592084241.0,1592084241.0,1592084251.0,8.0,,19.0,353.0,10.0,155.0,4.0
individuals_ID0000014,compute,1592083861.0,,,1592083868.0,1592083888.0,1592084236.0,1592084236.0,1592084241.0,7.0,,20.0,348.0,5.0,155.0,4.0
individuals_ID0000003,compute,1592083861.0,,,1592083868.0,1592083888.0,1592084241.0,1592084241.0,1592084246.0,7.0,,20.0,353.0,5.0,153.0,3.0
individuals_ID0000013,compute,1592083861.0,,,1592083868.0,1592083888.0,1592084226.0,1592084226.0,1592084231.0,7.0,,20.0,338.0,5.0,156.0,3.0
individuals_ID0000010,compute,1592083861.0,,,1592083869.0,1592083888.0,1592084241.0,1592084241.0,1592084246.0,8.0,,19.0,353.0,5.0,159.0,3.0
individuals_ID0000001,compute,1592083861.0,,,1592083867.0,1592083869.0,1592084211.0,1592084211.0,1592084221.0,6.0,,2.0,342.0,10.0,150.0,4.0
individuals_ID0000002,compute,1592083861.0,,,1592083867.0,1592083869.0,1592084216.0,1592084216.0,1592084221.0,6.0,,2.0,347.0,5.0,154.0,3.0
individuals_ID0000004,compute,1592083861.0,,,1592083866.0,1592083869.0,1592084216.0,1592084216.0,1592084221.0,5.0,,3.0,347.0,5.0,156.0,4.0
individuals_ID0000005,compute,1592083861.0,,,1592083866.0,1592083869.0,1592084206.0,1592084206.0,1592084211.0,5.0,,3.0,337.0,5.0,158.0,4.0
individuals_ID0000016,compute,1592083861.0,,,1592083866.0,1592083869.0,1592084196.0,1592084196.0,1592084201.0,5.0,,3.0,327.0,5.0,147.0,4.0
individuals_ID0000015,compute,1592083861.0,,,1592083866.0,1592083869.0,1592084221.0,1592084221.0,1592084226.0,5.0,,3.0,352.0,5.0,160.0,4.0
individuals_ID0000017,compute,1592083861.0,,,1592083867.0,1592083868.0,1592084211.0,1592084211.0,1592084221.0,6.0,,1.0,343.0,10.0,154.0,3.0
individuals_ID0000007,compute,1592083861.0,,,1592083867.0,1592083869.0,1592084206.0,1592084206.0,1592084211.0,6.0,,2.0,337.0,5.0,150.0,4.0
individuals_ID0000018,compute,1592083861.0,,,1592083867.0,1592083869.0,1592084221.0,1592084221.0,1592084226.0,6.0,,2.0,352.0,5.0,161.0,4.0
