,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325051800_0_condorpool,auxiliary,1620984098.0,,,1620984102.0,1620984103.0,1620984107.0,1620984107.0,1620984112.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1620984112.0,,,1620984117.0,1620984137.0,1620984167.0,1620984167.0,1620984172.0,5.0,,20.0,30.0,5.0,9.0,16.0
merge_mrtV2_PID2_ID4,compute,1620984172.0,,,1620984177.0,1620984198.0,1620984227.0,1620984227.0,1620984232.0,5.0,,21.0,29.0,5.0,16.0,7.0
stage_out_local_condorpool_0_0,transfer,1620984172.0,,,1620984177.0,1620984177.0,1620984207.0,1620984207.0,1620984212.0,5.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1620984172.0,,,1620984177.0,1620984198.0,1620984227.0,1620984227.0,1620984232.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1620984172.0,,,1620984177.0,1620984198.0,1620984227.0,1620984227.0,1620984232.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1620984172.0,,,1620984177.0,1620984198.0,1620984222.0,1620984222.0,1620984227.0,5.0,,21.0,24.0,5.0,15.0,6.0
merge_mrtV2_PID2_ID1,compute,1620984172.0,,,1620984177.0,1620984222.0,1620984247.0,1620984247.0,1620984252.0,5.0,,45.0,25.0,5.0,14.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1620984172.0,,,1620984177.0,1620984222.0,1620984247.0,1620984247.0,1620984252.0,5.0,,45.0,25.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID2,compute,1620984172.0,,,1620984177.0,1620984223.0,1620984247.0,1620984247.0,1620984252.0,5.0,,46.0,24.0,5.0,15.0,6.0
merge_mrtV2_PID2_ID3,compute,1620984172.0,,,1620984177.0,1620984224.0,1620984247.0,1620984247.0,1620984252.0,5.0,,47.0,23.0,5.0,15.0,6.0
stage_out_local_condorpool_1_0,transfer,1620984252.0,,,1620984257.0,1620984257.0,1620984312.0,1620984312.0,1620984317.0,5.0,,0.0,55.0,5.0,,51.0
cleanup_casa_nowcast-wf-20190325051800_0_condorpool,auxiliary,1620984317.0,,,1620984322.0,1620984322.0,1620984327.0,1620984327.0,1620984332.0,5.0,,0.0,5.0,5.0,,
