,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325052500_0_condorpool,auxiliary,1621058416.0,,,1621058420.0,1621058422.0,1621058430.0,1621058430.0,1621058435.0,4.0,,2.0,8.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621058435.0,,,1621058440.0,1621058450.0,1621058490.0,1621058490.0,1621058495.0,5.0,,10.0,40.0,5.0,15.0,18.0
merge_mrtV2_PID2_ID4,compute,1621058495.0,,,1621058500.0,1621058520.0,1621058545.0,1621058545.0,1621058550.0,5.0,,20.0,25.0,5.0,15.0,7.0
stage_out_local_condorpool_0_0,transfer,1621058495.0,,,1621058500.0,1621058500.0,1621058530.0,1621058530.0,1621058535.0,5.0,,0.0,30.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1621058495.0,,,1621058500.0,1621058520.0,1621058545.0,1621058545.0,1621058550.0,5.0,,20.0,25.0,5.0,15.0,6.0
merge_merged_netcdf2png_PID2_ID1,compute,1621058495.0,,,1621058500.0,1621058520.0,1621058545.0,1621058545.0,1621058550.0,5.0,,20.0,25.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621058495.0,,,1621058500.0,1621058521.0,1621058550.0,1621058550.0,1621058555.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_mrtV2_PID2_ID1,compute,1621058495.0,,,1621058500.0,1621058544.0,1621058570.0,1621058570.0,1621058575.0,5.0,,44.0,26.0,5.0,13.0,7.0
merge_merged_netcdf2png_PID2_ID3,compute,1621058495.0,,,1621058500.0,1621058544.0,1621058570.0,1621058570.0,1621058575.0,5.0,,44.0,26.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID2,compute,1621058495.0,,,1621058500.0,1621058545.0,1621058570.0,1621058570.0,1621058575.0,5.0,,45.0,25.0,5.0,13.0,6.0
merge_mrtV2_PID2_ID3,compute,1621058495.0,,,1621058500.0,1621058548.0,1621058585.0,1621058585.0,1621058590.0,5.0,,48.0,37.0,5.0,22.0,8.0
stage_out_local_condorpool_1_0,transfer,1621058590.0,,,1621058595.0,1621058595.0,1621058650.0,1621058650.0,1621058655.0,5.0,,0.0,55.0,5.0,,51.0
cleanup_casa_nowcast-wf-20190325052500_0_condorpool,auxiliary,1621058655.0,,,1621058660.0,1621058660.0,1621058665.0,1621058665.0,1621058670.0,5.0,,0.0,5.0,5.0,,
