,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T053129Z_0_condorpool,auxiliary,1621056493.0,,,1621056497.0,1621056498.0,1621056502.0,1621056502.0,1621056507.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000005,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,2.0,7.0
gunzip_ID0000017,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,7.0
gunzip_ID0000006,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000007,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056547.0,1621056547.0,1621056552.0,5.0,,22.0,13.0,5.0,3.0,7.0
gunzip_ID0000012,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056547.0,1621056547.0,1621056552.0,5.0,,22.0,13.0,5.0,2.0,8.0
gunzip_ID0000001,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056547.0,1621056547.0,1621056552.0,5.0,,22.0,13.0,5.0,2.0,7.0
gunzip_ID0000013,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000008,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000014,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000003,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000015,compute,1621056507.0,,,1621056512.0,1621056533.0,1621056547.0,1621056547.0,1621056552.0,5.0,,21.0,14.0,5.0,3.0,8.0
gunzip_ID0000004,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,9.0
gunzip_ID0000010,compute,1621056507.0,,,1621056512.0,1621056533.0,1621056547.0,1621056547.0,1621056552.0,5.0,,21.0,14.0,5.0,3.0,5.0
gunzip_ID0000011,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056552.0,1621056552.0,1621056557.0,5.0,,22.0,18.0,5.0,3.0,8.0
gunzip_ID0000009,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056547.0,1621056547.0,1621056552.0,5.0,,22.0,13.0,5.0,3.0,8.0
gunzip_ID0000002,compute,1621056507.0,,,1621056512.0,1621056534.0,1621056547.0,1621056547.0,1621056552.0,5.0,,22.0,13.0,5.0,2.0,6.0
um_vel_ID0000018,compute,1621056557.0,,,1621056562.0,1621056562.0,1621056597.0,1621056597.0,1621056602.0,5.0,,0.0,35.0,5.0,22.0,4.0
stage_out_local_condorpool_1_0,transfer,1621056602.0,,,1621056607.0,1621056607.0,1621056617.0,1621056617.0,1621056622.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1621056602.0,,,1621056607.0,1621056608.0,1621056627.0,1621056627.0,1621056632.0,5.0,,1.0,19.0,5.0,11.0,4.0
mvt_ID0000020,compute,1621056602.0,,,1621056607.0,1621056627.0,1621056697.0,1621056697.0,1621056702.0,5.0,,20.0,70.0,5.0,10.0,4.0
stage_out_local_condorpool_2_0,transfer,1621056702.0,,,1621056707.0,1621056707.0,1621056717.0,1621056717.0,1621056722.0,5.0,,0.0,10.0,5.0,,5.0
pointalert_ID0000021,compute,1621056702.0,,,1621056707.0,1621056708.0,1621056727.0,1621056727.0,1621056732.0,5.0,,1.0,19.0,5.0,11.0,4.0
stage_out_local_condorpool_3_0,transfer,1621056732.0,,,1621056737.0,1621056737.0,1621056747.0,1621056747.0,1621056752.0,5.0,,0.0,10.0,5.0,,4.0
cleanup_casa_wind_wf-20200817T053129Z_0_condorpool,auxiliary,1621056752.0,,,1621056757.0,1621056757.0,1621056762.0,1621056762.0,1621056767.0,5.0,,0.0,5.0,5.0,,
