,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200923T161044Z_0_condorpool,auxiliary,1600883775.0,,,1600883779.0,1600883781.0,1600883789.0,1600883789.0,1600883794.0,4.0,,2.0,8.0,5.0,,
sifting_ID0000024,compute,1600883794.0,,,1600883800.0,1600884054.0,1600884105.0,1600884105.0,1600884110.0,6.0,,254.0,51.0,5.0,38.0,5.0
sifting_ID0000012,compute,1600883794.0,,,1600883800.0,1600884038.0,1600884095.0,1600884095.0,1600884100.0,6.0,,238.0,57.0,5.0,45.0,6.0
individuals_ID0000021,compute,1600883794.0,,,1600883800.0,1600883821.0,1600884040.0,1600884040.0,1600884045.0,6.0,,21.0,219.0,5.0,154.0,5.0
individuals_ID0000010,compute,1600883794.0,,,1600883800.0,1600883821.0,1600884055.0,1600884055.0,1600884060.0,6.0,,21.0,234.0,5.0,164.0,6.0
individuals_ID0000020,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884080.0,1600884080.0,1600884090.0,6.0,,20.0,260.0,10.0,172.0,5.0
individuals_ID0000009,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884080.0,1600884080.0,1600884090.0,6.0,,20.0,260.0,10.0,170.0,5.0
individuals_ID0000019,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884075.0,1600884075.0,1600884080.0,6.0,,20.0,255.0,5.0,165.0,5.0
individuals_ID0000014,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884080.0,1600884080.0,1600884090.0,6.0,,20.0,260.0,10.0,172.0,5.0
individuals_ID0000003,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884080.0,1600884080.0,1600884090.0,6.0,,20.0,260.0,10.0,175.0,4.0
individuals_ID0000013,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884080.0,1600884080.0,1600884090.0,6.0,,20.0,260.0,10.0,174.0,4.0
individuals_ID0000008,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884075.0,1600884075.0,1600884080.0,6.0,,20.0,255.0,5.0,172.0,5.0
individuals_ID0000001,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884070.0,1600884070.0,1600884075.0,6.0,,20.0,250.0,5.0,165.0,5.0
individuals_ID0000004,compute,1600883794.0,,,1600883799.0,1600883821.0,1600884065.0,1600884065.0,1600884070.0,5.0,,22.0,244.0,5.0,174.0,6.0
individuals_ID0000002,compute,1600883794.0,,,1600883800.0,1600883821.0,1600884065.0,1600884065.0,1600884070.0,6.0,,21.0,244.0,5.0,174.0,6.0
individuals_ID0000005,compute,1600883794.0,,,1600883800.0,1600883819.0,1600884060.0,1600884060.0,1600884065.0,6.0,,19.0,241.0,5.0,159.0,5.0
individuals_ID0000016,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884055.0,1600884055.0,1600884060.0,6.0,,20.0,235.0,5.0,154.0,5.0
individuals_ID0000006,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884085.0,1600884085.0,1600884090.0,6.0,,20.0,265.0,5.0,175.0,5.0
individuals_ID0000015,compute,1600883794.0,,,1600883800.0,1600883819.0,1600884065.0,1600884065.0,1600884070.0,6.0,,19.0,246.0,5.0,162.0,5.0
individuals_ID0000007,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884080.0,1600884080.0,1600884090.0,6.0,,20.0,260.0,10.0,175.0,5.0
individuals_ID0000018,compute,1600883794.0,,,1600883800.0,1600883819.0,1600884080.0,1600884080.0,1600884090.0,6.0,,19.0,261.0,10.0,175.0,4.0
individuals_ID0000022,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884070.0,1600884070.0,1600884075.0,6.0,,20.0,250.0,5.0,161.0,5.0
individuals_ID0000017,compute,1600883794.0,,,1600883800.0,1600883820.0,1600884085.0,1600884085.0,1600884095.0,6.0,,20.0,265.0,10.0,172.0,5.0
individuals_merge_ID0000011,compute,1600884090.0,,,1600884095.0,1600884096.0,1600884140.0,1600884140.0,1600884145.0,5.0,,1.0,44.0,5.0,8.0,5.0
individuals_merge_ID0000023,compute,1600884095.0,,,1600884100.0,1600884100.0,1600884145.0,1600884145.0,1600884150.0,5.0,,0.0,45.0,5.0,4.0,
mutation_overlap_ID0000027,compute,1600884145.0,,,1600884150.0,1600884171.0,1600884191.0,1600884191.0,1600884196.0,5.0,,21.0,20.0,5.0,5.0,4.0
mutation_overlap_ID0000025,compute,1600884145.0,,,1600884150.0,1600884172.0,1600884191.0,1600884191.0,1600884196.0,5.0,,22.0,19.0,5.0,5.0,5.0
