,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200519T064542Z_0_condorpool,auxiliary,1589901210.0,,,1589901214.0,1589901215.0,1589901219.0,1589901219.0,1589901224.0,4.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1589901224.0,,,1589901234.0,1589901415.0,1589901460.0,1589901460.0,1589901465.0,10.0,,181.0,45.0,5.0,37.0,3.0
sifting_ID0000012,compute,1589901224.0,,,1589901234.0,1589901410.0,1589901455.0,1589901455.0,1589901460.0,10.0,,176.0,45.0,5.0,35.0,3.0
individuals_ID0000021,compute,1589901224.0,,,1589901233.0,1589901251.0,1589901470.0,1589901470.0,1589901480.0,9.0,,18.0,219.0,10.0,158.0,3.0
individuals_ID0000010,compute,1589901224.0,,,1589901233.0,1589901251.0,1589901465.0,1589901465.0,1589901475.0,9.0,,18.0,214.0,10.0,147.0,3.0
individuals_ID0000020,compute,1589901224.0,,,1589901232.0,1589901251.0,1589901465.0,1589901465.0,1589901475.0,8.0,,19.0,214.0,10.0,145.0,3.0
individuals_ID0000009,compute,1589901224.0,,,1589901232.0,1589901251.0,1589901460.0,1589901460.0,1589901465.0,8.0,,19.0,209.0,5.0,148.0,3.0
individuals_ID0000019,compute,1589901224.0,,,1589901232.0,1589901251.0,1589901465.0,1589901465.0,1589901475.0,8.0,,19.0,214.0,10.0,148.0,3.0
individuals_ID0000014,compute,1589901224.0,,,1589901231.0,1589901251.0,1589901465.0,1589901465.0,1589901475.0,7.0,,20.0,214.0,10.0,150.0,3.0
individuals_ID0000003,compute,1589901224.0,,,1589901231.0,1589901251.0,1589901465.0,1589901465.0,1589901475.0,7.0,,20.0,214.0,10.0,147.0,3.0
individuals_ID0000013,compute,1589901224.0,,,1589901231.0,1589901250.0,1589901460.0,1589901460.0,1589901465.0,7.0,,19.0,210.0,5.0,146.0,4.0
individuals_ID0000008,compute,1589901224.0,,,1589901232.0,1589901251.0,1589901465.0,1589901465.0,1589901475.0,8.0,,19.0,214.0,10.0,147.0,3.0
individuals_ID0000001,compute,1589901224.0,,,1589901230.0,1589901232.0,1589901450.0,1589901450.0,1589901455.0,6.0,,2.0,218.0,5.0,152.0,4.0
individuals_ID0000004,compute,1589901224.0,,,1589901229.0,1589901232.0,1589901425.0,1589901425.0,1589901430.0,5.0,,3.0,193.0,5.0,142.0,3.0
individuals_ID0000002,compute,1589901224.0,,,1589901231.0,1589901251.0,1589901465.0,1589901465.0,1589901475.0,7.0,,20.0,214.0,10.0,149.0,4.0
individuals_ID0000005,compute,1589901224.0,,,1589901230.0,1589901231.0,1589901415.0,1589901415.0,1589901420.0,6.0,,1.0,184.0,5.0,138.0,4.0
individuals_ID0000016,compute,1589901224.0,,,1589901230.0,1589901232.0,1589901450.0,1589901450.0,1589901455.0,6.0,,2.0,218.0,5.0,155.0,3.0
individuals_ID0000006,compute,1589901224.0,,,1589901230.0,1589901232.0,1589901450.0,1589901450.0,1589901455.0,6.0,,2.0,218.0,5.0,153.0,4.0
individuals_ID0000015,compute,1589901224.0,,,1589901229.0,1589901231.0,1589901435.0,1589901435.0,1589901440.0,5.0,,2.0,204.0,5.0,144.0,3.0
individuals_ID0000007,compute,1589901224.0,,,1589901230.0,1589901232.0,1589901460.0,1589901460.0,1589901465.0,6.0,,2.0,228.0,5.0,166.0,3.0
individuals_ID0000018,compute,1589901224.0,,,1589901230.0,1589901232.0,1589901430.0,1589901430.0,1589901435.0,6.0,,2.0,198.0,5.0,140.0,3.0
individuals_ID0000022,compute,1589901224.0,,,1589901230.0,1589901231.0,1589901410.0,1589901410.0,1589901415.0,6.0,,1.0,179.0,5.0,132.0,4.0
individuals_ID0000017,compute,1589901224.0,,,1589901230.0,1589901232.0,1589901460.0,1589901460.0,1589901465.0,6.0,,2.0,228.0,5.0,161.0,3.0
individuals_merge_ID0000011,compute,1589901475.0,,,1589901480.0,1589901481.0,1589901526.0,1589901526.0,1589901531.0,5.0,,1.0,45.0,5.0,7.0,4.0
individuals_merge_ID0000023,compute,1589901480.0,,,1589901485.0,1589901486.0,1589901537.0,1589901537.0,1589901542.0,5.0,,1.0,51.0,5.0,6.0,4.0
mutation_overlap_ID0000027,compute,1589901531.0,,,1589901537.0,1589901559.0,1589901620.0,1589901620.0,1589901625.0,6.0,,22.0,61.0,5.0,4.0,3.0
mutation_overlap_ID0000025,compute,1589901531.0,,,1589901537.0,1589901559.0,1589901595.0,1589901595.0,1589901600.0,6.0,,22.0,36.0,5.0,4.0,4.0
mutation_overlap_ID0000037,compute,1589901531.0,,,1589901537.0,1589901558.0,1589901584.0,1589901584.0,1589901590.0,6.0,,21.0,26.0,6.0,5.0,4.0
mutation_overlap_ID0000035,compute,1589901531.0,,,1589901537.0,1589901558.0,1589901579.0,1589901579.0,1589901584.0,6.0,,21.0,21.0,5.0,5.0,4.0
frequency_ID0000028,compute,1589901531.0,,,1589901537.0,1589901558.0,1589901705.0,1589901705.0,1589901715.0,6.0,,21.0,147.0,10.0,5.0,4.0
mutation_overlap_ID0000029,compute,1589901531.0,,,1589901537.0,1589901558.0,1589901584.0,1589901584.0,1589901590.0,6.0,,21.0,26.0,6.0,4.0,4.0
frequency_ID0000034,compute,1589901531.0,,,1589901536.0,1589901558.0,1589901705.0,1589901705.0,1589901715.0,5.0,,22.0,147.0,10.0,4.0,4.0
frequency_ID0000026,compute,1589901531.0,,,1589901536.0,1589901559.0,1589901705.0,1589901705.0,1589901715.0,5.0,,23.0,146.0,10.0,4.0,4.0
frequency_ID0000038,compute,1589901531.0,,,1589901536.0,1589901558.0,1589901700.0,1589901700.0,1589901705.0,5.0,,22.0,142.0,5.0,4.0,4.0
mutation_overlap_ID0000033,compute,1589901531.0,,,1589901536.0,1589901557.0,1589901590.0,1589901590.0,1589901595.0,5.0,,21.0,33.0,5.0,7.0,3.0
frequency_ID0000036,compute,1589901531.0,,,1589901536.0,1589901551.0,1589901700.0,1589901700.0,1589901705.0,5.0,,15.0,149.0,5.0,3.0,3.0
