,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325051200_0_condorpool,auxiliary,1621399074.0,,,1621399078.0,1621399079.0,1621399083.0,1621399083.0,1621399088.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621399088.0,,,1621399093.0,1621399098.0,1621399128.0,1621399128.0,1621399133.0,5.0,,5.0,30.0,5.0,9.0,16.0
merge_mrtV2_PID2_ID4,compute,1621399133.0,,,1621399138.0,1621399158.0,1621399184.0,1621399184.0,1621399189.0,5.0,,20.0,26.0,5.0,16.0,7.0
stage_out_local_condorpool_0_0,transfer,1621399133.0,,,1621399138.0,1621399138.0,1621399169.0,1621399169.0,1621399174.0,5.0,,0.0,31.0,5.0,,28.0
merge_merged_netcdf2png_PID2_ID2,compute,1621399133.0,,,1621399138.0,1621399158.0,1621399184.0,1621399184.0,1621399189.0,5.0,,20.0,26.0,5.0,14.0,6.0
merge_merged_netcdf2png_PID2_ID1,compute,1621399133.0,,,1621399138.0,1621399158.0,1621399184.0,1621399184.0,1621399189.0,5.0,,20.0,26.0,5.0,15.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621399133.0,,,1621399138.0,1621399158.0,1621399184.0,1621399184.0,1621399189.0,5.0,,20.0,26.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID1,compute,1621399133.0,,,1621399138.0,1621399181.0,1621399204.0,1621399204.0,1621399209.0,5.0,,43.0,23.0,5.0,13.0,7.0
merge_merged_netcdf2png_PID2_ID3,compute,1621399133.0,,,1621399138.0,1621399182.0,1621399209.0,1621399209.0,1621399214.0,5.0,,44.0,27.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID2,compute,1621399133.0,,,1621399138.0,1621399182.0,1621399209.0,1621399209.0,1621399214.0,5.0,,44.0,27.0,5.0,15.0,8.0
merge_mrtV2_PID2_ID3,compute,1621399133.0,,,1621399138.0,1621399183.0,1621399209.0,1621399209.0,1621399214.0,5.0,,45.0,26.0,5.0,14.0,7.0
stage_out_local_condorpool_1_0,transfer,1621399214.0,,,1621399219.0,1621399219.0,1621399274.0,1621399274.0,1621399279.0,5.0,,0.0,55.0,5.0,,53.0
cleanup_casa_nowcast-wf-20190325051200_0_condorpool,auxiliary,1621399279.0,,,1621399284.0,1621399284.0,1621399289.0,1621399289.0,1621399294.0,5.0,,0.0,5.0,5.0,,
