,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T052929Z_0_condorpool,auxiliary,1621401437.0,,,1621401441.0,1621401442.0,1621401446.0,1621401446.0,1621401451.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,9.0
gunzip_ID0000005,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401482.0,1621401482.0,1621401487.0,5.0,,7.0,19.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,9.0
gunzip_ID0000006,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,9.0
gunzip_ID0000007,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401476.0,1621401476.0,1621401481.0,5.0,,7.0,13.0,5.0,2.0,7.0
gunzip_ID0000012,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,8.0
gunzip_ID0000001,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,8.0
gunzip_ID0000013,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,9.0
gunzip_ID0000008,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,9.0
gunzip_ID0000014,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,2.0,9.0
gunzip_ID0000003,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,9.0
gunzip_ID0000015,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,8.0
gunzip_ID0000004,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401476.0,1621401476.0,1621401481.0,5.0,,7.0,13.0,5.0,3.0,8.0
gunzip_ID0000010,compute,1621401451.0,,,1621401456.0,1621401462.0,1621401476.0,1621401476.0,1621401481.0,5.0,,6.0,14.0,5.0,3.0,6.0
gunzip_ID0000011,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,9.0
gunzip_ID0000009,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401481.0,1621401481.0,1621401487.0,5.0,,7.0,18.0,6.0,3.0,9.0
gunzip_ID0000002,compute,1621401451.0,,,1621401456.0,1621401463.0,1621401476.0,1621401476.0,1621401481.0,5.0,,7.0,13.0,5.0,2.0,7.0
um_vel_ID0000018,compute,1621401487.0,,,1621401492.0,1621401492.0,1621401522.0,1621401522.0,1621401527.0,5.0,,0.0,30.0,5.0,20.0,5.0
stage_out_local_condorpool_1_0,transfer,1621401527.0,,,1621401532.0,1621401532.0,1621401542.0,1621401542.0,1621401547.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1621401527.0,,,1621401532.0,1621401532.0,1621401552.0,1621401552.0,1621401557.0,5.0,,0.0,20.0,5.0,9.0,4.0
mvt_ID0000020,compute,1621401527.0,,,1621401532.0,1621401548.0,1621401617.0,1621401617.0,1621401622.0,5.0,,16.0,69.0,5.0,9.0,5.0
stage_out_local_condorpool_2_0,transfer,1621401622.0,,,1621401627.0,1621401627.0,1621401637.0,1621401637.0,1621401642.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621401622.0,,,1621401627.0,1621401628.0,1621401647.0,1621401647.0,1621401652.0,5.0,,1.0,19.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1621401652.0,,,1621401657.0,1621401657.0,1621401667.0,1621401667.0,1621401672.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T052929Z_0_condorpool,auxiliary,1621401672.0,,,1621401677.0,1621401677.0,1621401682.0,1621401682.0,1621401687.0,5.0,,0.0,5.0,5.0,,
