,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200521T193903Z_0_condorpool,auxiliary,1590104057.0,,,1590104062.0,1590104063.0,1590104067.0,1590104067.0,1590104072.0,5.0,,1.0,4.0,5.0,,
sifting_ID0000024,compute,1590104072.0,,,1590104079.0,1590104370.0,1590104701.0,1590104701.0,1590104706.0,7.0,,291.0,331.0,5.0,321.0,4.0
sifting_ID0000012,compute,1590104072.0,,,1590104079.0,1590104359.0,1590104644.0,1590104644.0,1590104649.0,7.0,,280.0,285.0,5.0,273.0,4.0
individuals_ID0000021,compute,1590104072.0,,,1590104079.0,1590104099.0,1590104384.0,1590104384.0,1590104389.0,7.0,,20.0,285.0,5.0,218.0,5.0
individuals_ID0000010,compute,1590104072.0,,,1590104079.0,1590104099.0,1590104389.0,1590104389.0,1590104399.0,7.0,,20.0,290.0,10.0,216.0,4.0
individuals_ID0000020,compute,1590104072.0,,,1590104078.0,1590104103.0,1590104404.0,1590104404.0,1590104409.0,6.0,,25.0,301.0,5.0,224.0,4.0
individuals_ID0000009,compute,1590104072.0,,,1590104078.0,1590104099.0,1590104399.0,1590104399.0,1590104409.0,6.0,,21.0,300.0,10.0,219.0,3.0
individuals_ID0000019,compute,1590104072.0,,,1590104078.0,1590104106.0,1590104394.0,1590104394.0,1590104404.0,6.0,,28.0,288.0,10.0,214.0,4.0
individuals_ID0000014,compute,1590104072.0,,,1590104078.0,1590104099.0,1590104394.0,1590104394.0,1590104404.0,6.0,,21.0,295.0,10.0,216.0,4.0
individuals_ID0000003,compute,1590104072.0,,,1590104078.0,1590104101.0,1590104399.0,1590104399.0,1590104409.0,6.0,,23.0,298.0,10.0,217.0,3.0
individuals_ID0000013,compute,1590104072.0,,,1590104078.0,1590104099.0,1590104389.0,1590104389.0,1590104399.0,6.0,,21.0,290.0,10.0,222.0,3.0
individuals_ID0000008,compute,1590104072.0,,,1590104078.0,1590104099.0,1590104394.0,1590104394.0,1590104404.0,6.0,,21.0,295.0,10.0,220.0,3.0
individuals_ID0000001,compute,1590104072.0,,,1590104078.0,1590104098.0,1590104384.0,1590104384.0,1590104389.0,6.0,,20.0,286.0,5.0,219.0,4.0
individuals_ID0000004,compute,1590104072.0,,,1590104077.0,1590104098.0,1590104359.0,1590104359.0,1590104364.0,5.0,,21.0,261.0,5.0,205.0,4.0
individuals_ID0000002,compute,1590104072.0,,,1590104078.0,1590104100.0,1590104399.0,1590104399.0,1590104409.0,6.0,,22.0,299.0,10.0,225.0,4.0
individuals_ID0000005,compute,1590104072.0,,,1590104077.0,1590104098.0,1590104374.0,1590104374.0,1590104379.0,5.0,,21.0,276.0,5.0,215.0,3.0
individuals_ID0000016,compute,1590104072.0,,,1590104077.0,1590104099.0,1590104389.0,1590104389.0,1590104399.0,5.0,,22.0,290.0,10.0,223.0,4.0
individuals_ID0000006,compute,1590104072.0,,,1590104077.0,1590104098.0,1590104394.0,1590104394.0,1590104404.0,5.0,,21.0,296.0,10.0,220.0,3.0
individuals_ID0000015,compute,1590104072.0,,,1590104077.0,1590104099.0,1590104389.0,1590104389.0,1590104399.0,5.0,,22.0,290.0,10.0,221.0,4.0
individuals_ID0000007,compute,1590104072.0,,,1590104077.0,1590104099.0,1590104394.0,1590104394.0,1590104404.0,5.0,,22.0,295.0,10.0,225.0,4.0
individuals_ID0000018,compute,1590104072.0,,,1590104077.0,1590104099.0,1590104394.0,1590104394.0,1590104404.0,5.0,,22.0,295.0,10.0,212.0,4.0
individuals_ID0000022,compute,1590104072.0,,,1590104078.0,1590104098.0,1590104374.0,1590104374.0,1590104379.0,6.0,,20.0,276.0,5.0,212.0,3.0
