,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325051300_0_condorpool,auxiliary,1621441873.0,,,1621441877.0,1621441879.0,1621441887.0,1621441887.0,1621441892.0,4.0,,2.0,8.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1621441892.0,,,1621441897.0,1621441914.0,1621441942.0,1621441942.0,1621441947.0,5.0,,17.0,28.0,5.0,9.0,16.0
merge_mrtV2_PID2_ID4,compute,1621441947.0,,,1621441953.0,1621441974.0,1621442003.0,1621442003.0,1621442008.0,6.0,,21.0,29.0,5.0,16.0,7.0
stage_out_local_condorpool_0_0,transfer,1621441947.0,,,1621441953.0,1621441953.0,1621441988.0,1621441988.0,1621441993.0,6.0,,0.0,35.0,5.0,,29.0
merge_merged_netcdf2png_PID2_ID2,compute,1621441947.0,,,1621441953.0,1621441974.0,1621442003.0,1621442003.0,1621442008.0,6.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1621441947.0,,,1621441953.0,1621441974.0,1621442003.0,1621442003.0,1621442008.0,6.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1621441947.0,,,1621441953.0,1621441974.0,1621442003.0,1621442003.0,1621442008.0,6.0,,21.0,29.0,5.0,16.0,7.0
merge_mrtV2_PID2_ID1,compute,1621441947.0,,,1621441953.0,1621441998.0,1621442023.0,1621442023.0,1621442028.0,6.0,,45.0,25.0,5.0,14.0,7.0
merge_merged_netcdf2png_PID2_ID3,compute,1621441947.0,,,1621441953.0,1621441998.0,1621442028.0,1621442028.0,1621442033.0,6.0,,45.0,30.0,5.0,16.0,8.0
merge_mrtV2_PID2_ID2,compute,1621441947.0,,,1621441953.0,1621441999.0,1621442023.0,1621442023.0,1621442028.0,6.0,,46.0,24.0,5.0,16.0,7.0
merge_mrtV2_PID2_ID3,compute,1621441947.0,,,1621441953.0,1621441999.0,1621442028.0,1621442028.0,1621442033.0,6.0,,46.0,29.0,5.0,18.0,9.0
stage_out_local_condorpool_1_0,transfer,1621442033.0,,,1621442038.0,1621442038.0,1621442103.0,1621442103.0,1621442108.0,5.0,,0.0,65.0,5.0,,60.0
cleanup_casa_nowcast-wf-20190325051300_0_condorpool,auxiliary,1621442108.0,,,1621442113.0,1621442113.0,1621442118.0,1621442118.0,1621442123.0,5.0,,0.0,5.0,5.0,,
