,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T053029Z_0_condorpool,auxiliary,1621461611.0,,,1621461615.0,1621461617.0,1621461625.0,1621461625.0,1621461630.0,4.0,,2.0,8.0,5.0,,
gunzip_ID0000016,compute,1621461630.0,,,1621461636.0,1621461653.0,1621461671.0,1621461671.0,1621461676.0,6.0,,17.0,18.0,5.0,3.0,10.0
gunzip_ID0000005,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,6.0,,16.0,19.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,6.0,,16.0,19.0,5.0,3.0,9.0
gunzip_ID0000006,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,6.0,,16.0,19.0,5.0,4.0,9.0
gunzip_ID0000007,compute,1621461630.0,,,1621461636.0,1621461653.0,1621461671.0,1621461671.0,1621461676.0,6.0,,17.0,18.0,5.0,3.0,9.0
gunzip_ID0000012,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,6.0,,16.0,19.0,5.0,4.0,9.0
gunzip_ID0000001,compute,1621461630.0,,,1621461636.0,1621461653.0,1621461671.0,1621461671.0,1621461676.0,6.0,,17.0,18.0,5.0,3.0,8.0
gunzip_ID0000013,compute,1621461630.0,,,1621461636.0,1621461653.0,1621461666.0,1621461666.0,1621461671.0,6.0,,17.0,13.0,5.0,3.0,8.0
gunzip_ID0000008,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,6.0,,16.0,19.0,5.0,4.0,9.0
gunzip_ID0000014,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,6.0,,16.0,19.0,5.0,4.0,10.0
gunzip_ID0000003,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,6.0,,16.0,19.0,5.0,3.0,10.0
gunzip_ID0000015,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,6.0,,16.0,19.0,5.0,3.0,9.0
gunzip_ID0000004,compute,1621461630.0,,,1621461636.0,1621461652.0,1621461666.0,1621461666.0,1621461671.0,6.0,,16.0,14.0,5.0,3.0,8.0
gunzip_ID0000010,compute,1621461630.0,,,1621461635.0,1621461653.0,1621461671.0,1621461671.0,1621461676.0,5.0,,18.0,18.0,5.0,3.0,9.0
gunzip_ID0000011,compute,1621461630.0,,,1621461635.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,5.0,,17.0,19.0,5.0,4.0,8.0
gunzip_ID0000009,compute,1621461630.0,,,1621461635.0,1621461652.0,1621461671.0,1621461671.0,1621461676.0,5.0,,17.0,19.0,5.0,3.0,10.0
gunzip_ID0000002,compute,1621461630.0,,,1621461636.0,1621461653.0,1621461671.0,1621461671.0,1621461676.0,6.0,,17.0,18.0,5.0,3.0,9.0
um_vel_ID0000018,compute,1621461676.0,,,1621461681.0,1621461683.0,1621461731.0,1621461731.0,1621461736.0,5.0,,2.0,48.0,5.0,37.0,4.0
stage_out_local_condorpool_1_0,transfer,1621461736.0,,,1621461742.0,1621461742.0,1621461752.0,1621461752.0,1621461757.0,6.0,,0.0,10.0,5.0,,4.0
merged_netcdf2png_ID0000019,compute,1621461736.0,,,1621461742.0,1621461742.0,1621461762.0,1621461762.0,1621461767.0,6.0,,0.0,20.0,5.0,12.0,5.0
mvt_ID0000020,compute,1621461736.0,,,1621461742.0,1621461761.0,1621461832.0,1621461832.0,1621461837.0,6.0,,19.0,71.0,5.0,13.0,4.0
stage_out_local_condorpool_2_0,transfer,1621461837.0,,,1621461842.0,1621461842.0,1621461852.0,1621461852.0,1621461857.0,5.0,,0.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1621461837.0,,,1621461842.0,1621461844.0,1621461867.0,1621461867.0,1621461872.0,5.0,,2.0,23.0,5.0,13.0,4.0
stage_out_local_condorpool_3_0,transfer,1621461872.0,,,1621461877.0,1621461877.0,1621461887.0,1621461887.0,1621461892.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T053029Z_0_condorpool,auxiliary,1621461892.0,,,1621461897.0,1621461897.0,1621461902.0,1621461902.0,1621461907.0,5.0,,0.0,5.0,5.0,,
