,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_1000genome-20200518T045356Z_0_condorpool,auxiliary,1589779145.0,,,1589779149.0,1589779151.0,1589779154.0,1589779154.0,1589779159.0,4.0,,2.0,3.0,5.0,,
sifting_ID0000024,compute,1589779159.0,,,1589779170.0,1589779337.0,1589779391.0,1589779391.0,1589779396.0,11.0,,167.0,54.0,5.0,42.0,3.0
sifting_ID0000012,compute,1589779159.0,,,1589779169.0,1589779333.0,1589779386.0,1589779386.0,1589779391.0,10.0,,164.0,53.0,5.0,38.0,3.0
individuals_ID0000021,compute,1589779159.0,,,1589779169.0,1589779186.0,1589779406.0,1589779406.0,1589779416.0,10.0,,17.0,220.0,10.0,152.0,3.0
individuals_ID0000020,compute,1589779159.0,,,1589779168.0,1589779186.0,1589779406.0,1589779406.0,1589779416.0,9.0,,18.0,220.0,10.0,151.0,4.0
individuals_ID0000009,compute,1589779159.0,,,1589779168.0,1589779186.0,1589779396.0,1589779396.0,1589779401.0,9.0,,18.0,210.0,5.0,153.0,3.0
individuals_ID0000019,compute,1589779159.0,,,1589779167.0,1589779186.0,1589779401.0,1589779401.0,1589779406.0,8.0,,19.0,215.0,5.0,150.0,3.0
individuals_ID0000008,compute,1589779159.0,,,1589779167.0,1589779186.0,1589779406.0,1589779406.0,1589779416.0,8.0,,19.0,220.0,10.0,147.0,3.0
individuals_ID0000014,compute,1589779159.0,,,1589779166.0,1589779186.0,1589779401.0,1589779401.0,1589779406.0,7.0,,20.0,215.0,5.0,149.0,3.0
individuals_ID0000003,compute,1589779159.0,,,1589779166.0,1589779186.0,1589779411.0,1589779411.0,1589779416.0,7.0,,20.0,225.0,5.0,151.0,4.0
individuals_ID0000013,compute,1589779159.0,,,1589779165.0,1589779186.0,1589779396.0,1589779396.0,1589779401.0,6.0,,21.0,210.0,5.0,152.0,3.0
individuals_ID0000010,compute,1589779159.0,,,1589779168.0,1589779186.0,1589779406.0,1589779406.0,1589779416.0,9.0,,18.0,220.0,10.0,148.0,3.0
individuals_ID0000001,compute,1589779159.0,,,1589779165.0,1589779186.0,1589779401.0,1589779401.0,1589779406.0,6.0,,21.0,215.0,5.0,154.0,4.0
individuals_ID0000002,compute,1589779159.0,,,1589779165.0,1589779186.0,1589779406.0,1589779406.0,1589779416.0,6.0,,21.0,220.0,10.0,162.0,4.0
individuals_ID0000004,compute,1589779159.0,,,1589779164.0,1589779166.0,1589779366.0,1589779366.0,1589779371.0,5.0,,2.0,200.0,5.0,142.0,4.0
individuals_ID0000005,compute,1589779159.0,,,1589779164.0,1589779166.0,1589779371.0,1589779371.0,1589779376.0,5.0,,2.0,205.0,5.0,151.0,3.0
