,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_nowcast-wf-20190325050200_0_condorpool,auxiliary,1620843754.0,,,1620843758.0,1620843759.0,1620843763.0,1620843763.0,1620843768.0,4.0,,1.0,4.0,5.0,,
NowcastToWDSS2_ID0000001,compute,1620843768.0,,,1620843773.0,1620843774.0,1620843808.0,1620843808.0,1620843813.0,5.0,,1.0,34.0,5.0,8.0,19.0
merge_mrtV2_PID2_ID4,compute,1620843813.0,,,1620843818.0,1620843839.0,1620843863.0,1620843863.0,1620843868.0,5.0,,21.0,24.0,5.0,16.0,7.0
stage_out_local_condorpool_0_0,transfer,1620843813.0,,,1620843818.0,1620843818.0,1620843848.0,1620843848.0,1620843853.0,5.0,,0.0,30.0,5.0,,29.0
merge_merged_netcdf2png_PID2_ID2,compute,1620843813.0,,,1620843818.0,1620843839.0,1620843868.0,1620843868.0,1620843873.0,5.0,,21.0,29.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID1,compute,1620843813.0,,,1620843818.0,1620843839.0,1620843863.0,1620843863.0,1620843868.0,5.0,,21.0,24.0,5.0,16.0,7.0
merge_merged_netcdf2png_PID2_ID4,compute,1620843813.0,,,1620843818.0,1620843839.0,1620843863.0,1620843863.0,1620843868.0,5.0,,21.0,24.0,5.0,16.0,6.0
merge_mrtV2_PID2_ID1,compute,1620843813.0,,,1620843818.0,1620843863.0,1620843888.0,1620843888.0,1620843893.0,5.0,,45.0,25.0,5.0,14.0,6.0
merge_merged_netcdf2png_PID2_ID3,compute,1620843813.0,,,1620843818.0,1620843863.0,1620843888.0,1620843888.0,1620843893.0,5.0,,45.0,25.0,5.0,14.0,7.0
merge_mrtV2_PID2_ID2,compute,1620843813.0,,,1620843818.0,1620843864.0,1620843888.0,1620843888.0,1620843893.0,5.0,,46.0,24.0,5.0,15.0,7.0
merge_mrtV2_PID2_ID3,compute,1620843813.0,,,1620843818.0,1620843864.0,1620843888.0,1620843888.0,1620843893.0,5.0,,46.0,24.0,5.0,14.0,6.0
stage_out_local_condorpool_1_0,transfer,1620843893.0,,,1620843898.0,1620843898.0,1620843953.0,1620843953.0,1620843958.0,5.0,,0.0,55.0,5.0,,52.0
cleanup_casa_nowcast-wf-20190325050200_0_condorpool,auxiliary,1620843958.0,,,1620843963.0,1620843963.0,1620843968.0,1620843968.0,1620843973.0,5.0,,0.0,5.0,5.0,,
