,type,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_out_delay
create_dir_casa_wind_wf-20200817T052829Z_0_condorpool,auxiliary,1620850660.0,,,1620850664.0,1620850665.0,1620850669.0,1620850669.0,1620850674.0,4.0,,1.0,4.0,5.0,,
gunzip_ID0000016,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850700.0,1620850700.0,1620850705.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000005,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850700.0,1620850700.0,1620850705.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000017,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850699.0,1620850699.0,1620850705.0,5.0,,3.0,17.0,6.0,3.0,9.0
gunzip_ID0000006,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850699.0,1620850699.0,1620850705.0,5.0,,3.0,17.0,6.0,3.0,9.0
gunzip_ID0000007,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850694.0,1620850694.0,1620850699.0,5.0,,3.0,12.0,5.0,2.0,8.0
gunzip_ID0000012,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850700.0,1620850700.0,1620850705.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000001,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850699.0,1620850699.0,1620850705.0,5.0,,3.0,17.0,6.0,3.0,7.0
gunzip_ID0000013,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850700.0,1620850700.0,1620850705.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000008,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850700.0,1620850700.0,1620850705.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000014,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850700.0,1620850700.0,1620850705.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000003,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850700.0,1620850700.0,1620850705.0,5.0,,3.0,18.0,5.0,3.0,9.0
gunzip_ID0000015,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850694.0,1620850694.0,1620850699.0,5.0,,3.0,12.0,5.0,2.0,8.0
gunzip_ID0000004,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850699.0,1620850699.0,1620850705.0,5.0,,3.0,17.0,6.0,3.0,9.0
gunzip_ID0000010,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850699.0,1620850699.0,1620850705.0,5.0,,3.0,17.0,6.0,2.0,8.0
gunzip_ID0000011,compute,1620850674.0,,,1620850679.0,1620850681.0,1620850699.0,1620850699.0,1620850705.0,5.0,,2.0,18.0,6.0,3.0,8.0
gunzip_ID0000009,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850699.0,1620850699.0,1620850705.0,5.0,,3.0,17.0,6.0,4.0,8.0
gunzip_ID0000002,compute,1620850674.0,,,1620850679.0,1620850682.0,1620850694.0,1620850694.0,1620850699.0,5.0,,3.0,12.0,5.0,2.0,7.0
um_vel_ID0000018,compute,1620850705.0,,,1620850710.0,1620850710.0,1620850740.0,1620850740.0,1620850745.0,5.0,,0.0,30.0,5.0,20.0,5.0
stage_out_local_condorpool_1_0,transfer,1620850745.0,,,1620850750.0,1620850750.0,1620850760.0,1620850760.0,1620850765.0,5.0,,0.0,10.0,5.0,,5.0
merged_netcdf2png_ID0000019,compute,1620850745.0,,,1620850750.0,1620850750.0,1620850770.0,1620850770.0,1620850775.0,5.0,,0.0,20.0,5.0,10.0,4.0
mvt_ID0000020,compute,1620850745.0,,,1620850750.0,1620850767.0,1620850835.0,1620850835.0,1620850840.0,5.0,,17.0,68.0,5.0,9.0,4.0
stage_out_local_condorpool_2_0,transfer,1620850840.0,,,1620850845.0,1620850846.0,1620850856.0,1620850856.0,1620850861.0,5.0,,1.0,10.0,5.0,,6.0
pointalert_ID0000021,compute,1620850840.0,,,1620850846.0,1620850846.0,1620850866.0,1620850866.0,1620850871.0,6.0,,0.0,20.0,5.0,10.0,4.0
stage_out_local_condorpool_3_0,transfer,1620850871.0,,,1620850876.0,1620850876.0,1620850886.0,1620850886.0,1620850891.0,5.0,,0.0,10.0,5.0,,5.0
cleanup_casa_wind_wf-20200817T052829Z_0_condorpool,auxiliary,1620850891.0,,,1620850896.0,1620850896.0,1620850901.0,1620850901.0,1620850906.0,5.0,,0.0,5.0,5.0,,
